time,open,high,low,close
1602720000,4.269,4.285,3.871,3.912
1602806400,3.907,4.145,3.72,3.913
1602892800,3.914,4.034,3.828,3.96
1602979200,3.958,4.029,3.889,3.957
1603065600,3.964,3.97,3.692,3.725
1603152000,3.719,3.729,3.343,3.702
1603238400,3.708,3.796,3.476,3.517
1603324800,3.517,4.092,3.51,3.894
1603411200,3.901,3.94,3.664,3.802
1603497600,3.8,3.882,3.707,3.774
1603584000,3.775,3.784,3.555,3.655
1603670400,3.66,3.73,3.45,3.543
1603756800,3.537,3.694,3.45,3.551
1603843200,3.56,3.849,3.339,3.591
1603929600,3.597,3.795,3.227,3.24
1604016000,3.236,3.249,2.935,3.102
1604102400,3.105,3.14,3.009,3.017
1604188800,3.014,3.036,2.718,2.904
1604275200,2.906,3.008,2.61,2.612
1604361600,2.62,2.62,2.47,2.571
1604448000,2.576,2.768,2.471,2.727
1604534400,2.729,3.29,2.547,3.161
1604620800,3.163,3.7,3.147,3.535
1604707200,3.536,4.68,3.525,3.761
1604793600,3.763,4.555,3.7,4.409
1604880000,4.411,4.598,3.956,4.243
1604966400,4.241,4.94,4.117,4.672
1605052800,4.67,4.773,3.982,3.997
1605139200,3.997,4.271,3.712,3.762
1605225600,3.762,4.463,3.751,4.222
1605312000,4.222,4.5,3.86,4.31
1605398400,4.313,4.579,3.956,4.125
1605484800,4.137,4.57,4.065,4.423
1605571200,4.426,5.423,4.415,5.074
1605657600,5.081,5.19,4.464,4.875
1605744000,4.872,5.265,4.56,4.992
1605830400,4.99,5.7,4.785,5.13
1605916800,5.137,5.589,5.069,5.255
1606003200,5.254,5.34,4.617,5.002
1606089600,5.003,5.56,4.942,5.452
1606176000,5.451,5.83,5.1,5.239
1606262400,5.239,5.362,4.565,4.823
1606348800,4.824,4.849,3.385,4.334
1606435200,4.336,4.599,3.904,4.124
1606521600,4.127,4.448,4,4.264
1606608000,4.264,4.572,4.119,4.551
1606694400,4.562,4.95,4.562,4.74
1606780800,4.753,5.268,4.531,4.744
1606867200,4.745,5.483,4.679,5.265
1606953600,5.266,5.3,5.013,5.238
1607040000,5.238,5.359,4.828,4.951
1607126400,4.95,5.36,4.767,5.218
1607212800,5.214,5.379,4.941,5.152
1607299200,5.153,5.345,5.025,5.2
1607385600,5.2,5.493,4.534,4.671
1607472000,4.667,4.934,4.285,4.859
1607558400,4.854,4.879,4.448,4.623
1607644800,4.631,4.666,4.126,4.348
1607731200,4.354,4.636,4.337,4.458
1607817600,4.467,4.79,4.388,4.751
1607904000,4.748,5.442,4.6,5.25
1607990400,5.251,5.6,5.182,5.469
1608076800,5.469,5.476,4.927,5.276
1608163200,5.271,5.6,5.046,5.294
1608249600,5.297,6.617,5.16,6.12
1608336000,6.117,6.511,5.92,6.125
1608422400,6.125,6.385,5.78,5.963
1608508800,5.957,6.424,5.638,6.136
1608595200,6.14,7.74,5.704,7.202
1608681600,7.203,8.48,6.288,7.115
1608768000,7.11,7.788,6.581,7.48
1608854400,7.479,7.98,7.028,7.341
1608940800,7.35,8.771,7.283,8.022
1609027200,8.026,8.525,7.34,8.069
1609113600,8.058,8.462,7.82,8
1609200000,7.999,8.157,7.35,7.786
1609286400,7.78,7.96,7.235,7.327
1609372800,7.327,7.847,7.042,7.23
1609459200,7.23,8.556,7.154,8.308
1609545600,8.314,8.618,7.981,8.192
1609632000,8.192,9.625,7.997,9.539
1609718400,9.527,11.498,8.4,11.492
1609804800,11.463,13.38,10.458,12.381
1609891200,12.402,13.3,11.461,12.129
1609977600,12.112,13.2,11.1,11.579
1610064000,11.594,12.885,9.8,11.804
1610150400,11.805,13.887,11.05,13.1
1610236800,13.1,14.8,12.197,14.116
1610323200,14.114,14.186,10.408,12.891
1610409600,12.889,16,12.17,14.888
1610496000,14.881,16.505,13.8,15.501
1610582400,15.51,16,14.046,14.711
1610668800,14.683,15.538,13.15,15.127
1610755200,15.128,17.15,14.933,15.56
1610841600,15.541,16.35,14.415,15.68
1610928000,15.676,15.758,14.85,15.582
1611014400,15.582,16.79,15.15,15.151
1611100800,15.15,15.8,13.764,15.734
1611187200,15.718,15.8,11.611,12.337
1611273600,12.317,15.13,11.263,14.228
1611360000,14.207,15.496,13.933,14.608
1611446400,14.608,17.835,14.439,17.5
1611532800,17.484,18.25,15.393,15.47
1611619200,15.47,17.23,14.766,16.875
1611705600,16.86,17.428,14.717,15.265
1611792000,15.266,17.961,14.849,16.892
1611878400,16.898,17.492,16.01,17.025
1611964800,17.024,18.66,16.389,17.859
1612051200,17.87,19.6,17.067,17.194
1612137600,17.197,17.902,16.817,17.54
1612224000,17.54,17.571,16.379,17.032
1612310400,17.057,18.002,16.81,17.129
1612396800,17.129,21.169,16.49,19.644
1612483200,19.661,23.687,19.518,23.61
1612569600,23.615,24.246,19.637,21.07
1612656000,21.027,21.491,17.888,20.051
1612742400,20.09,22.37,19.523,21.331
1612828800,21.32,27.4,20.8,24.618
1612915200,24.618,27.7,23.032,25.078
1613001600,25.084,26.825,24.35,26.086
1613088000,26.129,28.245,25.25,27.132
1613174400,27.142,28.1,24.621,26.353
1613260800,26.399,28.981,24.301,25.02
1613347200,25.049,26.91,21,24.597
1613433600,24.61,26.5,23.134,24.072
1613520000,24.074,24.525,22.221,24.255
1613606400,24.293,24.637,22.769,23.155
1613692800,23.184,23.6,21.418,22.292
1613779200,22.299,25.529,21.353,23.194
1613865600,23.154,23.697,22.181,22.828
1613952000,22.835,22.928,17.3,20.992
1614038400,21.008,21.17,13.9,18.158
1614124800,18.182,20.929,17.267,19.16
1614211200,19.153,21.979,18.134,18.309
1614297600,18.308,19.862,16.88,17.997
1614384000,18.018,20.41,17.943,18.784
1614470400,18.789,19.311,16.29,18.727
1614556800,18.719,21.147,18.718,20.671
1614643200,20.686,23.36,20.665,22.45
1614729600,22.459,24.068,22.095,22.538
1614816000,22.556,24.39,21.123,21.473
1614902400,21.467,21.473,20.036,20.745
1614988800,20.738,21.434,20.111,21.244
1615075200,21.272,21.782,20.513,21.73
1615161600,21.722,21.925,20.719,21.873
1615248000,21.89,22.752,21.388,22.659
1615334400,22.629,23.396,21.354,21.609
1615420800,21.622,22.305,20.687,20.82
1615507200,20.827,20.988,18.83,19.453
1615593600,19.471,20.864,18.805,20.469
1615680000,20.488,20.579,19.185,19.395
1615766400,19.393,19.98,18.202,18.919
1615852800,18.919,19.147,18.117,18.727
1615939200,18.73,19.297,17.819,19.203
1616025600,19.22,19.442,18.511,18.552
1616112000,18.567,20.412,18.175,19.871
1616198400,19.855,21.471,19.763,19.792
1616284800,19.814,20.081,19.086,19.523
1616371200,19.521,20.022,17.747,18.027
1616457600,18.024,18.328,17.221,17.422
1616544000,17.422,18.255,15.528,16.095
1616630400,16.107,17.067,15.419,16.12
1616716800,16.119,17.6,16.088,17.469
1616803200,17.479,17.645,16.713,17.136
1616889600,17.134,17.312,16.374,16.469
1616976000,16.469,17.834,16.289,17.78
1617062400,17.791,18,17.26,17.533
1617148800,17.547,17.89,16.548,17.658
1617235200,17.653,19.368,17.588,19.179
1617321600,19.179,21.46,18.77,21.415
1617408000,21.429,21.64,19,19.27
1617494400,19.271,21.39,19,20.648
1617580800,20.648,21.141,19.642,20.738
1617667200,20.73,22.434,20.627,22.056
1617753600,22.058,22.322,18.609,19.394
1617840000,19.394,20.151,18.984,19.901
1617926400,19.911,20.404,19.114,19.421
1618012800,19.422,19.999,18.58,18.994
1618099200,18.993,19.318,18.303,18.989
1618185600,18.979,19.963,18.5,19.591
1618272000,19.592,20.2,18.97,19.115
1618358400,19.124,21.876,18.668,20.023
1618444800,20.012,22.61,19.921,22.025
1618531200,22.032,23.122,20.017,20.851
1618617600,20.883,21.956,20.209,20.224
1618704000,20.237,20.404,14.795,18.014
1618790400,18.004,18.288,15.69,15.981
1618876800,15.992,17.737,14.7,16.818
1618963200,16.8,17.1,15.578,15.859
1619049600,15.862,17.776,15,15.289
1619136000,15.286,15.64,12.991,14.877
1619222400,14.894,14.914,13.453,13.733
1619308800,13.747,14.8,13.255,14.127
1619395200,14.128,16.174,13.974,16.118
1619481600,16.12,17.228,15.696,17.12
1619568000,17.12,17.393,15.933,16.818
1619654400,16.839,17.85,16.465,17.703
1619740800,17.7,18.5,17.361,18.197
1619827200,18.187,18.61,17.618,18.17
1619913600,18.178,18.31,16.813,17.332
1620000000,17.332,19.25,17.229,18.869
1620086400,18.863,18.868,16.194,16.47
1620172800,16.472,17.92,16.267,17.677
1620259200,17.676,18.846,17.01,18.427
1620345600,18.427,20.518,17.7,18.772
1620432000,18.766,19.142,18.117,18.402
1620518400,18.405,18.552,17.1,17.804
1620604800,17.796,18.279,15.181,16.257
1620691200,16.248,19,15.815,18.398
1620777600,18.398,21.8,17.4,17.995
1620864000,17.933,23.142,16.144,18.494
1620950400,18.484,22.15,18.269,21.162
1621036800,21.15,22.9,19.041,19.216
1621123200,19.226,20.628,17.235,18.862
1621209600,18.86,21.123,16.6,20.482
1621296000,20.452,25.837,20.209,23.352
1621382400,23.381,24.05,10.664,14.301
1621468800,14.356,18.43,12.823,16.184
1621555200,16.186,19.748,13.401,16.38
1621641600,16.38,17.64,13.5,14.924
1621728000,14.94,15.51,9.4,11.742
1621814400,11.756,14.567,11.507,13.903
1621900800,13.89,14.652,11.982,13.628
1621987200,13.626,15.101,13.396,14.568
1622073600,14.556,14.576,12.88,13.346
1622160000,13.351,13.522,11.065,11.954
1622246400,11.952,12.532,10.392,10.901
1622332800,10.917,12.44,10.274,11.753
1622419200,11.753,13.33,11.174,13.316
1622505600,13.312,13.456,12.12,12.689
1622592000,12.687,13.45,12.152,12.824
1622678400,12.822,14.089,12.603,13.546
1622764800,13.545,13.584,11.603,12.215
1622851200,12.2,13.031,11.355,11.641
1622937600,11.641,12.183,11.493,11.913
1623024000,11.905,12.331,10.724,10.821
1623110400,10.81,11.022,9.443,10.4
1623196800,10.411,10.976,9.874,10.891
1623283200,10.902,10.97,9.834,9.925
1623369600,9.935,10.06,8.536,8.643
1623456000,8.647,8.758,7.91,8.471
1623542400,8.468,9.188,8.113,9.137
1623628800,9.134,10.095,8.668,10.084
1623715200,10.089,10.461,9.528,9.725
1623801600,9.723,9.928,8.888,9.068
1623888000,9.067,9.51,8.716,9.011
1623974400,9.011,9.024,7.913,8.317
1624060800,8.316,8.626,8.054,8.082
1624147200,8.078,8.654,7.749,8.47
1624233600,8.47,8.536,6.479,6.55
1624320000,6.548,6.998,5.55,6.343
1624406400,6.341,7.138,6.082,6.652
1624492800,6.657,6.92,6.297,6.612
1624579200,6.615,6.72,5.694,5.807
1624665600,5.808,6.022,5.558,5.956
1624752000,5.957,6.42,5.816,6.42
1624838400,6.417,7.147,6.324,7.013
1624924800,7.017,7.465,6.983,7.201
1625011200,7.202,7.365,6.651,7.348
1625097600,7.343,7.353,6.638,6.831
1625184000,6.829,6.948,6.419,6.915
1625270400,6.911,7.5,6.764,7.287
1625356800,7.288,8.962,7.011,8.598
1625443200,8.598,11.499,8.37,10.599
1625529600,10.605,12.746,10.363,11.194
1625616000,11.184,11.858,10.663,10.771
1625702400,10.767,10.767,9.395,9.611
1625788800,9.619,12.13,9.173,11.472
1625875200,11.478,11.957,10.491,11.039
