time,open,high,low,close
1602720000,0.719,0.721,0.666,0.704
1602806400,0.704,0.707,0.64,0.657
1602892800,0.657,0.68,0.642,0.663
1602979200,0.664,0.718,0.661,0.714
1603065600,0.713,0.73,0.665,0.675
1603152000,0.675,0.678,0.61,0.627
1603238400,0.626,0.697,0.621,0.665
1603324800,0.664,0.719,0.658,0.667
1603411200,0.668,0.697,0.643,0.664
1603497600,0.664,0.672,0.643,0.657
1603584000,0.656,0.659,0.615,0.623
1603670400,0.623,0.644,0.588,0.625
1603756800,0.624,0.716,0.623,0.698
1603843200,0.698,0.705,0.608,0.638
1603929600,0.638,0.678,0.619,0.644
1604016000,0.643,0.649,0.583,0.598
1604102400,0.598,0.636,0.59,0.606
1604188800,0.605,0.616,0.593,0.607
1604275200,0.608,0.624,0.581,0.583
1604361600,0.582,0.582,0.504,0.525
1604448000,0.525,0.531,0.472,0.49
1604534400,0.49,0.545,0.48,0.515
1604620800,0.515,0.638,0.514,0.617
1604707200,0.617,0.71,0.577,0.604
1604793600,0.604,0.662,0.589,0.642
1604880000,0.641,0.658,0.582,0.603
1604966400,0.603,0.693,0.585,0.673
1605052800,0.673,0.764,0.67,0.681
1605139200,0.681,0.727,0.643,0.692
1605225600,0.691,0.99,0.687,0.964
1605312000,0.962,1.107,0.85,1.048
1605398400,1.05,1.45,1.048,1.255
1605484800,1.255,1.49,1.135,1.325
1605571200,1.323,1.45,1.221,1.333
1605657600,1.334,1.356,1.063,1.145
1605744000,1.145,1.686,1.116,1.574
1605830400,1.572,1.797,1.488,1.577
1605916800,1.579,1.737,1.49,1.657
1606003200,1.657,1.749,1.388,1.622
1606089600,1.621,1.68,1.43,1.526
1606176000,1.526,1.59,1.296,1.34
1606262400,1.343,1.508,1.156,1.222
1606348800,1.222,1.434,0.929,1.417
1606435200,1.419,1.508,1.3,1.449
1606521600,1.452,1.48,1.33,1.363
1606608000,1.362,1.46,1.323,1.428
1606694400,1.429,1.582,1.411,1.578
1606780800,1.578,2.022,1.541,1.921
1606867200,1.92,2.379,1.865,2.172
1606953600,2.171,2.227,1.965,2.128
1607040000,2.127,2.155,1.82,1.903
1607126400,1.902,2.332,1.847,2.316
1607212800,2.316,2.331,2.06,2.185
1607299200,2.187,2.496,2.104,2.403
1607385600,2.401,2.47,2.036,2.121
1607472000,2.121,2.318,1.969,2.216
1607558400,2.217,2.236,2.09,2.154
1607644800,2.16,2.169,1.889,1.931
1607731200,1.931,2.215,1.915,2.152
1607817600,2.154,2.431,2.144,2.391
1607904000,2.391,2.599,2.248,2.564
1607990400,2.566,2.804,2.518,2.715
1608076800,2.717,2.95,2.533,2.847
1608163200,2.845,2.968,2.617,2.683
1608249600,2.68,2.866,2.581,2.824
1608336000,2.825,3.084,2.708,2.865
1608422400,2.865,2.942,2.631,2.703
1608508800,2.7,2.784,2.432,2.508
1608595200,2.506,2.759,2.294,2.718
1608681600,2.716,2.762,1.1,2.218
1608768000,2.221,2.61,1.941,2.586
1608854400,2.59,2.688,2.369,2.529
1608940800,2.529,2.538,2.308,2.392
1609027200,2.391,2.729,2.3,2.629
1609113600,2.624,2.9,2.551,2.62
1609200000,2.62,2.674,2.368,2.508
1609286400,2.506,2.743,2.391,2.583
1609372800,2.584,2.935,2.446,2.868
1609459200,2.869,3.338,2.793,3.333
1609545600,3.332,3.368,3.009,3.203
1609632000,3.203,3.588,2.936,3.445
1609718400,3.448,4.163,3.17,3.563
1609804800,3.565,4.02,3.111,3.853
1609891200,3.859,4.137,3.539,3.882
1609977600,3.881,4.38,3.52,3.951
1610064000,3.948,4.488,3.241,4.291
1610150400,4.293,5.035,4.172,4.666
1610236800,4.666,4.886,4.01,4.391
1610323200,4.391,4.414,3.18,3.88
1610409600,3.879,4.666,3.631,4.279
1610496000,4.281,5.2,3.92,5.118
1610582400,5.119,5.794,4.979,5.681
1610668800,5.682,6.884,5.302,6.394
1610755200,6.396,7.5,6.095,7.15
1610841600,7.152,7.798,6.791,7.043
1610928000,7.055,7.74,6.828,7.488
1611014400,7.488,7.72,6.2,6.526
1611100800,6.527,7.325,6.056,7.295
1611187200,7.294,7.35,5.385,5.604
1611273600,5.61,6.999,5.218,6.727
1611360000,6.735,7.443,6.582,7.076
1611446400,7.076,8.488,6.954,8.321
1611532800,8.329,10,7.42,7.63
1611619200,7.625,8.413,6.786,8.167
1611705600,8.168,8.209,6.92,7.059
1611792000,7.064,8.75,6.91,8.25
1611878400,8.25,9.039,7.632,8.974
1611964800,8.973,10.39,8.36,10.375
1612051200,10.38,11.3,9.65,10.121
1612137600,10.133,13.081,9.74,13.008
1612224000,13.011,13.826,12.169,12.627
1612310400,12.643,14.868,12.453,14.21
1612396800,14.211,16.601,13.967,15.342
1612483200,15.342,15.839,14.664,14.955
1612569600,14.964,15.4,13,13.779
1612656000,13.779,14.013,11.398,13.156
1612742400,13.158,14.7,12.62,14.091
1612828800,14.089,14.939,13.526,14.248
1612915200,14.263,15.857,13.6,14.863
1613001600,14.862,17.592,13.91,16.772
1613088000,16.787,17.34,15.55,16.559
1613174400,16.578,17.23,15.66,15.996
1613260800,16.01,16.363,14.78,14.923
1613347200,14.94,18.4,12.714,17.265
1613433600,17.265,17.948,15.568,16.455
1613520000,16.475,17.14,14.603,16.166
1613606400,16.184,16.971,15.5,15.8
1613692800,15.816,15.938,13.924,14.546
1613779200,14.546,19.769,14.391,18.342
1613865600,18.342,19.407,16.822,17.327
1613952000,17.316,17.38,13.131,16.57
1614038400,16.609,17.343,11.6,14.82
1614124800,14.835,15.784,13.596,14.698
1614211200,14.7,17.12,14.167,14.378
1614297600,14.355,16.567,13.06,15.332
1614384000,15.334,17.7,15.283,16.288
1614470400,16.287,16.372,13.58,15.082
1614556800,15.06,18.861,14.961,18.829
1614643200,18.835,20.73,16.708,17.838
1614729600,17.822,19.15,17.194,17.433
1614816000,17.433,18.906,16.975,17.345
1614902400,17.343,17.351,15.552,16.613
1614988800,16.596,17.048,15.718,16.576
1615075200,16.591,18.173,16.3,17.956
1615161600,17.96,18.231,16.68,17.23
1615248000,17.225,20.221,17.098,19.67
1615334400,19.662,19.835,17.631,17.931
1615420800,17.933,19.266,16.992,18.61
1615507200,18.619,19.587,17.992,19.406
1615593600,19.381,23.43,18.925,22.823
1615680000,22.805,23.035,20.152,20.642
1615766400,20.643,21.898,19.55,19.849
1615852800,19.828,20.653,18.64,20.212
1615939200,20.229,20.394,19.075,19.915
1616025600,19.92,20.341,19.541,19.7
1616112000,19.721,20.61,18.94,20.278
1616198400,20.287,21,19.423,19.472
1616284800,19.447,19.714,18.34,18.848
1616371200,18.838,19.975,17.207,17.311
1616457600,17.315,17.809,16.333,16.428
1616544000,16.422,17.453,14.448,14.918
1616630400,14.918,15.374,14.078,14.826
1616716800,14.826,16.98,14.812,16.815
1616803200,16.83,16.958,15.77,16.181
1616889600,16.188,16.536,14.874,15.272
1616976000,15.272,16.12,15.039,15.822
1617062400,15.811,15.968,15.282,15.403
1617148800,15.412,15.678,14.072,14.704
1617235200,14.702,15.245,14.49,14.868
1617321600,14.874,16.5,14.606,16.43
1617408000,16.428,16.585,14.582,14.824
1617494400,14.819,15.462,14.587,15.243
1617580800,15.245,15.659,14.689,15.062
1617667200,15.057,15.919,14.82,15.327
1617753600,15.33,15.479,13.5,13.868
1617840000,13.867,14.669,13.732,14.426
1617926400,14.433,15.44,14.347,14.535
1618012800,14.532,15.174,14.081,14.498
1618099200,14.5,14.569,13.978,14.176
1618185600,14.181,16.406,13.887,16.056
1618272000,16.055,16.5,15.28,15.842
1618358400,15.854,17.686,15.65,17.496
1618444800,17.498,18.346,17.165,17.552
1618531200,17.554,17.654,15.622,16.24
1618617600,16.24,16.859,15.443,15.831
1618704000,15.843,16.043,9.998,14.015
1618790400,14.004,14.428,11.844,12.162
1618876800,12.157,12.813,11,12.696
1618963200,12.694,13.8,11.814,12.471
1619049600,12.458,14.315,12,12.305
1619136000,12.304,12.605,10.139,11.808
1619222400,11.817,11.837,10.501,10.703
1619308800,10.707,11.67,10.287,10.964
1619395200,10.975,12.486,10.877,12.152
1619481600,12.141,14.456,11.941,14.283
1619568000,14.29,14.544,12.943,14.292
1619654400,14.296,14.89,13.56,14.046
1619740800,14.049,14.699,13.8,14.332
1619827200,14.349,15.17,14.229,14.767
1619913600,14.791,14.859,13.677,13.898
