time,open,high,low,close
1602720000,14573.7,15800,13933.27,14614.29
1602806400,14607.68,14620.81,13372.36,13403.4
1602892800,13405,14152.54,13120,14039.17
1602979200,14053.07,15782,13931.7,15427.68
1603065600,15429.8,15645,13709.88,13709.88
1603152000,13721.36,14119.99,12720.07,13053.33
1603238400,13053.33,14667,12905.94,13293.14
1603324800,13283.21,14389.47,13132.54,13724.82
1603411200,13722.33,14940.31,13600,14903.15
1603497600,14892.61,15481.15,14535,14872.72
1603584000,14864.85,14900,14150,14297
1603670400,14289.81,14573.88,13176.7,13589.52
1603756800,13593.11,14200,13320.21,13372.88
1603843200,13370.45,13611.29,12000,12556.47
1603929600,12553.98,12944.98,10511.01,10781.1
1604016000,10780.08,11971.68,9635.55,11014.56
1604102400,11011.03,11430.16,10255.7,10492.89
1604188800,10474.7,11039.14,9978.06,10689.46
1604275200,10689.31,11221.02,10016.64,10092.3
1604361600,10092.84,10247.09,9302.65,9351.52
1604448000,9359.92,9692.87,8231.07,8484.18
1604534400,8493.32,9908.72,7451.36,8488.35
1604620800,8478.02,11943,8392.5,11821.27
1604707200,11821.26,17500,11810.57,14281.47
1604793600,14297.17,15999,13373.41,15108.29
1604880000,15102.44,15682,13883.34,15010.12
1604966400,15029.21,18900,14500.75,18274.93
1605052800,18266.12,19350,15711.08,16679.56
1605139200,16674.79,17220,14929.39,15462.62
1605225600,15448.87,18460,15150,17881.06
1605312000,17884.84,17922.63,16084.21,17217.05
1605398400,17238,18436.25,16561,17606.9
1605484800,17606.68,19149.9,16971.42,18565.47
1605571200,18554.8,24880,18452,23944.68
1605657600,23933.16,26190,20511,25444.39
1605744000,25479.31,29686,24229.65,27800
1605830400,27803.14,29890,25666,26515.16
1605916800,26533,27801.55,23425,24479.24
1606003200,24479.24,27178.24,21442,24419.04
1606089600,24454.35,26328.28,23200,25216.48
1606176000,25245.93,26339.37,23294,24749.99
1606262400,24736.38,24826.45,21500,22324.66
1606348800,22319.05,23362.68,18228.6,23345.46
1606435200,23345.46,25581,22222.22,23452.98
1606521600,23455.14,24444,22546.03,23353.75
1606608000,23343.82,24963.29,22846.15,24600.71
1606694400,24624.95,26901.05,24619.35,26470.4
1606780800,26470.61,28299.92,24166,25684.04
1606867200,25678.56,31780.41,25335.24,30306.15
1606953600,30303.17,31306.06,28401,29649.42
1607040000,29634.9,30576.44,26100,26452.77
1607126400,26444.55,29549.99,26201,29352.73
1607212800,29329.99,29520,27848.17,28794.24
1607299200,28797.57,29405.78,27894.98,28486.5
1607385600,28480.48,28567.4,24850,25448.82
1607472000,25468.79,26267.44,23505.97,25556.16
1607558400,25567.87,25860,23799.68,23974.15
1607644800,23979.42,24193.87,22051.01,23387.89
1607731200,23372.21,25820,23329.11,25347.85
1607817600,25352.72,27300,25352.72,26341.06
1607904000,26357.24,26358.21,24993.61,25819.99
1607990400,25820,26435.64,24553.87,24784.11
1608076800,24782.04,27740.15,24151.11,26965.41
1608163200,26947.36,28100,25788.02,26599.01
1608249600,26617.49,28650,25908.16,27869.03
1608336000,27885.45,28880,27239.47,27604.76
1608422400,27612.08,27612.08,25291.73,26114.07
1608508800,26089.18,27102.35,24062.71,24569.93
1608595200,24558.24,25260.99,22510,24850
1608681600,24859.76,25489.21,18360.97,20092.38
1608768000,20119.76,24069.03,19200,24024.95
1608854400,24038.75,25150,22600.97,23612.29
1608940800,23605.2,23884.73,21890.99,22588.76
1609027200,22589.25,25074.26,21611,22785.06
1609113600,22785.06,24469.99,22526.76,22796.58
1609200000,22820.47,23178.5,21001,22155.55
1609286400,22183.1,22750,21393.14,21765.85
1609372800,21786.5,23512.04,21110,22687.96
1609459200,22707.02,23450,21519.26,21845.15
1609545600,21870.7,22339,21261.77,21477.83
1609632000,21489.56,24989,20382.88,23879.16
1609718400,23883.05,26750,22000,23387.84
1609804800,23395.09,24956.4,22050,23731.87
1609891200,23725.97,25550,22565.97,24742.87
1609977600,24798.1,37185,24086.31,33057.95
1610064000,33077.5,38557.1,24513,34908.59
1610150400,34908.6,39939.23,33504.96,35735.6
1610236800,35735.61,38228.53,31053.06,33982.73
1610323200,33966.46,34050.86,25250,30102.88
1610409600,30102.89,32373,28108,29743.08
1610496000,29758.73,33887.59,28208.58,33599.65
1610582400,33576.09,34260,31180,32924.52
1610668800,32920.08,33668.36,28445.56,30205.26
1610755200,30189.87,35200,30188.23,33823.09
1610841600,33800.5,36863.97,32308.97,34544.73
1610928000,34537.91,40333.87,34524.92,37994.33
1611014400,37983.79,38532.08,33770.85,34365.15
1611100800,34375.11,35485.41,31211.6,34040.18
1611187200,34002.52,34239.75,26378.42,27938.25
1611273600,27902.25,32147.32,26013,30780
1611360000,30783.75,31619.21,29653,30560.03
1611446400,30575.83,33000,30233.13,32200.52
1611532800,32195.81,33308.37,29243.85,29311.96
1611619200,29325.31,30679.98,28426,30298.17
