time,open,high,low,close
1641191760,272.2,272.2,270.4,271.1
1641191820,271.2,271.6,271.1,271.4
1641191880,271.5,271.6,271.3,271.4
1641191940,271.3,271.7,271.3,271.5
1641192000,271.7,272.2,271.5,272.1
1641192060,272.2,272.3,272,272
1641192120,272.1,272.6,272,272.6
1641192180,272.5,272.8,272.2,272.8
1641192240,272.7,273.1,272.6,272.8
1641192300,272.8,272.8,272.5,272.6
1641192360,272.6,272.7,272,272.5
1641192420,272.7,272.7,272.4,272.7
1641192480,272.6,272.9,272.6,272.8
1641192540,272.7,272.9,272.6,272.6
1641192600,272.5,272.7,272.1,272.4
1641192660,272.4,272.6,272.3,272.6
1641192720,272.6,272.7,272.2,272.2
1641192780,272.2,272.4,272.1,272.4
1641192840,272.4,272.7,272.4,272.6
1641192900,272.6,272.7,272.5,272.7
1641192960,272.6,272.7,272.1,272.2
1641193020,272.3,272.3,272,272.1
1641193080,272.1,272.4,271.5,272
1641193140,272.1,272.4,272.1,272.3
1641193200,272.4,272.4,271.7,272
1641193260,271.9,272.3,271.9,272.1
1641193320,272.2,272.4,272.1,272.2
1641193380,272.2,272.4,272,272.1
1641193440,272.2,272.3,272.1,272.3
1641193500,272.2,272.3,272,272.1
1641193560,272.1,272.1,271.9,271.9
1641193620,271.9,271.9,271.7,271.7
1641193680,271.7,272,271.7,271.9
1641193740,271.8,272.1,271.7,272.1
1641193800,272,272.1,271.9,272
1641193860,271.9,272.5,271.8,272.3
1641193920,272.3,273,272.2,272.9
1641193980,272.9,273.2,272.8,273.2
1641194040,273.2,273.3,273,273.1
1641194100,273.1,273.7,273,273.6
1641194160,273.6,273.6,273.3,273.5
1641194220,273.5,273.5,272.7,272.7
1641194280,272.8,272.8,272.5,272.6
1641194340,272.6,272.7,272.5,272.6
1641194400,272.5,272.5,272.1,272.1
1641194460,272.1,272.4,272.1,272.2
1641194520,272.2,272.2,272,272.1
1641194580,272.1,272.3,272.1,272.3
1641194640,272.2,272.7,272.2,272.6
1641194700,272.6,273,272.5,273
1641194760,273,273,272.8,272.9
1641194820,272.9,273,272.4,272.6
1641194880,272.6,272.7,272.5,272.5
1641194940,272.6,272.8,272.6,272.8
1641195000,272.8,272.9,272.7,272.8
1641195060,272.8,273.1,272.8,273
1641195120,272.9,273.4,272.9,273.4
