time,open,high,low,close
1641191760,9.15,9.17,9.146,9.17
1641191820,9.168,9.176,9.152,9.153
1641191880,9.162,9.163,9.138,9.15
1641191940,9.153,9.164,9.151,9.16
1641192000,9.157,9.164,9.151,9.163
1641192060,9.163,9.17,9.156,9.17
1641192120,9.168,9.17,9.156,9.157
1641192180,9.155,9.16,9.152,9.16
1641192240,9.156,9.156,9.136,9.136
1641192300,9.135,9.135,9.12,9.127
1641192360,9.127,9.13,9.12,9.128
1641192420,9.13,9.13,9.125,9.128
1641192480,9.126,9.126,9.104,9.104
1641192540,9.107,9.122,9.107,9.115
1641192600,9.113,9.115,9.103,9.11
1641192660,9.11,9.13,9.103,9.115
1641192720,9.116,9.116,9.099,9.1
1641192780,9.105,9.105,9.085,9.093
1641192840,9.093,9.097,9.092,9.096
1641192900,9.096,9.108,9.079,9.093
1641192960,9.092,9.096,9.08,9.08
1641193020,9.079,9.088,9.068,9.087
1641193080,9.083,9.083,9.064,9.07
1641193140,9.072,9.087,9.072,9.085
1641193200,9.086,9.086,9.062,9.063
1641193260,9.063,9.068,9.06,9.06
1641193320,9.064,9.066,9.053,9.059
1641193380,9.054,9.056,9.042,9.052
1641193440,9.052,9.052,9.041,9.05
1641193500,9.05,9.05,9.038,9.038
1641193560,9.038,9.051,9.038,9.043
1641193620,9.045,9.048,9.041,9.045
1641193680,9.045,9.06,9.043,9.057
1641193740,9.061,9.068,9.054,9.067
1641193800,9.066,9.067,9.061,9.061
1641193860,9.061,9.061,9.043,9.052
1641193920,9.055,9.067,9.055,9.065
1641193980,9.065,9.069,9.061,9.063
1641194040,9.063,9.068,9.06,9.062
1641194100,9.062,9.062,9.042,9.058
1641194160,9.058,9.063,9.054,9.063
1641194220,9.064,9.065,9.058,9.064
1641194280,9.064,9.065,9.055,9.06
1641194340,9.06,9.084,9.058,9.083
1641194400,9.086,9.098,9.082,9.094
1641194460,9.097,9.127,9.097,9.121
1641194520,9.124,9.131,9.123,9.126
1641194580,9.124,9.128,9.106,9.121
1641194640,9.121,9.13,9.117,9.128
1641194700,9.128,9.157,9.128,9.135
1641194760,9.136,9.148,9.135,9.135
1641194820,9.133,9.145,9.125,9.145
1641194880,9.145,9.146,9.127,9.129
1641194940,9.13,9.147,9.13,9.133
1641195000,9.134,9.153,9.132,9.147
1641195060,9.151,9.151,9.139,9.139
1641195120,9.137,9.137,9.115,9.116
1641195180,9.117,9.135,9.117,9.13
1641195240,9.133,9.145,9.133,9.143
1641195300,9.143,9.143,9.127,9.136
1641195360,9.135,9.135,9.12,9.126
1641195420,9.131,9.139,9.131,9.137
1641195480,9.137,9.143,9.137,9.143
1641195540,9.141,9.141,9.123,9.125
1641195600,9.124,9.124,9.11,9.118
1641195660,9.118,9.118,9.104,9.107
1641195720,9.106,9.112,9.096,9.111
1641195780,9.104,9.104,9.088,9.088
1641195840,9.087,9.089,9.077,9.08
1641195900,9.079,9.083,9.072,9.08
1641195960,9.08,9.081,9.056,9.064
1641196020,9.063,9.072,9.058,9.061
1641196080,9.063,9.07,9.061,9.07
1641196140,9.072,9.072,9.058,9.058
1641196200,9.061,9.07,9.061,9.064
1641196260,9.069,9.095,9.069,9.095
1641196320,9.097,9.099,9.07,9.074
1641196380,9.075,9.079,9.066,9.076
1641196440,9.078,9.081,9.071,9.071
1641196500,9.07,9.07,9.06,9.064
1641196560,9.07,9.077,9.066,9.074
1641196620,9.073,9.077,9.073,9.073
1641196680,9.073,9.088,9.073,9.085
1641196740,9.084,9.094,9.084,9.092
1641196800,9.089,9.12,9.089,9.11
1641196860,9.109,9.11,9.082,9.1
1641196920,9.099,9.11,9.09,9.1
1641196980,9.097,9.105,9.089,9.101
1641197040,9.102,9.121,9.102,9.118
1641197100,9.12,9.134,9.116,9.116
1641197160,9.118,9.123,9.114,9.123
1641197220,9.123,9.127,9.107,9.111
1641197280,9.11,9.123,9.103,9.121
1641197340,9.124,9.13,9.106,9.109
1641197400,9.11,9.121,9.104,9.11
1641197460,9.111,9.116,9.104,9.104
1641197520,9.106,9.124,9.106,9.124
1641197580,9.122,9.122,9.107,9.109
1641197640,9.11,9.115,9.11,9.115
1641197700,9.116,9.119,9.099,9.099
1641197760,9.105,9.107,9.088,9.088
1641197820,9.09,9.095,9.073,9.075
1641197880,9.075,9.081,9.075,9.078
1641197940,9.08,9.096,9.08,9.096
1641198000,9.093,9.111,9.087,9.11
1641198060,9.108,9.113,9.102,9.102
1641198120,9.103,9.105,9.096,9.102
1641198180,9.102,9.112,9.101,9.108
1641198240,9.108,9.108,9.103,9.103
1641198300,9.103,9.103,9.09,9.095
1641198360,9.098,9.101,9.096,9.101
1641198420,9.099,9.11,9.099,9.11
1641198480,9.108,9.112,9.107,9.107
1641198540,9.106,9.106,9.091,9.098
1641198600,9.104,9.105,9.093,9.094
1641198660,9.094,9.097,9.092,9.094
1641198720,9.091,9.091,9.082,9.082
1641198780,9.083,9.092,9.082,9.084
1641198840,9.085,9.086,9.075,9.075
1641198900,9.076,9.084,9.076,9.084
1641198960,9.084,9.092,9.074,9.088
1641199020,9.085,9.089,9.081,9.088
1641199080,9.089,9.095,9.082,9.088
1641199140,9.085,9.086,9.073,9.074
1641199200,9.075,9.077,9.062,9.062
1641199260,9.063,9.077,9.061,9.076
1641199320,9.072,9.101,9.072,9.096
1641199380,9.094,9.117,9.091,9.109
1641199440,9.104,9.107,9.092,9.092
1641199500,9.093,9.1,9.093,9.096
1641199560,9.098,9.098,9.085,9.09
1641199620,9.09,9.09,9.08,9.082
1641199680,9.081,9.083,9.078,9.078
1641199740,9.079,9.087,9.078,9.082
1641199800,9.078,9.091,9.076,9.081
1641199860,9.081,9.093,9.081,9.086
1641199920,9.088,9.092,9.082,9.084
1641199980,9.082,9.096,9.082,9.09
1641200040,9.09,9.097,9.09,9.097
1641200100,9.095,9.095,9.084,9.087
1641200160,9.088,9.111,9.085,9.109
1641200220,9.11,9.121,9.106,9.12
1641200280,9.119,9.13,9.107,9.13
1641200340,9.123,9.142,9.123,9.137
1641200400,9.138,9.15,9.137,9.147
1641200460,9.147,9.147,9.123,9.135
1641200520,9.133,9.14,9.131,9.14
1641200580,9.141,9.155,9.136,9.155
1641200640,9.154,9.171,9.154,9.164
1641200700,9.165,9.183,9.164,9.183
1641200760,9.182,9.184,9.163,9.175
1641200820,9.174,9.179,9.164,9.165
1641200880,9.163,9.177,9.138,9.142
1641200940,9.146,9.153,9.138,9.153
1641201000,9.153,9.155,9.125,9.127
1641201060,9.128,9.129,9.111,9.111
1641201120,9.113,9.118,9.096,9.114
1641201180,9.111,9.114,9.098,9.114
1641201240,9.115,9.117,9.103,9.105
1641201300,9.106,9.106,9.093,9.099
1641201360,9.099,9.104,9.075,9.092
1641201420,9.089,9.092,9.067,9.078
1641201480,9.081,9.099,9.079,9.085
1641201540,9.083,9.087,9.071,9.081
1641201600,9.076,9.081,9.067,9.081
1641201660,9.081,9.087,9.071,9.087
1641201720,9.088,9.113,9.088,9.104
1641201780,9.105,9.132,9.102,9.132
1641201840,9.13,9.13,9.115,9.123
1641201900,9.126,9.137,9.123,9.125
