time,open,high,low,close
1641191760,40860.92,40875.57,40824.95,40868.61
1641191820,40849.18,40974.9,40849.18,40953.78
1641191880,40984.77,41004.8,40950.92,41000
1641191940,40982.65,41128.4,40936.57,41089.95
1641192000,41099.33,41102.46,40977.04,40999.93
1641192060,40996.49,41058.21,40981.14,41034.41
1641192120,41017.17,41057.04,40981.79,40981.79
1641192180,40959.4,41095.94,40959.4,41095.94
1641192240,41071.86,41100,41040.53,41099.06
1641192300,41082.39,41099.99,41038.83,41094.19
1641192360,41094.65,41111.46,41040,41064.31
1641192420,41040,41056.16,41025.59,41034.65
1641192480,41012.61,41046.69,40973.87,40997.69
1641192540,40985.2,40997.31,40913.94,40933.41
1641192600,40930.03,40989.39,40871.37,40874.38
1641192660,40894.17,40928.01,40842.6,40884.28
1641192720,40865.33,40892.99,40828.35,40848.68
1641192780,40848.74,40886.13,40848.74,40852.4
1641192840,40852.4,40992.19,40842.28,40897.21
1641192900,40903.44,40931.53,40861.61,40862.08
1641192960,40852.72,40930.59,40846.49,40869.51
1641193020,40857.42,40955.72,40857.42,40904.41
1641193080,40883.4,40898.77,40803.73,40834.39
1641193140,40861.49,41109.91,40861.49,41032.04
1641193200,41042.09,41063.26,40984.07,40993.08
1641193260,41000.5,41086.05,40987.67,41068.69
1641193320,41056.28,41317.27,41056.28,41202.38
1641193380,41202.38,41234.24,41118.59,41150.58
1641193440,41134.73,41190.83,41102.93,41123.07
1641193500,41125.35,41175,41032.05,41053.21
1641193560,41078.85,41139.35,41046.63,41134.43
1641193620,41134.17,41134.17,41011.61,41032.01
1641193680,41031.98,41049.62,40961.92,40999.99
1641193740,40975.77,41002.27,40946.45,40946.45
1641193800,40971.6,41035.89,40944.95,41031.31
1641193860,40997.36,41038.41,40983.91,40983.92
1641193920,41008.55,41013.19,40941.48,40965.18
1641193980,40933.19,40981.65,40928.97,40963.58
1641194040,40967.31,40983.81,40946.88,40946.88
1641194100,40941.58,41086.14,40911,41083.21
1641194160,41083.21,41225.26,41050.73,41153.64
1641194220,41171.83,41225.08,41152.47,41153.28
1641194280,41156.66,41199.21,41141.89,41194.04
1641194340,41170.17,41183.92,41108.76,41114.95
1641194400,41149.82,41150,41103.93,41103.93
1641194460,41103.93,41117.11,41012.5,41102.24
1641194520,41088.29,41103.93,41088.24,41088.24
1641194580,41094.02,41127.43,41034.54,41088.44
1641194640,41088.49,41166,41088.49,41122.24
1641194700,41120.94,41162.58,41101.49,41160.96
1641194760,41138.46,41160.96,41124.57,41149.34
1641194820,41115.53,41146.46,41059.9,41072.98
1641194880,41095.55,41151.04,41088.15,41151.04
1641194940,41151.12,41169.34,41105.56,41121.93
1641195000,41116.96,41128.07,41073.3,41097.54
1641195060,41073.46,41151.08,41073.46,41118.52
1641195120,41127.01,41131.68,41089.64,41119.5
1641195180,41115.32,41122.16,41091.01,41091.62
1641195240,41100.87,41115.54,41036.96,41068.21
1641195300,41068.1,41068.1,41003.92,41041.31
1641195360,41032.79,41040.84,40939.14,40982.31
1641195420,40948.15,41000.93,40942.64,40969.71
1641195480,40977.69,41008.65,40794.05,40845.15
1641195540,40845.15,40891.17,40776.7,40832.81
1641195600,40811.24,40860.61,40750.12,40856.68
1641195660,40830.72,40830.72,40696.29,40721.25
1641195720,40769.65,40784.76,40734.26,40759.87
1641195780,40764.64,40852.34,40744.11,40815.17
1641195840,40812.92,40845.72,40778.87,40790.15
1641195900,40796.35,40814.53,40740.67,40740.67
1641195960,40743.18,40749.07,40682.31,40686
1641196020,40715.41,40918.1,40680,40828.67
1641196080,40835.87,40863.84,40730.52,40759.47
1641196140,40751.28,40763.55,40728,40742.22
1641196200,40728.04,40772.52,40708.7,40749.35
1641196260,40760.98,40798.21,40755.85,40776.18
1641196320,40762.73,40780.31,40750,40750
1641196380,40764.49,40784.04,40745.28,40765.25
1641196440,40765.25,40781.71,40745.28,40745.28
1641196500,40745.28,40759.77,40691.81,40691.81
1641196560,40700.71,40713.93,40679.29,40683.11
1641196620,40685.23,40734.18,40651.95,40703.94
1641196680,40717.8,40792.31,40660.81,40730.22
1641196740,40741.69,40773.61,40667.1,40708.86
1641196800,40713.07,40771.07,40611,40701.47
1641196860,40684.48,40719.45,40584.92,40677.56
1641196920,40694.53,40694.53,40496.6,40549.97
1641196980,40530.79,40588.53,40470,40530.35
1641197040,40551,40564.96,40450,40468.29
1641197100,40490.68,40550.02,40468.52,40550.02
1641197160,40564.69,40569.43,40458.92,40462.67
1641197220,40479.17,40480.49,40440.76,40460
1641197280,40478.14,40484.68,40415.03,40463.65
1641197340,40439.25,40564.83,40439.25,40531.67
1641197400,40517.3,40608.64,40466.96,40579.27
1641197460,40597.63,40655.84,40574.69,40575.8
1641197520,40580.38,40681.24,40580.38,40604.58
1641197580,40599.68,40599.68,40537.11,40537.13
1641197640,40546.58,40687.3,40546.58,40687.07
1641197700,40650.82,40676.02,40496.45,40556.77
1641197760,40584.79,40584.79,40473.69,40498.47
1641197820,40498.53,40533.95,40458.43,40518.77
1641197880,40518.27,40551.61,40476.78,40491.15
1641197940,40511.6,40560.73,40423.61,40524.23
1641198000,40503.29,40512.94,40434.27,40485.07
1641198060,40493.3,40506.77,40461.77,40469.44
1641198120,40461.76,40521.72,40461.76,40495.08
