hour,3crvBalance,lusdBalance,3crvPerLusd
2021-12-26T09:00:00+00:00,50631117.080433104828449900000000000000000000,70031192.240903299849957091000000000000000000,72.297951041965635890430434433744537884
2021-12-26T13:00:00+00:00,50631952.315008732289424600000000000000000000,70031192.240903299849957091000000000000000000,72.299143702762776544209926524009346253
2021-12-26T14:00:00+00:00,50632001.343573662312402100000000000000000000,70031192.240903299849957091000000000000000000,72.299213712373296050311645322560513416
2021-12-26T18:00:00+00:00,50298980.781790142932402100000000000000000000,70371186.040751573110957091000000000000000000,71.476670512079013833011585901511604625
2021-12-26T21:00:00+00:00,50283677.581315149980402100000000000000000000,70371186.040751573110957091000000000000000000,71.454924110837274136598098757880037637
2021-12-26T22:00:00+00:00,55186420.579189375695402100000000000000000000,65370625.875605232628957091000000000000000000,84.420823328515260795617563622573332317
2021-12-27T02:00:00+00:00,55181787.209052846180545200000000000000000000,65375354.649547746969217391000000000000000000,84.407629610365076992618402508013517334
2021-12-27T04:00:00+00:00,57475031.729047214850545200000000000000000000,63086120.353257310645217391000000000000000000,91.105668580045468288954470619306263973
2021-12-27T05:00:00+00:00,57473568.775467373298956100000000000000000000,63084514.437081758478245491000000000000000000,91.105668781503356141247754014398701493
2021-12-27T06:00:00+00:00,57370028.099467881245956100000000000000000000,63190171.331390135365245491000000000000000000,90.789480216156559950173423929989790636
2021-12-27T07:00:00+00:00,56154734.300365163675956100000000000000000000,64430359.718064428802245491000000000000000000,87.155705083889176834724214439144092952
2021-12-27T08:00:00+00:00,56154734.300365163675956100000000000000000000,64430237.587425362019472291000000000000000000,87.155870291753663878964839325260790686
2021-12-27T10:00:00+00:00,56158647.648725386077669800000000000000000000,64430222.492561414819026791000000000000000000,87.161964488340860613269889248699223879
2021-12-27T13:00:00+00:00,56040436.246595963257669800000000000000000000,64550860.968885680267026791000000000000000000,86.815939253867043192966531503719702918
2021-12-27T14:00:00+00:00,55548877.322681825661669800000000000000000000,65052523.399424808772026791000000000000000000,85.390811024515900817735219997303310141
2021-12-27T15:00:00+00:00,55526509.980873484284669800000000000000000000,65052523.399424808772026791000000000000000000,85.356427513101585492433750894260259385
2021-12-27T16:00:00+00:00,55349594.926181727700130600000000000000000000,65229102.161911920512026791000000000000000000,84.854141927007912621748418647186987927
