day,lusd
2021-12-15T00:00:00+00:00,42432996.5239839102247457
2021-04-30T00:00:00+00:00,10243819.34752068746823130000
2021-07-26T00:00:00+00:00,7130471.5092535112809300
2022-02-02T00:00:00+00:00,9832580.438663554154
2021-09-11T00:00:00+00:00,11571750.8229697193574724
2021-09-19T00:00:00+00:00,8992953.52797006510468340000
2021-11-11T00:00:00+00:00,3308572.38023999209400000000
2022-02-25T00:00:00+00:00,1394202.8606272623919811
2022-03-20T00:00:00+00:00,1911709.288956670943
2022-03-10T00:00:00+00:00,27000185.3579773907754143
2021-10-15T00:00:00+00:00,59220232.4148536226894221
2022-03-14T00:00:00+00:00,1547972.5063248878754756
2022-03-19T00:00:00+00:00,659184.9077658517080000
2022-03-25T00:00:00+00:00,1897035.1888958334403986
2021-12-31T00:00:00+00:00,6868967.2639243061065418
2021-07-23T00:00:00+00:00,2577220.84587396484227660000
2021-05-14T00:00:00+00:00,19988956.2497044555455022
2021-04-27T00:00:00+00:00,15631006.68396330823370600000
2021-06-02T00:00:00+00:00,10869995.67028138274869880000
2021-07-13T00:00:00+00:00,5266715.2416697688804296
2021-11-17T00:00:00+00:00,10149279.0151413357258275
2021-11-24T00:00:00+00:00,9391023.4813381173166293
2021-08-29T00:00:00+00:00,1759888.0646504737804540
2021-08-18T00:00:00+00:00,16693018.9751569776419832
2021-07-21T00:00:00+00:00,3969210.8006566867827449
2021-05-22T00:00:00+00:00,18972779.90850850009167030000
2021-08-04T00:00:00+00:00,11991355.0344144193993732
2021-04-17T00:00:00+00:00,31945.658266824637
2021-11-06T00:00:00+00:00,25775591.9732643328700000
2022-03-05T00:00:00+00:00,1776941.2972155737114462
2022-02-17T00:00:00+00:00,20522227.8184226016150000
2021-08-28T00:00:00+00:00,5267074.4177987445655325
2021-05-15T00:00:00+00:00,23129360.49181962213064830000
2021-05-17T00:00:00+00:00,47019254.2627073612066965
2021-09-05T00:00:00+00:00,1369646.0792919948570848
2021-08-16T00:00:00+00:00,5293766.57854290865291690000
2022-01-11T00:00:00+00:00,15365528.664313311206
2022-04-02T00:00:00+00:00,5792375.7886356683976953
2021-05-03T00:00:00+00:00,19717779.7577731099070638
2021-05-01T00:00:00+00:00,15253932.7616005863244613
2022-01-10T00:00:00+00:00,22922760.952263515284
2022-01-30T00:00:00+00:00,688610.2768990949757755
2021-11-26T00:00:00+00:00,25744741.4199868360186642
2022-02-11T00:00:00+00:00,547314.0821734849646985
2021-10-11T00:00:00+00:00,14712713.2937103861207788
2022-02-26T00:00:00+00:00,7419597.9921470211750000
2021-07-11T00:00:00+00:00,1663300.6462883389188559
2021-11-10T00:00:00+00:00,27968315.7553237020439866
2021-04-24T00:00:00+00:00,15779279.3279707371711125
2021-12-09T00:00:00+00:00,26811527.27181666616675490000
2022-03-06T00:00:00+00:00,7617659.6225342496069757
2021-08-14T00:00:00+00:00,9595259.0429873261892745
2021-08-30T00:00:00+00:00,30343048.9191456152463649
2021-06-05T00:00:00+00:00,18305297.27337433207143790000
2022-03-01T00:00:00+00:00,10202241.1776336913080000
2022-02-14T00:00:00+00:00,4139459.2452808646628561
2021-07-16T00:00:00+00:00,9071308.7232028010648268
2021-08-24T00:00:00+00:00,3782502.8626904033369721
2021-10-21T00:00:00+00:00,9576809.5721458417856590
2022-01-09T00:00:00+00:00,6651841.0502292402180000
2021-04-18T00:00:00+00:00,311672.1331942791100987
2022-03-02T00:00:00+00:00,15027033.0867240530785125
2021-08-27T00:00:00+00:00,2571395.94714820950782830000
2021-11-18T00:00:00+00:00,19673207.011715244002
2022-03-22T00:00:00+00:00,2242240.0603866731440105
2021-06-20T00:00:00+00:00,4456780.3319220140126997
2021-06-24T00:00:00+00:00,2336788.1004524994626143
2022-01-26T00:00:00+00:00,30340057.5992462537914293
2021-08-10T00:00:00+00:00,6943346.71173565221944630000
2022-04-04T00:00:00+00:00,4713801.833725075416
2021-10-24T00:00:00+00:00,18594464.74371432458241540000
2021-05-20T00:00:00+00:00,25075083.95263847091366640000
2022-03-21T00:00:00+00:00,5806646.516203162512
2021-11-12T00:00:00+00:00,23340789.15363410648268580000
2021-12-18T00:00:00+00:00,18764111.01442758815558070000
2021-10-26T00:00:00+00:00,22910335.9100331881248405
2021-11-14T00:00:00+00:00,5032045.5265360262437645
2021-09-07T00:00:00+00:00,30953288.4987037118862054
2021-06-21T00:00:00+00:00,14249141.96733456861823240000
2021-11-03T00:00:00+00:00,13429213.7162916059390947
2021-10-13T00:00:00+00:00,21944941.3737746160838782
2022-03-24T00:00:00+00:00,5851616.4634348074273360
2022-03-03T00:00:00+00:00,3019589.5559049424330461
2022-02-06T00:00:00+00:00,1906828.13983898171595090000
2022-01-08T00:00:00+00:00,6945034.3341056621346780
2021-12-13T00:00:00+00:00,12081784.1751527713208687
2021-06-29T00:00:00+00:00,6251873.81333522325367880000
2021-06-16T00:00:00+00:00,8129714.6730563606545773
2021-06-07T00:00:00+00:00,3917950.00953941871470520000
2021-09-16T00:00:00+00:00,2770997.63253602290932540000
2022-01-13T00:00:00+00:00,26974823.0375101269171481
2021-05-31T00:00:00+00:00,6793966.46975159311065650000
2022-02-21T00:00:00+00:00,5069286.1066815702885488
2021-05-18T00:00:00+00:00,21347937.9054026018679760
2021-06-17T00:00:00+00:00,3823961.0008398307164103
2021-06-30T00:00:00+00:00,6904012.18553219638219570000
2022-01-02T00:00:00+00:00,6249184.5154156850966061
2022-03-31T00:00:00+00:00,4512055.4060570480901018
2021-08-31T00:00:00+00:00,10162734.7166639268722750
2021-10-09T00:00:00+00:00,7204952.95001098542200000000
2021-08-08T00:00:00+00:00,9802689.48563166500750670000
2021-05-10T00:00:00+00:00,24179280.0253841706852981
2021-07-04T00:00:00+00:00,3756333.89024421242999300000
2021-10-18T00:00:00+00:00,8901680.1774070837320368
2022-03-30T00:00:00+00:00,304221.6475737364636885
2022-01-28T00:00:00+00:00,19875253.5236017161212533
2021-09-23T00:00:00+00:00,15251491.29644643146426840000
2021-05-05T00:00:00+00:00,14292148.99075269107668330000
2021-05-09T00:00:00+00:00,20064691.1080462146092991
2021-08-02T00:00:00+00:00,2001969.70010300290641636600
2021-05-28T00:00:00+00:00,12657088.8949095595460292
2021-11-13T00:00:00+00:00,4602451.6339141138680088
2021-09-28T00:00:00+00:00,9531434.2911396240467774
2021-06-11T00:00:00+00:00,1564294.7462243385422020
2022-01-23T00:00:00+00:00,22083122.5836612752068693
