day,pool,TVL
2022-02-04T00:00:00,Total,88840916.15793009
2022-02-03T00:00:00,Total,77760934.52591254
2022-02-02T00:00:00,Total,76262461.90137868
2022-02-01T00:00:00,Total,76252541.56645024
2022-01-31T00:00:00,Total,72357654.6105699
2022-01-30T00:00:00,Total,70542951.01640707
2022-01-29T00:00:00,Total,70537327.8535799
2022-01-28T00:00:00,Total,70522302.61774242
2022-01-27T00:00:00,Total,67570880.35718349
2022-01-26T00:00:00,Total,49583082.113229066
2022-01-25T00:00:00,Total,38486209.14769892
2022-01-24T00:00:00,Total,37755924.402847536
2022-01-23T00:00:00,Total,30926188.722236864
2022-01-22T00:00:00,Total,30729841.515628524
2022-01-21T00:00:00,Total,33488619.39074961
2022-01-20T00:00:00,Total,33488619.39074961
2022-01-19T00:00:00,Total,33488763.569553204
2022-01-18T00:00:00,Total,32246257.525552116
2022-01-17T00:00:00,Total,34103614.03109752
2022-01-16T00:00:00,Total,27037000.87519288
2022-01-15T00:00:00,Total,29841873.874087892
2022-01-14T00:00:00,Total,30342674.68823643
2022-01-13T00:00:00,Total,30342674.68823643
2022-01-12T00:00:00,Total,30343265.642199434
2022-01-11T00:00:00,Total,31088401.915878028
2022-01-10T00:00:00,Total,31645924.533923585
2022-01-09T00:00:00,Total,31885734.759252533
2022-01-08T00:00:00,Total,28326835.59666469
2022-01-07T00:00:00,Total,27986357.24672991
2022-01-06T00:00:00,Total,31166381.51075077
2022-01-05T00:00:00,Total,31166381.51075077
2022-01-04T00:00:00,Total,31166381.51075077
2022-01-03T00:00:00,Total,31147784.819943056
2022-01-02T00:00:00,Total,30274548.96647442
2022-01-01T00:00:00,Total,30274548.96647442
2021-12-31T00:00:00,Total,29875586.207030527
2021-12-30T00:00:00,Total,19868778.144700535
2021-12-29T00:00:00,Total,21607819.8024704
2021-12-28T00:00:00,Total,16803588.972563818
2021-12-27T00:00:00,Total,17004617.646512493
2021-12-26T00:00:00,Total,16801029.996094435
2021-12-25T00:00:00,Total,
2021-12-24T00:00:00,Total,
2021-12-23T00:00:00,Total,
2021-12-22T00:00:00,Total,
2021-12-21T00:00:00,Total,
2021-12-20T00:00:00,Total,
2021-12-19T00:00:00,Total,
2021-12-18T00:00:00,Total,
2021-12-17T00:00:00,Total,
2021-12-16T00:00:00,Total,
2021-12-15T00:00:00,Total,
2021-12-14T00:00:00,Total,
2021-12-13T00:00:00,Total,
2021-12-13T00:00:00,BB-A-USD (7b507753),
2021-12-14T00:00:00,BB-A-USD (7b507753),
2021-12-15T00:00:00,BB-A-USD (7b507753),
2021-12-16T00:00:00,BB-A-USD (7b507753),
2021-12-17T00:00:00,BB-A-USD (7b507753),
2021-12-18T00:00:00,BB-A-USD (7b507753),
2021-12-19T00:00:00,BB-A-USD (7b507753),
2021-12-20T00:00:00,BB-A-USD (7b507753),
2021-12-21T00:00:00,BB-A-USD (7b507753),
2021-12-22T00:00:00,BB-A-USD (7b507753),
2021-12-23T00:00:00,BB-A-USD (7b507753),
2021-12-24T00:00:00,BB-A-USD (7b507753),
2021-12-25T00:00:00,BB-A-USD (7b507753),
2021-12-26T00:00:00,BB-A-USD (7b507753),16801029.996094435
2021-12-27T00:00:00,BB-A-USD (7b507753),17004617.646512493
2021-12-28T00:00:00,BB-A-USD (7b507753),16803588.972563818
2021-12-29T00:00:00,BB-A-USD (7b507753),21607819.8024704
2021-12-30T00:00:00,BB-A-USD (7b507753),19868778.144700535
2021-12-31T00:00:00,BB-A-USD (7b507753),29875586.207030527
2022-01-01T00:00:00,BB-A-USD (7b507753),30274548.96647442
2022-01-02T00:00:00,BB-A-USD (7b507753),30274548.96647442
2022-01-03T00:00:00,BB-A-USD (7b507753),31147784.819943056
2022-01-04T00:00:00,BB-A-USD (7b507753),31166381.51075077
2022-01-05T00:00:00,BB-A-USD (7b507753),31166381.51075077
2022-01-06T00:00:00,BB-A-USD (7b507753),31166381.51075077
2022-01-07T00:00:00,BB-A-USD (7b507753),27986357.24672991
2022-01-08T00:00:00,BB-A-USD (7b507753),28326835.59666469
2022-01-09T00:00:00,BB-A-USD (7b507753),31885734.759252533
2022-01-10T00:00:00,BB-A-USD (7b507753),31645924.533923585
2022-01-11T00:00:00,BB-A-USD (7b507753),31088401.915878028
2022-01-12T00:00:00,BB-A-USD (7b507753),30343265.642199434
2022-01-13T00:00:00,BB-A-USD (7b507753),30342674.68823643
2022-01-14T00:00:00,BB-A-USD (7b507753),30342674.68823643
2022-01-15T00:00:00,BB-A-USD (7b507753),29841873.874087892
2022-01-16T00:00:00,BB-A-USD (7b507753),27037000.87519288
2022-01-17T00:00:00,BB-A-USD (7b507753),34103614.03109752
2022-01-18T00:00:00,BB-A-USD (7b507753),32246257.525552116
2022-01-19T00:00:00,BB-A-USD (7b507753),33488763.569553204
2022-01-20T00:00:00,BB-A-USD (7b507753),33488619.39074961
2022-01-21T00:00:00,BB-A-USD (7b507753),33488619.39074961
2022-01-22T00:00:00,BB-A-USD (7b507753),30729841.515628524
2022-01-23T00:00:00,BB-A-USD (7b507753),30926188.722236864
2022-01-24T00:00:00,BB-A-USD (7b507753),37755924.402847536
2022-01-25T00:00:00,BB-A-USD (7b507753),38486209.14769892
2022-01-26T00:00:00,BB-A-USD (7b507753),49583082.113229066
2022-01-27T00:00:00,BB-A-USD (7b507753),67570880.35718349
2022-01-28T00:00:00,BB-A-USD (7b507753),70522302.61774242
2022-01-29T00:00:00,BB-A-USD (7b507753),70537327.8535799
2022-01-30T00:00:00,BB-A-USD (7b507753),70542951.01640707
2022-01-31T00:00:00,BB-A-USD (7b507753),72357654.6105699
2022-02-01T00:00:00,BB-A-USD (7b507753),76252541.56645024
2022-02-02T00:00:00,BB-A-USD (7b507753),76262461.90137868
2022-02-03T00:00:00,BB-A-USD (7b507753),77760934.52591254
2022-02-04T00:00:00,BB-A-USD (7b507753),88840916.15793009
