dt,median_gas_price_gwei
2021-04-20T00:00:00+00:00,264
2021-04-21T00:00:00+00:00,166.000001459
2021-04-22T00:00:00+00:00,134.2
2021-04-23T00:00:00+00:00,112
2021-04-24T00:00:00+00:00,63.964813376
2021-04-25T00:00:00+00:00,49
2021-04-26T00:00:00+00:00,55
2021-04-27T00:00:00+00:00,59.8
2021-04-28T00:00:00+00:00,69
2021-04-29T00:00:00+00:00,62
2021-04-30T00:00:00+00:00,48
2021-05-01T00:00:00+00:00,39
2021-05-02T00:00:00+00:00,35
2021-05-03T00:00:00+00:00,50
2021-05-04T00:00:00+00:00,58.3
2021-05-05T00:00:00+00:00,52.9
2021-05-06T00:00:00+00:00,60
2021-05-07T00:00:00+00:00,60
2021-05-08T00:00:00+00:00,117
2021-05-09T00:00:00+00:00,114
2021-05-10T00:00:00+00:00,240
2021-05-11T00:00:00+00:00,305
2021-05-12T00:00:00+00:00,264
2021-05-13T00:00:00+00:00,156.45
2021-05-14T00:00:00+00:00,121
2021-05-15T00:00:00+00:00,91
2021-05-16T00:00:00+00:00,66
2021-05-17T00:00:00+00:00,84
2021-05-18T00:00:00+00:00,79
2021-05-19T00:00:00+00:00,183.75
2021-05-20T00:00:00+00:00,101
2021-05-21T00:00:00+00:00,70
2021-05-22T00:00:00+00:00,49.5
2021-05-23T00:00:00+00:00,93.491937654
2021-05-24T00:00:00+00:00,60
2021-05-25T00:00:00+00:00,47
2021-05-26T00:00:00+00:00,43.5750775005
2021-05-27T00:00:00+00:00,35
2021-05-28T00:00:00+00:00,37
2021-05-29T00:00:00+00:00,27
2021-05-30T00:00:00+00:00,24
2021-05-31T00:00:00+00:00,25
2021-06-01T00:00:00+00:00,25
2021-06-02T00:00:00+00:00,27
2021-06-03T00:00:00+00:00,29
2021-06-04T00:00:00+00:00,25
2021-06-05T00:00:00+00:00,18
2021-06-06T00:00:00+00:00,14
2021-06-07T00:00:00+00:00,19
2021-06-08T00:00:00+00:00,22
2021-06-09T00:00:00+00:00,19
2021-06-10T00:00:00+00:00,18
2021-06-11T00:00:00+00:00,20
2021-06-12T00:00:00+00:00,15
2021-06-13T00:00:00+00:00,12
2021-06-14T00:00:00+00:00,17.6
2021-06-15T00:00:00+00:00,18.7
2021-06-16T00:00:00+00:00,17
2021-06-17T00:00:00+00:00,20
2021-06-18T00:00:00+00:00,18
2021-06-19T00:00:00+00:00,13
2021-06-20T00:00:00+00:00,13
2021-06-21T00:00:00+00:00,41
2021-06-22T00:00:00+00:00,41.925750069
2021-06-23T00:00:00+00:00,19.8
2021-06-24T00:00:00+00:00,17.6
2021-06-25T00:00:00+00:00,20
2021-06-26T00:00:00+00:00,14
2021-06-27T00:00:00+00:00,11.1
2021-06-28T00:00:00+00:00,19
2021-06-29T00:00:00+00:00,21
2021-06-30T00:00:00+00:00,20
2021-07-01T00:00:00+00:00,20
2021-07-02T00:00:00+00:00,14.3
2021-07-03T00:00:00+00:00,12
2021-07-04T00:00:00+00:00,11.000001459
2021-07-05T00:00:00+00:00,14
2021-07-06T00:00:00+00:00,53
2021-07-07T00:00:00+00:00,37
2021-07-08T00:00:00+00:00,34
2021-07-09T00:00:00+00:00,25
2021-07-10T00:00:00+00:00,15
2021-07-11T00:00:00+00:00,12
2021-07-12T00:00:00+00:00,25
2021-07-13T00:00:00+00:00,30
2021-07-14T00:00:00+00:00,39.375350001
2021-07-15T00:00:00+00:00,39
2021-07-16T00:00:00+00:00,35
2021-07-17T00:00:00+00:00,25
2021-07-18T00:00:00+00:00,22
2021-07-19T00:00:00+00:00,24
2021-07-20T00:00:00+00:00,27.66
2021-07-21T00:00:00+00:00,20.91
2021-07-22T00:00:00+00:00,24
2021-07-23T00:00:00+00:00,20.1
2021-07-24T00:00:00+00:00,16
2021-07-25T00:00:00+00:00,18.000000001
2021-07-26T00:00:00+00:00,36
2021-07-27T00:00:00+00:00,28
2021-07-28T00:00:00+00:00,33
2021-07-29T00:00:00+00:00,29
2021-07-30T00:00:00+00:00,36
2021-07-31T00:00:00+00:00,28.6
2021-08-01T00:00:00+00:00,31
2021-08-02T00:00:00+00:00,35
2021-08-03T00:00:00+00:00,41.8
2021-08-04T00:00:00+00:00,39.5
2021-08-05T00:00:00+00:00,50
2021-08-06T00:00:00+00:00,47.925046206
2021-08-07T00:00:00+00:00,49.978372551
2021-08-08T00:00:00+00:00,40.979507457
2021-08-09T00:00:00+00:00,49.000001459
2021-08-10T00:00:00+00:00,50.8744558
2021-08-11T00:00:00+00:00,57.416139473
2021-08-12T00:00:00+00:00,48.305826388
2021-08-13T00:00:00+00:00,50.105694492
2021-08-14T00:00:00+00:00,45.702770544
2021-08-15T00:00:00+00:00,39
2021-08-16T00:00:00+00:00,53.8954432255
2021-08-17T00:00:00+00:00,49
2021-08-18T00:00:00+00:00,41.776330974
2021-08-19T00:00:00+00:00,37.150226671
2021-08-20T00:00:00+00:00,39.244276497
2021-08-21T00:00:00+00:00,33.466048548
2021-08-22T00:00:00+00:00,34.77394282
2021-08-23T00:00:00+00:00,59.308179266
2021-08-24T00:00:00+00:00,75.966932733
2021-08-25T00:00:00+00:00,88.022194309
2021-08-26T00:00:00+00:00,83
2021-08-27T00:00:00+00:00,88.526363527
2021-08-28T00:00:00+00:00,70.857597981
2021-08-29T00:00:00+00:00,73.462543534
2021-08-30T00:00:00+00:00,89.394853757
2021-08-31T00:00:00+00:00,102.099673773
2021-09-01T00:00:00+00:00,108.376322483
2021-09-02T00:00:00+00:00,102
2021-09-03T00:00:00+00:00,135.765941954
2021-09-04T00:00:00+00:00,109
2021-09-05T00:00:00+00:00,99
2021-09-06T00:00:00+00:00,106.064527672
2021-09-07T00:00:00+00:00,119
2021-09-08T00:00:00+00:00,120.086840811
2021-09-09T00:00:00+00:00,116.709842175
2021-09-10T00:00:00+00:00,92.000001459
2021-09-11T00:00:00+00:00,65.134523922
2021-09-12T00:00:00+00:00,57.154328697
2021-09-13T00:00:00+00:00,72
2021-09-14T00:00:00+00:00,57.697124178
2021-09-15T00:00:00+00:00,63.345825814
2021-09-16T00:00:00+00:00,71.274902626
2021-09-17T00:00:00+00:00,68.53499727
2021-09-18T00:00:00+00:00,51.743827831
2021-09-19T00:00:00+00:00,48.676306532
2021-09-20T00:00:00+00:00,78.878159425
2021-09-21T00:00:00+00:00,82.03669663
2021-09-22T00:00:00+00:00,62.71524727
2021-09-23T00:00:00+00:00,68.318899531
2021-09-24T00:00:00+00:00,69
2021-09-25T00:00:00+00:00,44.778363904
2021-09-26T00:00:00+00:00,59
2021-09-27T00:00:00+00:00,73.39365254
2021-09-28T00:00:00+00:00,81.047470239
2021-09-29T00:00:00+00:00,71.000001561
2021-09-30T00:00:00+00:00,84.093796172
2021-10-01T00:00:00+00:00,81.965354853
2021-10-02T00:00:00+00:00,60
2021-10-03T00:00:00+00:00,57.490704364
2021-10-04T00:00:00+00:00,88.000001459
2021-10-05T00:00:00+00:00,107.179700897
