liquidationPrice,cumulativeDepth
3541.06,23.5000000000000000
3519.99,73.5000000000000000
3519.14,274.0855482422120174
3502.25,274.77954824221201740000
3490.84,288.77442052091821180000
3488.93,293.27442052091821180000
3450.35,337.27442052091821180000
3390.49,337.92329420841288632800
3361.56,466.92329420841288632800
3350.20,1469.51941408197928302800
3341.44,1478.19441408197928302800
3334.53,1479.19441408197928302800
3331.40,1494.19441408197928302800
3320.27,1502.77441408197928302800
3312.05,1547.94963354697621852800
3309.53,1562.95950629571575352800
3301.36,1712.95950629571575352800
3293.69,1731.45950629571575352800
3280.75,1768.32725074165107962800
3265.88,3823.61485796263132302800
3257.46,3893.61485796263132302800
3252.87,4421.13868712450011302800
3251.13,5924.13868712450011302800
3239.81,5932.08558712450011302800
3224.45,5935.58558712450011302800
3218.32,5947.38558712450011302800
3218.12,5956.38558712450011302800
3209.35,6117.38558712450011302800
3203.62,6126.80607924105415072800
3196.48,6130.80607924105415072800
3194.08,6166.80607924105415072800
3188.99,6169.40607924105415072800
3183.44,6185.11109157574849812800
3179.96,6195.91109157574849812800
3178.97,6211.91109157574849812800
3176.60,6227.68109157574849812800
3175.59,6228.38109157574849812800
3173.38,6260.75719157574849812800
3173.21,6297.75719157574849812800
3168.72,6300.75719157574849812800
3161.73,6370.75719157574849812800
3157.11,6371.45719157574849812800
3157.00,6372.85719157574849812800
3157.00,6372.85719157574849812800
3145.43,6386.85719157574849812800
3139.16,6789.56508273101023672800
3133.99,9934.28911392608582292800
3129.05,10064.28911392608582292800
3128.45,13114.73616102630761612800
3127.70,13121.78276102630761612800
3121.70,13136.78749754737658402800
3116.10,13168.78749754737658402800
3111.48,13306.78749754737658402800
3111.10,14188.78749754737658402800
3101.29,14232.22189754737658402800
3099.24,14357.22189754737658402800
3096.44,14366.22189754737658402800
3095.67,14370.22189754737658402800
3091.20,14409.54067257592791142800
3090.95,14413.54067257592791142800
3088.09,15610.54067257592791142800
3086.24,15644.28797257592791142800
3082.78,15734.28797257592791142800
3079.97,15741.73797257592791142800
3068.24,15749.73797257592791142800
3061.29,15880.39697257592791142800
3046.72,15884.59697257592791142800
3044.78,15885.59699257592791142800
3043.38,16220.59699257592791142800
3041.42,16329.59699257592791142800
3039.91,16330.39699257592791142800
3034.27,16358.39699257592791142800
3030.50,16811.89699257592791142800
3027.65,16993.89699257592791142800
3022.10,17001.90489257592791142800
3018.83,17095.40489257592791142800
3015.72,17097.30489257592791142800
3013.94,17100.30489257592791142800
3007.57,17181.33919257592791142800
3006.49,23994.63679748330381792800
3001.42,24011.94517452848504502800
2999.70,24024.41097452848504502800
2998.04,74024.50351405826804502800
2996.49,74545.51081405826804502800
2994.88,75272.91081405826804502800
2991.29,75275.65670153967101912800
2984.01,75302.65670153967101912800
2983.42,75321.90670153967101912800
2979.68,75332.90670153967101912800
2978.40,75336.50670153967101912800
2977.79,75413.42930153967101912800
2975.36,75482.79854501289657892800
2972.76,75982.86901874496415162800
2969.46,76056.92123240811176212800
2964.62,76140.89807732051805982800
2959.92,76144.52057732051805982800
2956.03,76145.27057732051805982800
2952.53,76169.77057732051805982800
2947.67,76172.47057732051805982800
2946.81,76173.37057732051805982800
2937.96,76387.93497732051805982800
2933.33,76388.68497732051805982800
2929.77,76420.84152537633160412800
2928.11,76541.84152537633160412800
2926.81,78264.34152537633160412800
2925.93,78270.34152537633160412800
2923.50,78856.54152537633160412800
2918.41,78861.54152537633160412800
2915.21,78865.54152537633160412800
2912.25,79055.54152537633160412800
2909.92,79069.37302537633160412800
2901.98,81475.37302537633160412800
2896.17,81505.43461353651379172800
2892.05,81510.81111353651379172800
2889.05,82185.06631353651379172800
2885.22,82203.36631353651379172800
2884.88,82205.36631353651379172800
2880.62,82225.36631353651379172800
2880.43,82359.07671353651379172800
2876.00,82493.07671353651379172800
2873.75,82497.07671353651379172800
2873.75,82497.07671353651379172800
2871.65,82518.32671353651379172800
2867.60,82543.32671353651379172800
2866.78,82584.00161353651379172800
2866.72,82613.00161353651379172800
2860.68,82617.40161353651379172800
2847.93,82717.40161353651379172800
2837.45,82729.03840495036757602800
2834.90,83314.03840495036757602800
2833.04,83564.10680495036757602800
2829.41,83581.10680495036757602800
2826.99,83610.91080495036757602800
2821.16,83614.91080495036757602800
2819.99,83629.49374485031966292800
