hour,3crvBalance,lusdBalance,3crvPerLusd
2021-12-03T22:00:00+00:00,53994394.236417537958979584000000000000000000,47056571.137543797497080991000000000000000000,114.743579761888857074574277140709735460
2021-12-04T00:00:00+00:00,54002929.442233314583865984000000000000000000,47017644.763631788224080991000000000000000000,114.856730305650387448418227420364991156
2021-12-04T01:00:00+00:00,53906320.504360346349865984000000000000000000,47116039.590004954017080991000000000000000000,114.411824451806982549782614367939777305
2021-12-04T02:00:00+00:00,54961577.512228112329865984000000000000000000,46042481.140600486549080991000000000000000000,119.371450344718114439788110557662173468
2021-12-04T03:00:00+00:00,51921313.889029159392865984000000000000000000,49140679.428245712155080991000000000000000000,105.658518549471170673434974865476482917
2021-12-04T04:00:00+00:00,53111274.259602426249865984000000000000000000,47928983.768993040459080991000000000000000000,110.812435572568916669081082387207626924
2021-12-04T05:00:00+00:00,48543056.263561763096865984000000000000000000,52590823.781700167267080991000000000000000000,92.303281776036961925049104018020065256
2021-12-04T06:00:00+00:00,50751660.336625553521865984000000000000000000,50339294.183558109600080991000000000000000000,100.819173490124403709292449365994512661
2021-12-04T07:00:00+00:00,50846097.160717028702865984000000000000000000,50243065.528314966313080991000000000000000000,101.200228580921715597582395139709188061
2021-12-04T08:00:00+00:00,50362767.940096491454865984000000000000000000,50736068.638026346531080991000000000000000000,99.264230146420787750941844681613674073
2021-12-04T09:00:00+00:00,51132408.517294750493865984000000000000000000,49951806.606464254738080991000000000000000000,102.363481905933136489796193504872971638
2021-12-04T10:00:00+00:00,49171729.393636171957865984000000000000000000,51951806.606464254738080991000000000000000000,94.648738139392897297543467203509332363
2021-12-04T11:00:00+00:00,50486948.169366733851865984000000000000000000,50611111.576703680093080991000000000000000000,99.754671645279376318711196742395067396
2021-12-04T12:00:00+00:00,48870180.045815109366865984000000000000000000,52260642.007440070623080991000000000000000000,93.512398946147123190594163902744457858
2021-12-04T13:00:00+00:00,49257464.643146783614865984000000000000000000,51865735.137180253841080991000000000000000000,94.971110527721574016533142812439905464
2021-12-04T14:00:00+00:00,49431219.149528847133865984000000000000000000,51689339.891625094785080991000000000000000000,95.631360843781800665382227548402129152
2021-12-04T15:00:00+00:00,49435045.098734528617314384000000000000000000,51685445.557299830209080991000000000000000000,95.645968735878557784367520056648410354
2021-12-04T16:00:00+00:00,49551347.439230542991314384000000000000000000,51566873.216713532042080991000000000000000000,96.091433023265545880094398009892015114
2021-12-04T17:00:00+00:00,49515348.379278551655314384000000000000000000,51521569.159988664205080991000000000000000000,96.106056524636809102936809110443991100
2021-12-04T18:00:00+00:00,48390829.049194572401314384000000000000000000,52669183.009988664205080991000000000000000000,91.876931221844269465184497488258907054
2021-12-04T19:00:00+00:00,48414993.583999634083314384000000000000000000,52644536.525939913411080991000000000000000000,91.965846370674710312994386396962761620
2021-12-04T20:00:00+00:00,51595140.838117806586993284000000000000000000,49402093.000831992727592091000000000000000000,104.439180010549108120882049678248722496
2021-12-04T23:00:00+00:00,50612540.217835666992655784000000000000000000,50406358.770643282398592091000000000000000000,100.409038566206581243527169788475046386
2021-12-05T00:00:00+00:00,50570213.666782155452626584000000000000000000,50495317.517287047282592091000000000000000000,100.148322959786256438223807180716614542
2021-12-05T01:00:00+00:00,51314935.075963747987626584000000000000000000,49736499.548627493796592091000000000000000000,103.173595933893606696529739827193528615
2021-12-05T02:00:00+00:00,53318331.627686986198626584000000000000000000,47696298.927690704173592091000000000000000000,111.787146647414896413254731695366617536
2021-12-05T04:00:00+00:00,51665040.447016782962626584000000000000000000,49382094.111639158116592091000000000000000000,104.623024552617228333754480585451168487
2021-12-05T05:00:00+00:00,51774939.368784823029626584000000000000000000,49270149.368824293554592091000000000000000000,105.083788119273363387458452614376691777
2021-12-05T06:00:00+00:00,51773710.063811957041120384000000000000000000,49271402.533549384329788691000000000000000000,105.078620460537381322512024168384005583
2021-12-05T10:00:00+00:00,51749127.339869840406120384000000000000000000,49296462.533549384329788691000000000000000000,104.975336322867510770520897860215198489
2021-12-05T12:00:00+00:00,51748449.172019882420802684000000000000000000,49297153.872568271991191791000000000000000000,104.972488484402443253263513123009516470
2021-12-05T15:00:00+00:00,51766098.090779301785802684000000000000000000,49279612.514808688880191791000000000000000000,105.045667871725687064928202060526587032
2021-12-05T16:00:00+00:00,53102228.399142859531802684000000000000000000,47918992.235506815380191791000000000000000000,110.816663543678181522483208731367180262
2021-12-05T18:00:00+00:00,52611550.233542950544802684000000000000000000,48418979.389973488567191791000000000000000000,108.658940969824844519359065726884309040
2021-12-05T19:00:00+00:00,52681570.838083066175802684000000000000000000,48418979.389973488567191791000000000000000000,108.803554931998973630496063369036466755
2021-12-05T20:00:00+00:00,62162053.248911751385526184000000000000000000,38753932.604683595735191791000000000000000000,160.401923291261475092442756305389044473
2021-12-05T21:00:00+00:00,61769018.667700161978526184000000000000000000,39152766.555269363267191791000000000000000000,157.764122697447026890362932551679269882
2021-12-05T22:00:00+00:00,61609051.136688811530526184000000000000000000,39315118.842729331638191791000000000000000000,156.705748196109972552596238603474798480
2021-12-05T23:00:00+00:00,62111595.393188508838526184000000000000000000,38805622.951293895215191791000000000000000000,160.058235558147438494139438779760486212
2021-12-06T00:00:00+00:00,62034530.483534556880526184000000000000000000,38883820.453081086085191791000000000000000000,159.538156900986947458447149854817189992
2021-12-06T01:00:00+00:00,61074231.434879900325526184000000000000000000,39858507.652393599372191791000000000000000000,153.227591879527495677006899018122599323
2021-12-06T04:00:00+00:00,60506863.148347607224526184000000000000000000,40434607.878831644547191791000000000000000000,149.641275932897582068848224036449033170
