owner,contract,collateral,debt,collateralRatio,lastModified
0x2291f52bddc937b5b840d15e551e1da8c80c2b3c,yes,64534.888475655200,110098062.92798242,2.264282447489073,2021-11-23T22:12:07+00:00
0x9c5083dd4838e120dbeac44c052179692aa5dac5,no,50000.092539529783,136274770.63521328,1.4173302701042414,2021-12-13T08:22:22+00:00
0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,no,40000.000000000000,60000200.000000000000,2.575271415761948,2021-10-15T17:11:56+00:00
0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb,no,24000.003676471769,10499995.091788827530,8.829536908490288,2021-07-19T20:04:16+00:00
0x0e104e6e59f6b89a58ca01edf61c72fe1619a6c9,no,11976.455830797025,15102108.388003252262,3.063419329889959,2021-12-17T15:50:27+00:00
0x6914fc70fac4cab20a8922e900c4ba57feecf8e1,no,10368.999600000000,18489618.838636525792,2.166329997627238,2021-12-13T20:27:31+00:00
0xc9b48b787141595156d9a7aca4bc7de1ca7b5ef6,no,10000.9000000000000000,10610200.000000000000,3.64108844583514,2021-12-17T01:20:25+00:00
0x31a47094c6325d357c7331c621d6768ba041916e,no,10000.0000000000000000,21130741.000000000000,1.8281043717302672,2021-12-04T05:25:34+00:00
0xcb16f82e5949975f9cf229c91c3a6d43e3b32a9e,no,9499.0044580913885000,11688304.514358212875,3.1393684392954224,2021-11-24T21:58:10+00:00
0x147593c9875a11e9f4102974fd91fa825aa2eefe,no,9430.0000000000000000,8643292.785514134874,4.214520611988406,2021-12-13T22:18:04+00:00
0x4735f8576b62921e06253e87ca0ae0201d5b11e3,no,9374.0000000000000000,9045233.208179609222,4.003325425291894,2021-10-13T05:37:22+00:00
0xb957fb5712774ce73eb4cc8f7c2a177bc729a9f5,no,9259.0000000000000000,8542940.844293663422,4.186705366676015,2021-11-23T01:16:08+00:00
0xc2720997ea2ea9baad61e8f7de8ca3b5a1bbe1b3,no,8910.1093000000000000,15277807.704545073070,2.252878166997514,2021-11-16T15:46:34+00:00
0xc9b5e377483ac0c36a963dde289a794cace33440,yes,7998.0000000000000000,8115421.971125390471,3.8070274435422378,2021-10-25T22:27:41+00:00
0xf3f5c252e8acd60671f92c7f72cf33661221ef42,no,7400.0000356796203649,16322296.420582284706,1.7513226938938138,2021-12-14T09:22:54+00:00
0xe05fd1304c1cfe19dcc6aab0767848cc4a8f54aa,no,7000.0000000000000000,8000200.000000000000,3.379970500737482,2021-09-12T18:45:14+00:00
0x3bae25674ae059c303fa677ea6817e05b915a8c1,yes,6813.2976049073759065,18621892.470335298525,1.413348488929112,2021-12-17T16:17:38+00:00
0x1a7f992be53b6fcee34b2e52e6a64fc64545641d,yes,6060.0000000000000000,10257962.993479637683,2.2820607965616433,2021-10-27T03:27:37+00:00
0xd505fce5cd73172f748a14fa7113696418362e97,no,4900.0000000000000000,3600200.000000000000,5.257571246041887,2021-06-22T14:03:33+00:00
0x77ee52b29358386e31765b07396d53229a2079af,no,4135.4260000000000000,6381929.522029714116,2.5031332215087447,2021-12-13T15:38:51+00:00
0xa507b355d6288a232ac692dad36af80ff1eba062,no,4000.0000000000000000,7035221.632555216552,2.1963316590479467,2021-11-28T04:38:45+00:00
0x080e83f8c4f87eedeac8d9d7bffccb35a83b3af2,no,3964.0000000000000000,8512666.975961323715,1.7988034682010765,2021-12-15T09:36:25+00:00
0xbdcee87119265fc0ec27a3113efc3fbbb90d4d7b,no,3500.0000000000000000,4005052.888822249825,3.375790626319504,2021-08-10T00:11:49+00:00
0x3cd48a0cb9c82608e743086b1ffda59741beef3f,no,3500.0000000000000000,2610386.879881694986,5.179393178919421,2021-07-29T07:01:39+00:00
0x69e627ac4eedbace4fa1fafbeec5539d124b3679,yes,3144.7240311950755862,8959577.834620865839,1.3558470698969187,2021-12-13T18:56:01+00:00
0x5c9e30def85334e587cf36eb07bdd6a72bf1452d,no,3065.0000000000000000,6405053.256925190087,1.8485169951083027,2021-12-12T21:52:13+00:00
0xef62586f8bdb5452ae80f3eb2ac577de3099e87f,yes,3050.4470471002217932,8675602.438506369376,1.358249526843592,2021-12-13T18:55:10+00:00
0xe6b098d9d642fd9ef8ce85dcd97afce21f0c6348,no,3014.0000000000000000,2981030.029438892818,3.9056436080892096,2021-09-27T21:47:10+00:00
0xf540d44a74ba8775afa098145879f25be6afd9fd,no,3000.0000000000000000,4609559.254000000000,2.5140711641668814,2021-12-01T10:34:12+00:00
0x9bd970452fd4953ce52308d4f58f0b73481587fc,yes,2910.7098264582740849,7256183.988638307507,1.5495526602450733,2021-12-15T05:26:30+00:00
0x251acec7536e28cc43268f92f1d554e64f421420,no,2424.0000000000000000,3808154.000000000000,2.458860140635069,2021-12-13T20:21:59+00:00
0x7cbf9ad5c7141f3d155fce686d0dd104da0ec864,no,2406.0000000000000000,6347415.000000000000,1.4642473384834613,2021-12-16T11:06:38+00:00
0x1a8c53147e7b61c015159723408762fc60a34d17,yes,2389.0000000000000000,3610586.560000000000,2.5559602925016147,2021-09-07T20:51:10+00:00
