day,circulatingSupply
2022-05-11T00:00:00+00:00,16375772.6548361394885957
2022-05-10T00:00:00+00:00,16357977.6816875065395957
2022-05-09T00:00:00+00:00,16266667.2885751145615957
2022-05-08T00:00:00+00:00,15955362.9488933270475957
2022-05-07T00:00:00+00:00,15924892.0597680954475957
2022-05-06T00:00:00+00:00,15854733.9260371311235957
2022-05-05T00:00:00+00:00,15847906.0470573490874139
2022-05-04T00:00:00+00:00,15819470.7454764126464139
2022-05-03T00:00:00+00:00,15817775.0086025638236652
2022-05-02T00:00:00+00:00,15801788.4389113159886652
2022-05-01T00:00:00+00:00,15785934.9936627871396652
2022-04-30T00:00:00+00:00,15783839.2725178761430295
2022-04-29T00:00:00+00:00,15766044.3087754955820295
2022-04-28T00:00:00+00:00,15729486.3965969327720295
2022-04-27T00:00:00+00:00,15723232.3437037686908257
2022-04-26T00:00:00+00:00,15703767.0819228937058257
2022-04-25T00:00:00+00:00,15700063.7548258795177564
2022-04-24T00:00:00+00:00,15652931.1570137531947564
2022-04-23T00:00:00+00:00,15631831.1271387245777564
2022-04-22T00:00:00+00:00,15631647.4658191088632575
2022-04-21T00:00:00+00:00,15626059.0702015849186584
2022-04-20T00:00:00+00:00,15587662.1458947480756584
2022-04-19T00:00:00+00:00,15583455.2638280613899579
2022-04-18T00:00:00+00:00,15573628.0937849502283322
2022-04-17T00:00:00+00:00,15558143.2817296701913322
2022-04-16T00:00:00+00:00,15521748.1864864498953322
2022-04-15T00:00:00+00:00,15504997.7603211009423322
2022-04-14T00:00:00+00:00,15492822.8742263766123322
2022-04-13T00:00:00+00:00,15483364.1130961570789938
2022-04-12T00:00:00+00:00,15451451.4239612155349938
2022-04-11T00:00:00+00:00,15449556.8843638687235459
2022-04-10T00:00:00+00:00,15446548.1279590961514024
2022-04-09T00:00:00+00:00,15426983.3188755904644024
2022-04-08T00:00:00+00:00,15414108.2710789798504024
2022-04-07T00:00:00+00:00,15352957.2168736523414024
2022-04-06T00:00:00+00:00,15335313.5153644946224024
2022-04-05T00:00:00+00:00,15326182.8084245219045943
2022-04-04T00:00:00+00:00,15300666.0739224173065943
2022-04-03T00:00:00+00:00,15284328.9520064835705943
2022-04-02T00:00:00+00:00,15256324.3035320043775943
2022-04-01T00:00:00+00:00,15256281.3927204679977366
2022-03-31T00:00:00+00:00,15250704.6530192738899286
2022-03-30T00:00:00+00:00,15232529.8339644855059286
2022-03-29T00:00:00+00:00,15190720.4529250160159286
2022-03-28T00:00:00+00:00,15168171.4421843393619286
2022-03-27T00:00:00+00:00,15155122.0119406157009286
2022-03-26T00:00:00+00:00,15116724.0159974865399286
2022-03-25T00:00:00+00:00,15109640.2221794293278323
2022-03-24T00:00:00+00:00,15101595.9299817313013303
2022-03-23T00:00:00+00:00,15083093.7062697240503303
2022-03-22T00:00:00+00:00,15074886.4975267174583444
2022-03-21T00:00:00+00:00,15028409.0206046019713444
2022-03-20T00:00:00+00:00,15000894.5969232377213444
2022-03-19T00:00:00+00:00,14978975.0645708486083444
2022-03-18T00:00:00+00:00,14901980.8827703052843444
2022-03-17T00:00:00+00:00,14713101.4754470215393444
2022-03-16T00:00:00+00:00,14702476.9552950937743444
2022-03-15T00:00:00+00:00,14684039.0931464063433444
2022-03-14T00:00:00+00:00,14683245.6421028676468911
2022-03-13T00:00:00+00:00,14668423.3087179096848911
2022-03-12T00:00:00+00:00,14664726.5243476884912945
2022-03-11T00:00:00+00:00,14643836.8505340958382945
2022-03-10T00:00:00+00:00,14618504.6273695198862945
2022-03-09T00:00:00+00:00,14586741.0743806157202945
2022-03-08T00:00:00+00:00,14566815.3238374809642945
2022-03-07T00:00:00+00:00,14529281.7002299271742945
2022-03-06T00:00:00+00:00,14524840.0900726417498301
2022-03-05T00:00:00+00:00,14512098.9839144905938301
2022-03-04T00:00:00+00:00,14495643.8496817016388301
2022-03-03T00:00:00+00:00,14480026.4550464060448301
2022-03-02T00:00:00+00:00,14461071.9569056830678301
2022-03-01T00:00:00+00:00,14413280.3569583241718301
2022-02-28T00:00:00+00:00,14402789.7705067287238301
2022-02-27T00:00:00+00:00,14401896.3110976433587243
2022-02-26T00:00:00+00:00,14378561.0586151672697243
2022-02-25T00:00:00+00:00,14334356.3371418371237243
2022-02-24T00:00:00+00:00,14331692.3811495773154483
2022-02-23T00:00:00+00:00,14295861.3345522969354483
2022-02-22T00:00:00+00:00,14286281.7159891274717030
2022-02-21T00:00:00+00:00,14242353.9930394535717030
2022-02-20T00:00:00+00:00,14236849.8719143460469581
2022-02-19T00:00:00+00:00,14228968.3866853027312121
2022-02-18T00:00:00+00:00,14211850.3841831855192121
2022-02-17T00:00:00+00:00,14005188.4380158264072121
2022-02-16T00:00:00+00:00,13996258.4294865138743997
2022-02-15T00:00:00+00:00,13962947.2227117856513997
2022-02-14T00:00:00+00:00,13959711.7688446469738313
2022-02-13T00:00:00+00:00,13937017.5424970008988313
2022-02-12T00:00:00+00:00,13885175.8089795013268313
2022-02-11T00:00:00+00:00,13873922.4127104518688313
2022-02-10T00:00:00+00:00,13833812.0165267804918313
2022-02-09T00:00:00+00:00,13813972.9970235497408313
2022-02-08T00:00:00+00:00,13793437.0285708146178313
2022-02-07T00:00:00+00:00,13775176.3279044436648313
2022-02-06T00:00:00+00:00,13754629.3642840645578313
2022-02-05T00:00:00+00:00,13741182.5632686339718313
2022-02-04T00:00:00+00:00,13718138.7137768610348313
2022-02-03T00:00:00+00:00,13690634.9808865653428313
2022-02-02T00:00:00+00:00,13655368.3104358405718313
2022-02-01T00:00:00+00:00,13652372.5080199533199709
2022-01-31T00:00:00+00:00,13604163.5215523298349709
2022-01-30T00:00:00+00:00,13591127.0193538883019709
2022-01-29T00:00:00+00:00,13560909.6671862338599709
2022-01-28T00:00:00+00:00,13558271.7964491244036267
2022-01-27T00:00:00+00:00,13492832.4832197415966267
2022-01-26T00:00:00+00:00,13447991.5730231807826267
2022-01-25T00:00:00+00:00,13442324.2168808138977445
2022-01-24T00:00:00+00:00,13434386.1786560489599816
2022-01-23T00:00:00+00:00,13370777.8741899174619816
2022-01-22T00:00:00+00:00,13354908.8359471499409816
2022-01-21T00:00:00+00:00,13201495.0986470032629816
2022-01-20T00:00:00+00:00,13122717.0785603234549816
2022-01-19T00:00:00+00:00,13074584.5469310945779816
2022-01-18T00:00:00+00:00,13057592.2021932071259816
2022-01-17T00:00:00+00:00,12731330.7834505878469816
2022-01-16T00:00:00+00:00,12630039.8633560144129816
2022-01-15T00:00:00+00:00,12606883.2160158480049816
2022-01-14T00:00:00+00:00,12575659.6809258003859816
2022-01-13T00:00:00+00:00,12560163.8993203222639816
2022-01-12T00:00:00+00:00,12529084.0892341003669816
2022-01-11T00:00:00+00:00,12504306.1128534766599816
2022-01-10T00:00:00+00:00,12490807.1485137961679816
2022-01-09T00:00:00+00:00,12462554.0085919523089816
2022-01-08T00:00:00+00:00,12451719.4316383316569816
2022-01-07T00:00:00+00:00,12425930.1751455722229816
2022-01-06T00:00:00+00:00,12380555.0748572532449816
2022-01-05T00:00:00+00:00,12348239.9575152900849816
2022-01-04T00:00:00+00:00,12317395.0808762891769816
2022-01-03T00:00:00+00:00,12237728.0748079606859816
2022-01-02T00:00:00+00:00,12220251.5109482783509816
2022-01-01T00:00:00+00:00,12199741.2562520415089816
2021-12-31T00:00:00+00:00,12184761.5360347430769816
2021-12-30T00:00:00+00:00,12161900.0305096103899816
2021-12-29T00:00:00+00:00,12146148.3880129111789816
2021-12-28T00:00:00+00:00,12110606.1491711433109816
2021-12-27T00:00:00+00:00,12107702.0645407411133027
2021-12-26T00:00:00+00:00,12093971.3090145984993027
2021-12-25T00:00:00+00:00,12077257.0022724552643027
2021-12-24T00:00:00+00:00,12069420.1954036104478103
2021-12-23T00:00:00+00:00,12048671.7003940817118103
2021-12-22T00:00:00+00:00,12010184.4092362499928103
2021-12-21T00:00:00+00:00,11993872.2907009476348103
2021-12-20T00:00:00+00:00,11947468.4752414046298103
2021-12-19T00:00:00+00:00,11914239.0278371292568103
2021-12-18T00:00:00+00:00,11865328.8020324506428103
2021-12-17T00:00:00+00:00,11858192.1056909377007624
2021-12-16T00:00:00+00:00,11836853.5234784285137624
2021-12-15T00:00:00+00:00,11819495.1808102434487624
2021-12-14T00:00:00+00:00,11808975.8932736869467624
2021-12-13T00:00:00+00:00,11777712.9235564577197624
2021-12-12T00:00:00+00:00,11733087.7297310734537624
2021-12-11T00:00:00+00:00,11562652.3237622105117624
2021-12-10T00:00:00+00:00,11490281.7893786539527624
2021-12-09T00:00:00+00:00,11458908.5263263513157624
2021-12-08T00:00:00+00:00,11431670.6300234414567624
2021-12-07T00:00:00+00:00,11408637.9556422648357624
2021-12-06T00:00:00+00:00,11363872.4377680817277624
2021-12-05T00:00:00+00:00,11350726.6190858321117624
2021-12-04T00:00:00+00:00,11327073.1112995914997624
2021-12-03T00:00:00+00:00,11213350.2965366751257624
2021-12-02T00:00:00+00:00,11189195.4147411502057624
2021-12-01T00:00:00+00:00,11181784.2339850325103058
2021-11-30T00:00:00+00:00,11149406.4344531675223058
2021-11-29T00:00:00+00:00,11097584.2391463699403058
2021-11-28T00:00:00+00:00,11073333.3216676992473058
2021-11-27T00:00:00+00:00,11045446.7647652186523058
2021-11-26T00:00:00+00:00,11021343.0185913173303058
2021-11-25T00:00:00+00:00,11004824.1254896192283058
2021-11-24T00:00:00+00:00,10979187.3531611786333058
2021-11-23T00:00:00+00:00,10964971.8389720756873058
2021-11-22T00:00:00+00:00,10943613.8948832194693058
2021-11-21T00:00:00+00:00,10739788.6295137970233058
2021-11-20T00:00:00+00:00,10710211.4261752799723058
2021-11-19T00:00:00+00:00,10688701.0212172608653058
2021-11-18T00:00:00+00:00,10670259.5786760987093058
2021-11-17T00:00:00+00:00,10649099.2535865483653058
2021-11-16T00:00:00+00:00,10631090.6406517242223058
2021-11-15T00:00:00+00:00,10612341.7198348582723058
2021-11-14T00:00:00+00:00,10571452.3728070261703058
2021-11-13T00:00:00+00:00,10540571.4146819850733058
2021-11-12T00:00:00+00:00,10528250.7581970683553058
2021-11-11T00:00:00+00:00,10504718.2622725448143058
2021-11-10T00:00:00+00:00,10490123.1193759453213058
2021-11-09T00:00:00+00:00,10467697.4159474660993058
2021-11-08T00:00:00+00:00,10450186.0065271173743058
2021-11-07T00:00:00+00:00,10436081.9115719470193058
2021-11-06T00:00:00+00:00,10258484.8830325392623058
2021-11-05T00:00:00+00:00,10191634.6832234635423058
2021-11-04T00:00:00+00:00,10169943.6121096413033058
2021-11-03T00:00:00+00:00,10132314.5646401856113058
2021-11-02T00:00:00+00:00,10116038.8823880320473058
2021-11-01T00:00:00+00:00,10041677.7006069320923058
2021-10-31T00:00:00+00:00,9991968.4188205638233058
2021-10-30T00:00:00+00:00,9954838.0576958421013058
2021-10-29T00:00:00+00:00,9944024.2653178198313058
2021-10-28T00:00:00+00:00,9908482.9974309542483058
2021-10-27T00:00:00+00:00,9907130.2774518896680217
2021-10-26T00:00:00+00:00,9889606.3567195817820217
2021-10-25T00:00:00+00:00,9865367.7397960400620217
2021-10-24T00:00:00+00:00,9845682.6138505964770217
2021-10-23T00:00:00+00:00,9748482.2565140560040217
2021-10-22T00:00:00+00:00,9726787.5840361226270217
2021-10-21T00:00:00+00:00,9682883.3529824605780217
2021-10-20T00:00:00+00:00,9647954.4862752489150217
2021-10-19T00:00:00+00:00,9642915.7172283425189589
2021-10-18T00:00:00+00:00,9602691.6118356246199589
2021-10-17T00:00:00+00:00,9585545.1291788438349589
2021-10-16T00:00:00+00:00,9554036.4918388796489589
2021-10-15T00:00:00+00:00,9529758.3102463829009589
2021-10-14T00:00:00+00:00,9366398.2675507176719589
2021-10-13T00:00:00+00:00,9293477.8403607185059589
2021-10-12T00:00:00+00:00,9268839.4616190632909589
2021-10-11T00:00:00+00:00,9253866.1248321105199589
2021-10-10T00:00:00+00:00,9176269.4004288392839589
2021-10-09T00:00:00+00:00,9161801.2316803460459589
2021-10-08T00:00:00+00:00,9100952.1414886142079589
2021-10-07T00:00:00+00:00,9066761.4404132576559589
2021-10-06T00:00:00+00:00,9053883.0396204002969589
2021-10-05T00:00:00+00:00,9043459.7432258506339589
2021-10-04T00:00:00+00:00,9012874.1455295000209589
2021-10-03T00:00:00+00:00,8996191.5213221488929589
2021-10-02T00:00:00+00:00,8959356.7458982469709589
2021-10-01T00:00:00+00:00,8864166.2473256269309589
2021-09-30T00:00:00+00:00,8806380.8678791834139589
2021-09-29T00:00:00+00:00,8698403.9188334344899589
2021-09-28T00:00:00+00:00,8682206.8219315010839589
2021-09-27T00:00:00+00:00,8665720.0100497144349589
2021-09-26T00:00:00+00:00,8655832.7631803600217667
