time,numLusdHolders,numLqtyHolders
2021-04-05T08:00:00+00:00,5,4
2021-04-05T09:00:00+00:00,7,7
2021-04-05T10:00:00+00:00,6,7
2021-04-05T11:00:00+00:00,8,7
2021-04-05T12:00:00+00:00,7,7
2021-04-05T13:00:00+00:00,8,7
2021-04-05T14:00:00+00:00,40,25
2021-04-05T15:00:00+00:00,58,49
2021-04-05T16:00:00+00:00,67,66
2021-04-05T17:00:00+00:00,79,96
2021-04-05T18:00:00+00:00,107,135
2021-04-05T19:00:00+00:00,108,149
2021-04-05T20:00:00+00:00,122,186
2021-04-05T21:00:00+00:00,125,220
2021-04-05T22:00:00+00:00,131,249
2021-04-05T23:00:00+00:00,142,259
2021-04-06T00:00:00+00:00,158,276
2021-04-06T01:00:00+00:00,168,298
2021-04-06T02:00:00+00:00,180,301
2021-04-06T03:00:00+00:00,183,311
2021-04-06T04:00:00+00:00,187,331
2021-04-06T05:00:00+00:00,200,352
2021-04-06T06:00:00+00:00,196,369
2021-04-06T07:00:00+00:00,205,371
2021-04-06T08:00:00+00:00,214,389
2021-04-06T09:00:00+00:00,219,398
2021-04-06T10:00:00+00:00,224,404
2021-04-06T11:00:00+00:00,221,404
2021-04-06T12:00:00+00:00,231,415
2021-04-06T13:00:00+00:00,233,431
2021-04-06T14:00:00+00:00,236,438
2021-04-06T15:00:00+00:00,241,444
2021-04-06T16:00:00+00:00,244,447
2021-04-06T17:00:00+00:00,247,447
2021-04-06T18:00:00+00:00,247,449
2021-04-06T19:00:00+00:00,254,447
2021-04-06T20:00:00+00:00,253,446
2021-04-06T21:00:00+00:00,258,449
2021-04-06T22:00:00+00:00,258,451
2021-04-06T23:00:00+00:00,261,446
2021-04-07T00:00:00+00:00,265,446
2021-04-07T01:00:00+00:00,272,455
2021-04-07T02:00:00+00:00,271,454
2021-04-07T03:00:00+00:00,273,452
2021-04-07T04:00:00+00:00,278,455
2021-04-07T05:00:00+00:00,279,455
2021-04-07T06:00:00+00:00,277,456
2021-04-07T07:00:00+00:00,278,460
2021-04-07T08:00:00+00:00,284,458
2021-04-07T09:00:00+00:00,284,459
2021-04-07T10:00:00+00:00,288,466
