endDate,TVL (ETH),TVL (USD)
2021-04-05T08:54:00+00:00,3.000000000000000000000000000000000000,6063.9
2021-04-05T09:50:00+00:00,6.500000000000000000000000000000000000,13218.4
2021-04-05T10:20:00+00:00,6.500000000000000000000000000000000000,13235.105
2021-04-05T11:08:00+00:00,6.500000000000000000000000000000000000,13272.285
2021-04-05T13:32:00+00:00,8.449121541142667900000000000000000000,17366.746871741696
2021-04-05T14:59:00+00:00,13767.981761025510177400000000000000000000,29011065.087927293
2021-04-05T15:59:00+00:00,27080.636961025510177400000000000000000000,57172369.94574745
2021-04-05T16:59:00+00:00,37043.258740605510177400000000000000000000,79152553.54657623
2021-04-05T17:57:00+00:00,44039.175646921292488000000000000000000000,94033769.01657575
2021-04-05T18:58:00+00:00,62705.181637917646349769000000000000000000,131280195.32896078
2021-04-05T19:58:00+00:00,68597.378488906077850735000000000000000000,143998930.95012674
2021-04-05T20:59:00+00:00,76564.732607262261091448000000000000000000,160736171.39905605
2021-04-05T21:59:00+00:00,81044.579085133866017600000000000000000000,173094201.56423807
2021-04-05T22:59:00+00:00,82582.748104607114027693000000000000000000,176738642.52859387
2021-04-05T23:59:00+00:00,96112.941441063868722693000000000000000000,205229002.72968927
2021-04-06T00:59:00+00:00,103788.746036256636667581000000000000000000,224500247.11372492
2021-04-06T01:59:00+00:00,111767.950258289651260989000000000000000000,240198266.54108512
2021-04-06T02:55:00+00:00,139005.794968921609681544000000000000000000,300700115.79267055
2021-04-06T03:59:00+00:00,140611.186330495193810232000000000000000000,301865500.9261704
2021-04-06T04:58:00+00:00,145175.844411004121454263000000000000000000,312837975.3628287
2021-04-06T05:57:00+00:00,164012.766009098471204168000000000000000000,354239692.40943116
2021-04-06T06:59:00+00:00,165338.329027365708263855000000000000000000,356770353.1418303
2021-04-06T07:55:00+00:00,167061.893617061954388427000000000000000000,354075989.1888096
2021-04-06T08:57:00+00:00,168407.017397939170135527000000000000000000,357533150.1463468
2021-04-06T09:59:00+00:00,168127.574869670745166684000000000000000000,361097680.2020841
2021-04-06T10:55:00+00:00,171627.047016138931987951000000000000000000,370493022.6642093
2021-04-06T11:57:00+00:00,171854.102444956154350773000000000000000000,369572247.30787826
2021-04-06T12:56:00+00:00,174294.635898953396040801000000000000000000,374935648.96039253
2021-04-06T13:58:00+00:00,174856.266338768130019998000000000000000000,374302569.4127572
2021-04-06T14:59:00+00:00,174957.638347646338582656000000000000000000,370332833.090463
2021-04-06T15:57:00+00:00,178389.323044757519063963000000000000000000,378545711.28743637
2021-04-06T16:49:00+00:00,182742.043644757519063963000000000000000000,391064318.55890816
2021-04-06T17:50:00+00:00,183710.253275875554003563000000000000000000,395897432.91204464
2021-04-06T18:51:00+00:00,187122.121520338494954353000000000000000000,402065560.0683209
2021-04-06T19:58:00+00:00,187569.471520338494954353000000000000000000,402015772.6148263
2021-04-06T20:50:00+00:00,188120.685942374465143768000000000000000000,404647595.46204746
2021-04-06T21:57:00+00:00,188365.910169118875210068000000000000000000,404858618.0446906
2021-04-06T22:58:00+00:00,188378.910169118875210068000000000000000000,405054216.4347411
2021-04-06T23:59:00+00:00,188487.910169118875210068000000000000000000,405224503.43528354
2021-04-07T00:59:00+00:00,188772.582727740277578868000000000000000000,402387637.34245116
2021-04-07T01:58:00+00:00,198778.982696622242639268000000000000000000,424703223.2702952
2021-04-07T02:59:00+00:00,199370.482696622242639268000000000000000000,428526915.5081198
2021-04-07T03:59:00+00:00,200743.503877528967918968000000000000000000,421216079.31614155
2021-04-07T04:59:00+00:00,199605.883877528967919009000000000000000000,416216193.00258464
2021-04-07T05:51:00+00:00,199909.958503886108554209000000000000000000,419067247.8125264
2021-04-07T06:51:00+00:00,203249.746903886108554209000000000000000000,426096834.40424496
2021-04-07T07:55:00+00:00,201007.806529236328666244000000000000000000,423324450.628637
2021-04-07T08:44:00+00:00,202411.506529236328666244000000000000000000,421455166.54998004
2021-04-07T09:48:00+00:00,203409.106529236328666244000000000000000000,417000872.9313262
2021-04-07T10:57:00+00:00,204409.773191524916028412000000000000000000,414250714.0567486
2021-04-07T11:56:00+00:00,205100.292340567685986012000000000000000000,409579130.79534346
2021-04-07T12:57:00+00:00,205493.786991737006792265000000000000000000,407859958.54545975
2021-04-07T13:55:00+00:00,206016.374138799213094935000000000000000000,413481043.38779414
2021-04-07T14:57:00+00:00,206068.374138799213094935000000000000000000,411780249.99033827
2021-04-07T15:59:00+00:00,207219.630351797857705535000000000000000000,411117530.0290564
2021-04-07T16:51:00+00:00,209893.701067551239123066000000000000000000,421107633.51481736
2021-04-07T17:58:00+00:00,209413.858971287473767823000000000000000000,413301286.20432264
2021-04-07T18:58:00+00:00,209785.896671287473767823000000000000000000,412441170.7147179
2021-04-07T19:59:00+00:00,209616.157393686959212023000000000000000000,414237161.7566824
2021-04-07T20:55:00+00:00,209487.178708421139842590000000000000000000,414790898.4580351
2021-04-07T21:59:00+00:00,208847.010308421139842583000000000000000000,416488973.3673627
2021-04-07T22:56:00+00:00,208937.620308421139842583000000000000000000,419030665.6571478
2021-04-07T23:57:00+00:00,212308.783886214952199967000000000000000000,417783348.0191326
2021-04-08T00:58:00+00:00,213066.243886214952199967000000000000000000,422699990.58342296
2021-04-08T01:57:00+00:00,214160.636041589755539052000000000000000000,426186090.54184484
2021-04-08T02:57:00+00:00,214241.636041589755539052000000000000000000,426565809.44060725
2021-04-08T03:57:00+00:00,216917.232255405004046528000000000000000000,432457040.08598816
2021-04-08T04:42:00+00:00,217042.232255405004046528000000000000000000,437611400.7849603
2021-04-08T05:58:00+00:00,217191.319402940726164417000000000000000000,435651036.1111946
2021-04-08T06:51:00+00:00,217427.487315295340148984000000000000000000,437751108.7616304
2021-04-08T07:52:00+00:00,217919.487315295340148984000000000000000000,440944828.2183881
2021-04-08T08:38:00+00:00,218010.854888816616140835000000000000000000,441247429.9693182
2021-04-08T09:53:00+00:00,221477.354888816616140835000000000000000000,443721021.42554855
2021-04-08T10:56:00+00:00,221626.125463584613578714000000000000000000,443010678.45041394
2021-04-08T11:55:00+00:00,221515.438692353235303714000000000000000000,443228026.1251427
2021-04-08T12:56:00+00:00,221601.431413063029916114000000000000000000,449387758.77686465
2021-04-08T13:59:00+00:00,221727.431413063029916114000000000000000000,450215332.20991033
