day,daily_total_supply
2021-07-05T21:00:00+00:00,299.9999999999990000
2021-07-06T15:00:00+00:00,1299.5619445723619855
2021-07-06T16:00:00+00:00,62768.9792006362829855
2021-07-06T18:00:00+00:00,85646.8238252970329855
2021-07-06T19:00:00+00:00,105638.8986336048639855
2021-07-06T21:00:00+00:00,119369.9731492242789855
2021-07-07T09:00:00+00:00,119372.9738675024764600
2021-07-07T11:00:00+00:00,139359.6690558766934600
2021-07-08T14:00:00+00:00,259237.0950084826604600
2021-07-08T16:00:00+00:00,259650.6108973955043049
2021-07-09T17:00:00+00:00,264645.8053038080208659
2021-07-09T19:00:00+00:00,302635.4428256220278659
2021-07-10T05:00:00+00:00,338478.9498504355708659
2021-07-11T06:00:00+00:00,348462.6032020173328346
2021-07-11T11:00:00+00:00,408366.1007972756708346
2021-07-11T13:00:00+00:00,589369.2907996426158346
2021-07-11T15:00:00+00:00,639324.4554391060818346
2021-07-11T18:00:00+00:00,998939.8278290375868346
2021-07-11T20:00:00+00:00,998939.827829037586834600000000000000000000
2021-07-11T21:00:00+00:00,4782683.242062422240834600000000000000000000
2021-07-12T00:00:00+00:00,5235823.605954710144834600000000000000000000
2021-07-12T01:00:00+00:00,7052312.703208180913834600000000000000000000
2021-07-12T02:00:00+00:00,9087517.907117916733834600000000000000000000
2021-07-12T03:00:00+00:00,11608460.458483555696834600000000000000000000
2021-07-12T04:00:00+00:00,12292459.874691801582834600000000000000000000
2021-07-12T05:00:00+00:00,13033763.140340534576834600000000000000000000
2021-07-12T06:00:00+00:00,15855967.218531032789834600000000000000000000
2021-07-12T07:00:00+00:00,21070607.958264046198834600000000000000000000
2021-07-12T08:00:00+00:00,26923435.547497931193834600000000000000000000
2021-07-12T09:00:00+00:00,35894496.864882175171834600000000000000000000
2021-07-12T10:00:00+00:00,52334728.071572281776834600000000000000000000
2021-07-12T11:00:00+00:00,58447931.465769213010834600000000000000000000
2021-07-12T12:00:00+00:00,56953797.594729410153834600000000000000000000
2021-07-12T13:00:00+00:00,50002179.460692303009834600000000000000000000
2021-07-12T14:00:00+00:00,50482010.228650524510834600000000000000000000
2021-07-12T15:00:00+00:00,47507610.457798539846834600000000000000000000
2021-07-12T16:00:00+00:00,46764720.178033987201834600000000000000000000
2021-07-12T17:00:00+00:00,47678081.790719632466834600000000000000000000
2021-07-12T18:00:00+00:00,76853560.041354263720834600000000000000000000
2021-07-12T19:00:00+00:00,74652841.062613504726834600000000000000000000
2021-07-12T20:00:00+00:00,80330834.932124429212834600000000000000000000
2021-07-12T21:00:00+00:00,84700096.434809204422834600000000000000000000
2021-07-12T22:00:00+00:00,82117656.451263099855834600000000000000000000
2021-07-12T23:00:00+00:00,82087700.318084060063834600000000000000000000
2021-07-13T00:00:00+00:00,84743471.862850740265834600000000000000000000
2021-07-13T01:00:00+00:00,86743539.069839161837834600000000000000000000
2021-07-13T04:00:00+00:00,86813769.152039054611834600000000000000000000
2021-07-13T05:00:00+00:00,92073464.098828525246834600000000000000000000
2021-07-13T06:00:00+00:00,94336104.777013634658834600000000000000000000
2021-07-13T07:00:00+00:00,94446684.083842365172834600000000000000000000
2021-07-13T08:00:00+00:00,94452229.450765415485270100000000000000000000
2021-07-13T10:00:00+00:00,94436946.333026210699270100000000000000000000
2021-07-13T11:00:00+00:00,112774049.832632421891270100000000000000000000
2021-07-13T13:00:00+00:00,112747201.544665095749270100000000000000000000
2021-07-13T14:00:00+00:00,109890166.991215584699270100000000000000000000
2021-07-13T15:00:00+00:00,109720949.761309224605270100000000000000000000
2021-07-13T16:00:00+00:00,109772696.558419805426270100000000000000000000
