hour,lusdSupply
2021-04-05T08:00:00+00:00,3215.0000000000000000
2021-04-05T09:00:00+00:00,4625.000000000000000000000000000000000000
2021-04-05T10:00:00+00:00,4415.000000000000000000000000000000000000
2021-04-05T11:00:00+00:00,4415.000000000000000000000000000000000000
2021-04-05T13:00:00+00:00,6715.500000000000000000000000000000000000
2021-04-05T14:00:00+00:00,16655444.500000000000298800000000000000000000
2021-04-05T15:00:00+00:00,33774531.503000000002657100000000000000000000
2021-04-05T16:00:00+00:00,45777390.193000000001995400000000000000000000
2021-04-05T17:00:00+00:00,55226459.304000000003159800000000000000000000
2021-04-05T18:00:00+00:00,77994723.519000000005354400000000000000000000
2021-04-05T19:00:00+00:00,85968897.519000000005224900000000000000000000
2021-04-05T20:00:00+00:00,94962268.019000000006264600000000000000000000
2021-04-05T21:00:00+00:00,100107854.539000000008687500000000000000000000
2021-04-05T22:00:00+00:00,101956845.539000000008155200000000000000000000
2021-04-05T23:00:00+00:00,114200523.539000000007598100000000000000000000
2021-04-06T00:00:00+00:00,122985889.539000000006558500000000000000000000
2021-04-06T01:00:00+00:00,130978397.139000000006717900000000000000000000
2021-04-06T02:00:00+00:00,160354903.139000000006832200000000000000000000
2021-04-06T03:00:00+00:00,165384615.149000000007663200000000000000000000
2021-04-06T04:00:00+00:00,169713165.149000000009220400000000000000000000
2021-04-06T05:00:00+00:00,192732272.999000000011399573000000000000000000
2021-04-06T06:00:00+00:00,194076486.479000000009683073000000000000000000
2021-04-06T07:00:00+00:00,196224409.479000000010881973000000000000000000
2021-04-06T08:00:00+00:00,197914624.479000000009349673000000000000000000
2021-04-06T09:00:00+00:00,198122689.479000000011329673000000000000000000
2021-04-06T10:00:00+00:00,201704139.479000000012255073000000000000000000
2021-04-06T11:00:00+00:00,202633089.479000000012115773000000000000000000
2021-04-06T12:00:00+00:00,205149669.479000000011722673000000000000000000
2021-04-06T13:00:00+00:00,205710570.479000000010891773000000000000000000
2021-04-06T14:00:00+00:00,205780279.329000000010832073000000000000000000
2021-04-06T15:00:00+00:00,210282136.929000000012031173000000000000000000
2021-04-06T16:00:00+00:00,216539136.929000000011180573000000000000000000
2021-04-06T17:00:00+00:00,218014386.929000000011006373000000000000000000
2021-04-06T18:00:00+00:00,222428886.929000000010026273000000000000000000
2021-04-06T19:00:00+00:00,222988096.929000000010444173000000000000000000
2021-04-06T20:00:00+00:00,223773096.929000000009598373000000000000000000
2021-04-06T21:00:00+00:00,224100696.929000000009911873000000000000000000
2021-04-06T22:00:00+00:00,224110696.929000000009911873000000000000000000
2021-04-06T23:00:00+00:00,224216696.929000000010772573000000000000000000
2021-04-07T00:00:00+00:00,224560196.929000000011165573000000000000000000
2021-04-07T01:00:00+00:00,234732701.929000000010807373000000000000000000
2021-04-07T02:00:00+00:00,234956701.929000000011334773000000000000000000
2021-04-07T03:00:00+00:00,236761701.929000000010926873000000000000000000
2021-04-07T04:00:00+00:00,235640997.929000000011603473000000000000000000
2021-04-07T05:00:00+00:00,235396917.929000000012190573000000000000000000
2021-04-07T06:00:00+00:00,239845672.929000000013056173000000000000000000
2021-04-07T07:00:00+00:00,236725672.929000000012205473000000000000000000
2021-04-07T08:00:00+00:00,237428672.929000000012260273000000000000000000
2021-04-07T09:00:00+00:00,238304622.929000000011095973000000000000000000
2021-04-07T10:00:00+00:00,239456822.929000000011205520000000000000000000
2021-04-07T11:00:00+00:00,239662183.129000000009936920000000000000000000
2021-04-07T12:00:00+00:00,239978300.129000000010767720000000000000000000
2021-04-07T13:00:00+00:00,239502820.669000000011205620000000000000000000
2021-04-07T14:00:00+00:00,239549820.669000000010787720000000000000000000
2021-04-07T15:00:00+00:00,240751320.669000000011026520000000000000000000
2021-04-07T16:00:00+00:00,243068403.669000000011026520000000000000000000
2021-04-07T17:00:00+00:00,244314848.848000000010882320000000000000000000
2021-04-07T18:00:00+00:00,242815731.858000000010782820000000000000000000
2021-04-07T19:00:00+00:00,242560972.758000000010603720000000000000000000
2021-04-07T20:00:00+00:00,242588972.758000000010151020000000000000000000
2021-04-07T21:00:00+00:00,241445922.758000000009892320000000000000000000
