day,daily_circulatingsupply
2021-07-05T00:00:00+00:00,299.9999999999990000
2021-07-06T00:00:00+00:00,119369.9731492242789855
2021-07-07T00:00:00+00:00,139359.66905587669336160000
2021-07-08T00:00:00+00:00,259650.61089739550420650000
2021-07-09T00:00:00+00:00,302635.44282562202776750000
2021-07-10T00:00:00+00:00,338478.94985043557076750000
2021-07-11T00:00:00+00:00,4782683.24206242224073620000
2021-07-12T00:00:00+00:00,82087700.31808406007148330000
2021-07-13T00:00:00+00:00,111654893.44979223068812280000
2021-07-14T00:00:00+00:00,117167348.32472299512214900000
2021-07-15T00:00:00+00:00,119125661.32794168467284850000
2021-07-16T00:00:00+00:00,141681806.02994079818917730000
2021-07-17T00:00:00+00:00,145271729.16980758010130270000
2021-07-18T00:00:00+00:00,145794618.88541444458441640000
2021-07-19T00:00:00+00:00,143822643.32541809722510630000
2021-07-20T00:00:00+00:00,146715558.24472295847675440000
2021-07-21T00:00:00+00:00,146615106.60197947756213900000
2021-07-22T00:00:00+00:00,146063622.36637198208317110000
2021-07-23T00:00:00+00:00,146261290.62512029054500920000
2021-07-24T00:00:00+00:00,146718373.58596184381443920000
2021-07-25T00:00:00+00:00,147378592.56183516480730850000
2021-07-26T00:00:00+00:00,139903456.91686976350336900000
2021-07-27T00:00:00+00:00,140508777.11613087625646940000
2021-07-28T00:00:00+00:00,148992901.18234394099185900000
2021-07-29T00:00:00+00:00,149248018.38719206911001128500
2021-07-30T00:00:00+00:00,137555907.64029754700804628500
2021-07-31T00:00:00+00:00,137589868.05103297257247768500
2021-08-01T00:00:00+00:00,137212322.58804724616499128500
2021-08-02T00:00:00+00:00,138536086.12793284418445538500
2021-08-03T00:00:00+00:00,139442892.49303575636045538500
2021-08-04T00:00:00+00:00,146956236.75337527156535718500
2021-08-05T00:00:00+00:00,146272074.74497330793890598500
2021-08-06T00:00:00+00:00,150045258.51837308165508378500
2021-08-07T00:00:00+00:00,149150321.61973745861691408500
2021-08-08T00:00:00+00:00,145747507.41027348179176918500
2021-08-09T00:00:00+00:00,145747507.41027348179176918500
2021-08-10T00:00:00+00:00,145855100.37272706058694928500
2021-08-11T00:00:00+00:00,148560689.80332454645074788500
2021-08-12T00:00:00+00:00,161863903.72310508516273498500
2021-08-13T00:00:00+00:00,167078079.64755462216757128500
2021-08-14T00:00:00+00:00,167201325.24196227869336058500
2021-08-15T00:00:00+00:00,167198442.54084172763000758500
2021-08-16T00:00:00+00:00,167495525.51582146983573738500
2021-08-17T00:00:00+00:00,172318878.42793246093227918500
2021-08-18T00:00:00+00:00,172499134.47455464509379698500
2021-08-19T00:00:00+00:00,172399776.12308952632077448500
2021-08-20T00:00:00+00:00,172230182.90833960235916068500
2021-08-21T00:00:00+00:00,171064207.54111253318431188500
2021-08-22T00:00:00+00:00,156183092.13667017808807798500
2021-08-23T00:00:00+00:00,156088487.82824933108402078500
2021-08-24T00:00:00+00:00,156012407.07850712478802078500
2021-08-25T00:00:00+00:00,157013340.76407711719228638500
2021-08-26T00:00:00+00:00,157868813.72466547596835408500
2021-08-27T00:00:00+00:00,157685547.28673319124419178500
2021-08-28T00:00:00+00:00,157619760.34272180984501208500
2021-08-29T00:00:00+00:00,157719777.76993540912501208500
2021-08-30T00:00:00+00:00,156175309.99330601306102558500
2021-08-31T00:00:00+00:00,156228892.08610802144456718500
2021-09-01T00:00:00+00:00,165849660.28773126055506928500
2021-09-02T00:00:00+00:00,169316422.30433318638143058500
2021-09-03T00:00:00+00:00,171305138.22613465471246708500
2021-09-04T00:00:00+00:00,172863320.60839782955346708500
2021-09-05T00:00:00+00:00,170431842.06636488841854498500
2021-09-06T00:00:00+00:00,168384171.51289729673754498500
2021-09-07T00:00:00+00:00,165985368.07121800780954498500
2021-09-08T00:00:00+00:00,166774989.04765399716537068500
2021-09-09T00:00:00+00:00,163419626.86095161694375378500
2021-09-10T00:00:00+00:00,163237468.24224289717075378500
2021-09-11T00:00:00+00:00,162622583.52210246611535058500
2021-09-12T00:00:00+00:00,162785233.46825187067586728500
2021-09-13T00:00:00+00:00,161367054.36212543074159658500
2021-09-14T00:00:00+00:00,161242449.21642120299653008500
2021-09-15T00:00:00+00:00,162880210.16811500138817628500
2021-09-16T00:00:00+00:00,162604045.03372238988217628500
2021-09-17T00:00:00+00:00,162670988.35474611448492748500
2021-09-18T00:00:00+00:00,162764898.93070849709596138500
2021-09-19T00:00:00+00:00,161790785.96164444148996138500
2021-09-20T00:00:00+00:00,158792796.96869654681768238500
2021-09-21T00:00:00+00:00,158245417.31680380706423918500
2021-09-22T00:00:00+00:00,153519225.06297291828178425100
2021-09-23T00:00:00+00:00,152988983.48229119121266805100
2021-09-24T00:00:00+00:00,151943409.25468539567351365100
2021-09-25T00:00:00+00:00,149228201.02742712788224895100
2021-09-26T00:00:00+00:00,152780957.04518788292165565100
2021-09-27T00:00:00+00:00,149528722.08292013507302115100
2021-09-28T00:00:00+00:00,151969815.26484005072058815100
2021-09-29T00:00:00+00:00,151181913.36955243061586705100
2021-09-30T00:00:00+00:00,153419024.54327823287156545100
2021-10-01T00:00:00+00:00,155754489.06784421442056545100
2021-10-02T00:00:00+00:00,147777247.72420150049001035100
2021-10-03T00:00:00+00:00,148234953.86261279257537645100
2021-10-04T00:00:00+00:00,155274145.29361959669659645100
