hour,3crvBalance,lusdBalance,3crvPerLusd
2021-07-15T16:00:00+00:00,169916866.751613466811825264000000000000000000,91523287.661288662033167449000000000000000000,185.654242863789418063694502657913521946
2021-07-15T18:00:00+00:00,169861817.620750043227825264000000000000000000,91578938.785040187091167449000000000000000000,185.481312487645577038313649318021740982
2021-07-15T19:00:00+00:00,169849145.660454375069599664000000000000000000,91591771.981434908282723149000000000000000000,185.441488887104135907944117549127658305
2021-07-15T20:00:00+00:00,170789591.487848687868912464000000000000000000,91595771.981434908282723149000000000000000000,186.460125607615579902657424698659355177
2021-07-15T21:00:00+00:00,170834861.309179540119544164000000000000000000,91550047.342081957258214149000000000000000000,186.602701220727246035147239370232049985
2021-07-15T23:00:00+00:00,170838890.588737187268403164000000000000000000,91546077.867733888695358249000000000000000000,186.615193755832824594480028562645836044
2021-07-16T01:00:00+00:00,170857721.790718829958494964000000000000000000,91527057.643815000696936549000000000000000000,186.674548695343807432335634522646870853
2021-07-16T02:00:00+00:00,170889781.736220846257681464000000000000000000,91494676.103151701570851749000000000000000000,186.775656261746397903594895269978544984
2021-07-16T03:00:00+00:00,170903376.356975075546681464000000000000000000,91480945.190905736208851749000000000000000000,186.818551120484976576717218241676907704
2021-07-16T04:00:00+00:00,171000407.420962174237769864000000000000000000,91480945.190905736208851749000000000000000000,186.924618087528890221005453893795121527
2021-07-16T05:00:00+00:00,171030271.839479593582769864000000000000000000,91326965.335394819063851749000000000000000000,187.272478847159107933730781663534836249
2021-07-16T07:00:00+00:00,171169871.605876964486769864000000000000000000,91338965.335394819063851749000000000000000000,187.400712256094301803258808093208428302
2021-07-16T08:00:00+00:00,170834809.144084594715769864000000000000000000,91724916.163445187351851749000000000000000000,186.246895924846643342138277408110575457
2021-07-16T09:00:00+00:00,170112174.287166912154769864000000000000000000,92426169.844493934358851749000000000000000000,184.051956900712070040994951647335792200
2021-07-16T10:00:00+00:00,169916607.395260145884769864000000000000000000,92426169.844493934358851749000000000000000000,183.840364348260956332067696599642156066
2021-07-16T11:00:00+00:00,169562156.963921966301108264000000000000000000,92824607.459813365372851749000000000000000000,182.669403732550824041673187944729442760
2021-07-16T12:00:00+00:00,167624540.233277376367026126000000000000000000,94824607.459813365372851749000000000000000000,176.773249817371083122773860215438639002
2021-07-16T13:00:00+00:00,167664506.592594880014026126000000000000000000,94784207.020814908287851749000000000000000000,176.890762567412976315703652118004151136
2021-07-16T14:00:00+00:00,167427913.359144456403026126000000000000000000,95023567.177244269648851749000000000000000000,176.196198830177350254005527236832714462
2021-07-16T15:00:00+00:00,167350193.241331304231026126000000000000000000,94968827.677792864962851749000000000000000000,176.215919826989515954568939512313780194
2021-07-16T17:00:00+00:00,171015402.796198846041979126000000000000000000,91267280.522980229520851749000000000000000000,187.378655106458224122751011445545486777
2021-07-16T18:00:00+00:00,171552571.519530069117801926000000000000000000,88327913.248559980801851749000000000000000000,194.222375702198431156770487081460146107
2021-07-16T20:00:00+00:00,171670859.879313023039801926000000000000000000,88208684.160367296701851749000000000000000000,194.619000967305886028616831367421967279
2021-07-16T21:00:00+00:00,171664014.195339489790076426000000000000000000,88213040.284120163505851449000000000000000000,194.601629920516309918412913881746689676
2021-07-16T22:00:00+00:00,171663093.683994793622685426000000000000000000,88220491.555375553655061649000000000000000000,194.584150073843947235658157373640571608
2021-07-16T23:00:00+00:00,171647709.512175789726190226000000000000000000,88220491.555375553655061649000000000000000000,194.566711753621771495315532319065646220
2021-07-17T00:00:00+00:00,171639292.017385695258190226000000000000000000,88141317.848230931169061649000000000000000000,194.731932999831630255995770051857603891
