time,open,high,low,close
1641191760,6.277,6.279,6.271,6.276
1641191820,6.273,6.277,6.273,6.277
1641191880,6.275,6.282,6.273,6.28
1641191940,6.279,6.298,6.279,6.293
1641192000,6.297,6.309,6.297,6.309
1641192060,6.309,6.319,6.308,6.317
1641192120,6.316,6.32,6.31,6.31
1641192180,6.312,6.314,6.307,6.309
1641192240,6.307,6.324,6.307,6.317
1641192300,6.314,6.314,6.3,6.302
1641192360,6.302,6.304,6.291,6.291
1641192420,6.293,6.3,6.293,6.3
1641192480,6.299,6.3,6.294,6.295
1641192540,6.296,6.308,6.296,6.304
1641192600,6.304,6.304,6.296,6.301
1641192660,6.298,6.31,6.298,6.308
1641192720,6.307,6.307,6.295,6.295
1641192780,6.299,6.302,6.299,6.302
1641192840,6.301,6.307,6.301,6.304
1641192900,6.303,6.305,6.3,6.301
1641192960,6.301,6.305,6.286,6.289
1641193020,6.288,6.288,6.275,6.281
1641193080,6.28,6.282,6.28,6.282
1641193140,6.285,6.286,6.281,6.283
1641193200,6.28,6.28,6.265,6.267
1641193260,6.273,6.275,6.272,6.272
1641193320,6.271,6.273,6.265,6.267
1641193380,6.266,6.267,6.261,6.264
1641193440,6.265,6.267,6.261,6.264
1641193500,6.261,6.269,6.26,6.268
1641193560,6.267,6.267,6.261,6.261
1641193620,6.261,6.261,6.256,6.259
1641193680,6.261,6.265,6.261,6.265
1641193740,6.265,6.278,6.263,6.276
1641193800,6.276,6.281,6.276,6.276
1641193860,6.276,6.285,6.27,6.283
1641193920,6.28,6.289,6.276,6.289
1641193980,6.29,6.294,6.284,6.292
1641194040,6.295,6.298,6.295,6.298
1641194100,6.298,6.304,6.29,6.29
1641194160,6.29,6.29,6.286,6.289
1641194220,6.286,6.286,6.278,6.278
1641194280,6.283,6.283,6.278,6.279
1641194340,6.277,6.279,6.273,6.279
1641194400,6.28,6.286,6.28,6.286
1641194460,6.287,6.299,6.287,6.294
1641194520,6.3,6.311,6.3,6.309
1641194580,6.309,6.332,6.306,6.325
1641194640,6.327,6.369,6.323,6.363
1641194700,6.36,6.36,6.334,6.336
1641194760,6.334,6.34,6.328,6.335
1641194820,6.335,6.342,6.327,6.335
1641194880,6.333,6.334,6.317,6.317
1641194940,6.316,6.329,6.315,6.325
1641195000,6.321,6.333,6.319,6.333
1641195060,6.335,6.35,6.335,6.348
1641195120,6.346,6.352,6.346,6.352
1641195180,6.352,6.364,6.352,6.361
1641195240,6.36,6.401,6.36,6.389
1641195300,6.386,6.386,6.37,6.371
1641195360,6.368,6.373,6.358,6.373
1641195420,6.371,6.38,6.371,6.374
1641195480,6.374,6.382,6.374,6.379
1641195540,6.376,6.376,6.354,6.354
1641195600,6.353,6.361,6.352,6.359
1641195660,6.362,6.373,6.358,6.364
