name,frontendTag,stabilityPoolShare,totalLQTY,frontendLQTY,depositorLQTY,users,kickbackRate
liquity.app [liquidlattice],0x30e5d10dc30a0ce2545a4dbe8de4fcba590062c5,0.43399145837855274445110353287473,6321743.8118154899529587678050787127498979000000000000000000,63217.438118154899523395000000000000000000,6258526.3736973350534353728050787127498979000000000000000000,358,0.99000000000000000000
eth.liquity.fi,0x04e313306c008f704ad6e34a08d6523db3a271f9,0.35713680672414868891,2339923.1689154010458716150500000000000000000000,0.000000000000000000000000000000000000,2339923.1689154010458716150500000000000000000000,265,1.00000000000000000000
B.Protocol,0x0d3abaa7e088c2c82f54b2f47613da438ea8c598,0.05622110375778279048,209599.98151263156975859700000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000000000,209599.98151263156975859700000000000000000000000000000000000000,85,1
freely.finance,0x5292f5dadefee3f34c271a41f2ca438c89593674,0.02368347521163179919,982833.0779999392201196754619000000000000000000,982.833077999939218929500000000000000000,981850.2449219392809007459619000000000000000000,19,0.99900000000000000000
lusd.eth.link [1kx],0x707f18262088e7a8b0d10b7f0c14b50d1cd2b019,0.02209230663421050126,503014.1191408061624400346560000000000000000000,25150.705957040308109541000000000000000000,477863.4131837658543304936560000000000000000000,16,0.95000000000000000000
DeFi Saver,0x76720ac2574631530ec8163e4085d6f98513fb27,0.02125109056830642000,111297.83964558354677070127047400000000000000000000,0.000000000000000000000000000000000000,111297.83964558354677070127047400000000000000000000,48,1.00000000000000000000
liquityapp.com,0x03cd116cabe0747f31a71b3565877717097fc06c,0.01753915923372049865,734288.3296710000085406062972000000000000000000,7342.883296710000073102000000000000000000,726945.4463742900084675042972000000000000000000,26,0.99000000000000000000
app.liquity.fi,0x47a7d15b7452820dd7a565ea9c39d8b6cef51ed7,0.01277350760693633362,448970.8987028595963592743082000000000000000000,13469.126961085787911610000000000000000000,435501.7717417738084476643082000000000000000000,28,0.97000000000000000000
lqty.io,0x5c7a871d65ced6e0063359c08f0589cebd672867,0.01142389585812039453,71940.959572653263039391000000000000000000,719.409595726532630144000000000000000000,71221.549976926730409247000000000000000000,3,0.99000000000000000000
liquity.gg,0xf1c30d30e07e6940d1c12ea25502e2c40d752171,0.00306901004955452481,10372.9045391740223287744396800000000000000000,82.983236313392178710800000000000000000,10289.9213028606301500636396800000000000000000,5,0.99200000000000000000
lusd.fi,0x3417adc19481fef4fcf29147e681c7127a57cd42,0.00299999522861794847,112288.6805317419854844141450000000000000000000,1122.886805317419853818000000000000000000,111165.7937264245656305961450000000000000000000,3,0.99000000000000000000
,0xfea35be9327aca7beffc93d2b0cfea5d291f7d13,0.00194168751548351811,22546.1504462730715922282935000000000000000000,225.461504462730715704000000000000000000,22320.6889418103408765242935000000000000000000,2,0.99000000000000000000
Instadapp,0x2971adfa57b20e5a416ae5a708a8655a9c74f723,0.00165606436274297797,48740.88086239197791851900000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000000000,48740.880862391977918519000000000000000000,8,1
,0x584f27195e2c33a45a5f72eea77a2a3043237190,0.00096896372436429590,9163.4117674300987128807720000000000000000000,916.341176743009871421000000000000000000,8247.0705906870888414597720000000000000000000,2,0.90000000000000000000
multiplier.fi,0xcddb25d5b3776da869d83dfc45c692d556cc66ac,0.00038762358499102429,2924.9361865314297885228080000000000000000000,116.997447461257191169000000000000000000,2807.9387390701725973538080000000000000000000,2,0.96000000000000000000
,0xae12469bf1ddb16082c010dfabd293010bb8d5f5,0.00033143789847561289,23958.0422440358721962789200000000000000000000,0.000000000000000000000000000000000000,23958.0422440358721962789200000000000000000000,2,1.00000000000000000000
cp0x,0x74630370197b4c4795bfeef6645ee14f8cf8997d,0.00020955878971737635481934420015,34255.9685818940823588354403629712556605000000000000000000,1712.798429094704118184000000000000000000,32543.1701527993782406514403629712556605000000000000000000,18,0.95000000000000000000
,0x20d2197da0ca45855616db6fd9bbe8ebf2d72ee1,0.00020825356425909847,837.1195416517427496681356000000000000000000,25.113586249552282527000000000000000000,812.0059554021904671411356000000000000000000,3,0.97000000000000000000
,0xffd55d121713682b27fd4ad42270461830c45a3e,0.00016268952675707557,208.386383494672885200000000000000000000,10.419319174733644260000000000000000000,197.967064319939240940000000000000000000,1,0.95000000000000000000
liquity.fun,0x2ec9b51cf7dabc9f6c3f825c285b28db615eb232,0.00015236575209927432736534666843,7338.3657986036319260060692024796624834000000000000000000,73.383657986036319125000000000000000000,7264.9821406175956068810692024796624834000000000000000000,9,0.99000000000000000000
,0x6f69586efab9be660b51bef8e4de70512f2f4d71,0.000086502525104370608252,282.806887156821915330000000000000000000,2.828068871568219148000000000000000000,279.978818285253696182000000000000000000,4,0.99000000000000000000
,0x4fe05f97110851053606c60a0ace8be02229be23,0.000085729129227365669838,1094.019830305362314600000000000000000000,0.000000000000000000000000000000000000,1094.019830305362314600000000000000000000,1,1.00000000000000000000
,0xc9f51203e3cf6a4df5dd51e31e147b19a7233493,0.000067250551920832717949,471.121694401093020798000000000000000000,4.711216944010930198000000000000000000,466.410477457082090600000000000000000000,2,0.99000000000000000000
,0x0fb69fd0335562bf82cdd366e0409693d548c597,0.000026932002326013020849,1239.461613078816054268000000000000000000,12.394616130788160527000000000000000000,1227.066996948027893741000000000000000000,1,0.99000000000000000000
,0x9367635a6c03fd084451d87b0e1527215216abbd,0.000024666647538921297074,5585.090907017773111684000000000000000000,558.509090701777311310000000000000000000,5026.581816315995800374000000000000000000,2,0.90000000000000000000
,0x1686eaff5c323b1c77fce57dc466fb7a21265ab5,0.000022985670337120266771,358.319999534447746298000000000000000000,14.332799981377909870000000000000000000,343.987199553069836428000000000000000000,2,0.96000000000000000000
waterslide.app,0xb7f4187d3d55275f81190154a824833700d232cc,0.000022109288831608347732,848.9282606111854210408307000000000000000000,8.489282606111854175000000000000000000,840.4389780050735668658307000000000000000000,4,0.99000000000000000000
zerion.io,0x843c837dd73d9a52403fd6d8d68ba4fc1df3c5b4,0.00001642075988190634361583939819,9384.24217310336679731196377132848931197700000000000000000000,938.424217310336680557000000000000000000,8445.81795579303011675496377132848931197700000000000000000000,23,0.90000000000000000000
,0xf2a552c9c301e683f810b94acbd24b08d23972f6,0.000015211042220561617245,192.272939285738762169000000000000000000,1.922729392857387619000000000000000000,190.350209892881374550000000000000000000,1,0.99000000000000000000
,0x80dbbfc80baf530c3e3cc8abbaf72d9d802a7bf0,0.000011587048742954520699,125.096790575878790209900000000000000000,0.125096790575878787700000000000000000,124.971693785302911422200000000000000000,2,0.99900000000000000000
,0x6fc5f163fc0bc4b52567327878fd86d9820417e2,0.000006540451428676513071,63.689906967920567441000000000000000000,0.318449534839602836500000000000000000,63.371457433080964604500000000000000000,1,0.99500000000000000000
,0x08a3e82fb5d7be3cbe5b441f513e2d74e3f4f2cb,0.000003643645382400947640,37.6752165953767133741170000000000000000000,3.767521659537671337000000000000000000,33.9076949358390420371170000000000000000000,4,0.90000000000000000000
,0x00afd35b88d33ed3b2036132abb7a449a6952f1a,0.000003468987348469069716,55.700039891790733286000000000000000000,1.114000797835814659000000000000000000,54.586039093954918627000000000000000000,1,0.98000000000000000000
waterslide.app,0x58dd12706093459958f5fcdd2ce065d3e6034903,0.000000564525890477767320,25.756231127994515942000000000000000000,1.287811556399725797000000000000000000,24.468419571594790145000000000000000000,1,0.95000000000000000000
,0x9c768177521c9a832b0f8567265ef02e89d0282e,0.000000111628175979473828,54.6255698980857085748040000000000000000000,10.9251139796171417317000000000000000000000,43.7004559184685668431040000000000000000000,2,0.80000000000000000000
,0x0cc3bc23ac6fceb0267e7ccf1f0268a8fc1c133c,0.000000102214687417721360,10.3900372513558498992400000000000000000000,0.0519501862567792477512000000000000000000,10.3380870650990706514888000000000000000000,1,0.99500000000000000000
,0x12e4b515b21222a5b19eab16b8e6c794a0fcbf64,0.000000075975907823681176,0.5895910570930271768700000000000000000000,0.0058959105709302717687000000000000000000,0.5836951465220969051013000000000000000000,1,0.99000000000000000000
yliquity.finance,0x84ac08e2eee5c0d919c5ca82f6b216ae97c15ec0,0.0000000068798766775069839161,6396.5322631096342455657480000000000000000000,639.6532263109634242115810000000000000000000,5756.8790367986708213541670000000000000000000,1,0.90000000000000000000
,0x01974549c9b9a30d47c548a16b120b1caa7b586c,0.0000000017027390748336795991,2706.4246687107079442163200000000000000000000,0.0000000000000000000000000000000000000000,2706.4246687107079442163200000000000000000000,1,1.00000000000000000000
,0x4aecf1635a035a7cb8db30ba12b80a4a95509268,0.0000000000186948559214198908,44.22467843423040244103775359000000000000000000,0.44224678434230402140022170000000000000000000,43.78243164988809841963753189000000000000000000,1,0.99000000000000000000
,0xef4b2f4ac237a4d52c6c3ae4e425cb174c583bf8,0.0000000000000000000000000000,26.685965306208031600000000000000000000,13.342982653104015800000000000000000000,13.342982653104015800000000000000000000,0,0.50000000000000000000
,0x21ae46ba2e14c70bf4cf135931020bea69f1c3ec,0.0000000000000000000000000000,580.356279601834731608000000000000000000,5.803562796018347285000000000000000000,574.552716805816384323000000000000000000,0,0.99000000000000000000
,0xfb894301ed09c22aba37f3bbb0cce5a8a7a92a40,0.0000000000000000000000000000,23.807784493183891854000899974095034857350000000000000000000000,1.190389224659194585000899974095034857350000000000000000000000,22.617395268524697269000000000000000000,0,0.95000000000000000000
,0xeedd71f2655c45a2488a9562cb3470a7aed55eb1,0.0000000000000000000000000000,198.556531806663484745000000000000000000,1.985565318066634845000000000000000000,196.570966488596849900000000000000000000,0,0.99000000000000000000
,0x64f9cdc1b4c9a44c67ddeee0613639c4ce12eaf1,0.0000000000000000000000000000,103.925479736083316461000354490836853561600000000000000000000000,2.078509594721666321000354490836853561600000000000000000000000,101.846970141361650140000000000000000000,0,0.98000000000000000000
,0xcd027a5e198c9dafd16a1526c6f5794f3dc69c1d,0.0000000000000000000000000000,3675.636201980526066666000000000000000000,36.756362019805260869000000000000000000,3638.879839960720805797000000000000000000,0,0.99000000000000000000
,0x843075c809673dcd1f65d2de576df4954f11b249,0.0000000000000000000000000000,724.639131285609831605000000000000000000,7.246391312856098305000000000000000000,717.392739972753733300000000000000000000,0,0.99000000000000000000
,0x368c4e8933cf3577ccc394b4e05b4e03691493f1,0.0000000000000000000000000000,269.147329355739817615000000000000000000,53.829465871147963563000000000000000000,215.317863484591854052000000000000000000,0,0.80000000000000000000
,0x2da472a913e106f3c2b8fe483653f649649454b8,0.0000000000000000000000000000,2.812685724977667033000000000000000000,0.281268572497766702000000000000000000,2.531417152479900331000000000000000000,0,0.90000000000000000000
,0x41b21ca40bb080830d482d8ce965c699f6fac9d0,0.0000000000000000000000000000,105.216772148755051613000000000000000000,10.521677214875505258000000000000000000,94.695094933879546355000000000000000000,0,0.90000000000000000000
,0xfba9bc4f589956062cd1e93108369c454580363e,0.0000000000000000000000000000,37.184054024216879372000000000000000000,1.487362160968675172000000000000000000,35.696691863248204200000000000000000000,0,
,0x50fcc7f15e301556a386f0e13977ef8cdbf9dc80,0.0000000000000000000000000000,7.196507971242408556000000000000000000,0.719650797124240856000000000000000000,6.476857174118167700000000000000000000,0,0.90000000000000000000
