day,Circulating Supply
2020-12-18T00:00:00+00:00,6148
2020-12-18T00:00:00+00:00,6148
2020-12-19T00:00:00+00:00,28368
2020-12-20T00:00:00+00:00,38278
2020-12-21T00:00:00+00:00,43364
2020-12-22T00:00:00+00:00,50032
2020-12-23T00:00:00+00:00,52016
2020-12-24T00:00:00+00:00,54882
2020-12-25T00:00:00+00:00,61643
2020-12-26T00:00:00+00:00,67920
2020-12-27T00:00:00+00:00,72247
2020-12-28T00:00:00+00:00,74956
2020-12-29T00:00:00+00:00,79158
2020-12-30T00:00:00+00:00,81521
2020-12-31T00:00:00+00:00,82396
2021-01-01T00:00:00+00:00,87494
2021-01-02T00:00:00+00:00,87983
2021-01-03T00:00:00+00:00,88876
2021-01-04T00:00:00+00:00,88993
2021-01-05T00:00:00+00:00,93481
2021-01-06T00:00:00+00:00,94613
2021-01-07T00:00:00+00:00,94846
2021-01-08T00:00:00+00:00,95544
2021-01-09T00:00:00+00:00,97387
2021-01-10T00:00:00+00:00,100125
2021-01-11T00:00:00+00:00,100726
2021-01-12T00:00:00+00:00,101616
2021-01-13T00:00:00+00:00,106296
2021-01-14T00:00:00+00:00,107007
2021-01-15T00:00:00+00:00,107644
2021-01-16T00:00:00+00:00,107844
2021-01-17T00:00:00+00:00,109121
2021-01-18T00:00:00+00:00,111896
2021-01-19T00:00:00+00:00,112375
2021-01-20T00:00:00+00:00,113868
2021-01-21T00:00:00+00:00,116131
2021-01-22T00:00:00+00:00,116326
2021-01-23T00:00:00+00:00,118833
2021-01-24T00:00:00+00:00,120414
2021-01-25T00:00:00+00:00,122064
2021-01-26T00:00:00+00:00,124801
2021-01-27T00:00:00+00:00,125563
2021-01-28T00:00:00+00:00,127232
2021-01-29T00:00:00+00:00,128309
2021-01-30T00:00:00+00:00,130747
2021-01-31T00:00:00+00:00,136240
2021-02-01T00:00:00+00:00,136987
2021-02-02T00:00:00+00:00,138046
2021-02-03T00:00:00+00:00,140289
2021-02-04T00:00:00+00:00,141490
2021-02-05T00:00:00+00:00,143234
2021-02-06T00:00:00+00:00,146365
2021-02-07T00:00:00+00:00,149760
2021-02-08T00:00:00+00:00,177412
2021-02-09T00:00:00+00:00,234285
2021-02-10T00:00:00+00:00,253430
2021-02-11T00:00:00+00:00,260477
2021-02-12T00:00:00+00:00,285053
2021-02-13T00:00:00+00:00,295602
2021-02-14T00:00:00+00:00,300348
2021-02-15T00:00:00+00:00,309610
2021-02-16T00:00:00+00:00,311432
2021-02-17T00:00:00+00:00,314483
2021-02-18T00:00:00+00:00,315957
2021-02-19T00:00:00+00:00,317863
2021-02-20T00:00:00+00:00,321859
2021-02-21T00:00:00+00:00,325604
2021-02-22T00:00:00+00:00,326642
2021-02-23T00:00:00+00:00,328661
2021-02-24T00:00:00+00:00,329549
2021-02-25T00:00:00+00:00,331373
2021-02-26T00:00:00+00:00,332238
2021-02-27T00:00:00+00:00,332917
2021-02-28T00:00:00+00:00,346458
2021-03-01T00:00:00+00:00,351673
2021-03-02T00:00:00+00:00,362384
2021-03-03T00:00:00+00:00,364248
2021-03-04T00:00:00+00:00,365374
2021-03-05T00:00:00+00:00,367250
2021-03-06T00:00:00+00:00,368432
2021-03-07T00:00:00+00:00,369529
2021-03-08T00:00:00+00:00,372327
2021-03-09T00:00:00+00:00,372831
2021-03-10T00:00:00+00:00,372961
2021-03-11T00:00:00+00:00,374107
2021-03-12T00:00:00+00:00,379819
2021-03-13T00:00:00+00:00,381401
2021-03-14T00:00:00+00:00,381855
2021-03-15T00:00:00+00:00,382284
2021-03-16T00:00:00+00:00,382548
2021-03-17T00:00:00+00:00,383271
2021-03-18T00:00:00+00:00,383901
2021-03-19T00:00:00+00:00,384645
2021-03-20T00:00:00+00:00,385157
2021-03-21T00:00:00+00:00,386516
2021-03-22T00:00:00+00:00,386583
2021-03-23T00:00:00+00:00,386692
2021-03-24T00:00:00+00:00,386951
2021-03-25T00:00:00+00:00,387067
2021-03-26T00:00:00+00:00,387345
2021-03-27T00:00:00+00:00,388540
2021-03-28T00:00:00+00:00,389929
2021-03-29T00:00:00+00:00,390604
2021-03-30T00:00:00+00:00,390811
2021-03-31T00:00:00+00:00,486165
2021-04-01T00:00:00+00:00,515017
2021-04-02T00:00:00+00:00,531162
2021-04-03T00:00:00+00:00,559825
2021-04-04T00:00:00+00:00,572299
2021-04-05T00:00:00+00:00,578318
2021-04-06T00:00:00+00:00,582109
2021-04-07T00:00:00+00:00,589027
2021-04-08T00:00:00+00:00,597572
2021-04-09T00:00:00+00:00,599664
2021-04-10T00:00:00+00:00,601438
2021-04-11T00:00:00+00:00,607083
2021-04-12T00:00:00+00:00,610790
2021-04-13T00:00:00+00:00,613329
2021-04-14T00:00:00+00:00,617085
2021-04-15T00:00:00+00:00,627116
2021-04-16T00:00:00+00:00,630330
2021-04-17T00:00:00+00:00,635800
2021-04-18T00:00:00+00:00,637969
2021-04-19T00:00:00+00:00,642060
2021-04-19T00:00:00+00:00,642060
2021-04-20T00:00:00+00:00,646481
2021-04-21T00:00:00+00:00,654295
2021-04-22T00:00:00+00:00,655039
2021-04-23T00:00:00+00:00,677306
2021-04-24T00:00:00+00:00,682588
2021-04-25T00:00:00+00:00,690359
2021-04-26T00:00:00+00:00,703534
2021-04-27T00:00:00+00:00,708731
2021-04-28T00:00:00+00:00,711008
2021-04-29T00:00:00+00:00,714188
2021-04-30T00:00:00+00:00,717553
2021-05-01T00:00:00+00:00,722220
