date,ETH in pool,USD in pool
2021-12-17T00:00:00+00:00,154731.8000000000000000,43063323.74799985
2021-12-16T00:00:00+00:00,150846.9000000000000000,27661404.603999846
2021-12-15T00:00:00+00:00,149516.5000000000000000,22306092.267999846
2021-12-14T00:00:00+00:00,152408.9000000000000000,33482354.791999847
2021-12-13T00:00:00+00:00,151163.1000000000000000,28769082.277999848
2021-12-12T00:00:00+00:00,153074.3000000000000000,36681889.853999846
2021-12-11T00:00:00+00:00,167329.5000000000000000,94867909.90199985
2021-12-10T00:00:00+00:00,175070.8000000000000000,125327990.07699984
2021-12-09T00:00:00+00:00,178613.2000000000000000,139960475.48499984
2021-12-08T00:00:00+00:00,177804.3000000000000000,136359147.52799985
2021-12-07T00:00:00+00:00,179703.7000000000000000,144542256.57199985
2021-12-06T00:00:00+00:00,181660.9000000000000000,153087137.33599985
2021-12-05T00:00:00+00:00,178553.7000000000000000,140045224.63199985
2021-12-04T00:00:00+00:00,148302.2000000000000000,14804619.66199986
2021-12-03T00:00:00+00:00,148157.0000000000000000,14192726.53399986
2021-12-02T00:00:00+00:00,152670.5000000000000000,34573345.51399986
2021-12-01T00:00:00+00:00,155656.7000000000000000,48230193.69799986
2021-11-30T00:00:00+00:00,156762.4000000000000000,53336426.86799986
2021-11-29T00:00:00+00:00,160402.5000000000000000,69488387.79099986
2021-11-28T00:00:00+00:00,161764.0000000000000000,75363396.44099987
2021-11-27T00:00:00+00:00,161821.7000000000000000,75599346.16599986
2021-11-26T00:00:00+00:00,162048.8000000000000000,76516187.47299986
2021-11-25T00:00:00+00:00,163208.5000000000000000,81780958.74199985
2021-11-24T00:00:00+00:00,165344.7000000000000000,90932653.16199985
2021-11-23T00:00:00+00:00,169395.1000000000000000,108603049.71399985
2021-11-22T00:00:00+00:00,168365.1000000000000000,104396437.01399985
2021-11-21T00:00:00+00:00,170224.8000000000000000,112331070.22799985
2021-11-20T00:00:00+00:00,172072.2000000000000000,120488191.03199986
2021-11-19T00:00:00+00:00,172815.4000000000000000,123687496.09599985
2021-11-18T00:00:00+00:00,176438.6000000000000000,138184245.38399985
2021-11-17T00:00:00+00:00,174480.5000000000000000,129794530.96199985
2021-11-16T00:00:00+00:00,177718.5000000000000000,143455361.54199985
2021-11-15T00:00:00+00:00,177838.9000000000000000,144003688.42599985
2021-11-14T00:00:00+00:00,175121.1000000000000000,131373174.95199986
2021-11-13T00:00:00+00:00,176162.6000000000000000,136217722.61699986
2021-11-12T00:00:00+00:00,177134.3000000000000000,140782759.49999985
2021-11-11T00:00:00+00:00,178645.1000000000000000,147911393.75999984
