month,withd_0.1_eth,withd_1_eth,withd_10_eth,withd_100_eth,withd_all
2020-09-01T00:00:00+00:00,181,528,887,397,1993
2021-05-01T00:00:00+00:00,646,1592,1658,1603,5499
2020-12-01T00:00:00+00:00,670,1287,1126,825,3908
2021-03-01T00:00:00+00:00,869,1377,1637,1680,5563
2021-09-01T00:00:00+00:00,687,2371,1770,1114,5942
2021-01-01T00:00:00+00:00,428,1050,1196,1073,3747
2020-07-01T00:00:00+00:00,223,441,398,143,1205
2020-11-01T00:00:00+00:00,650,965,1203,875,3693
2020-10-01T00:00:00+00:00,448,1116,1321,1291,4176
2021-02-01T00:00:00+00:00,331,1175,1398,1208,4112
2021-07-01T00:00:00+00:00,1147,2514,1468,1031,6160
2020-04-01T00:00:00+00:00,364,276,364,90,1094
2021-04-01T00:00:00+00:00,1601,1284,1608,1378,5871
2021-06-01T00:00:00+00:00,1372,2537,1703,1327,6939
2020-08-01T00:00:00+00:00,151,407,467,332,1357
2021-12-01T00:00:00+00:00,239,1310,1067,873,3489
2020-03-01T00:00:00+00:00,299,225,187,39,750
2021-10-01T00:00:00+00:00,771,2566,1694,1062,6093
2021-08-01T00:00:00+00:00,831,2095,1817,1081,5824
2020-06-01T00:00:00+00:00,239,348,489,61,1137
2019-12-01T00:00:00+00:00,186,80,99,3,368
2020-01-01T00:00:00+00:00,422,237,185,57,901
2021-11-01T00:00:00+00:00,393,3764,2126,1200,7483
2020-02-01T00:00:00+00:00,381,270,226,33,910
2020-05-01T00:00:00+00:00,316,410,367,201,1294
