evt_block_time,torn_balance,torn_price,tvl
2021-10-16T15:19:00+00:00,33064.417736429802,69.54,2299299.6093913284
2021-10-16T15:54:00+00:00,33072.8815055065562323,69.84,2309810.044344578
2021-10-16T15:55:00+00:00,33064.4177364298020000,69.84,2309218.9347122572
2021-10-19T01:58:00+00:00,32464.4177364298020000,73.31,2379966.4642576687
2021-10-19T06:55:00+00:00,32399.0256064298020000,72.39,2345365.463649453
2021-10-19T10:49:00+00:00,32304.4065160033672061,71.72,2316872.0353277614
2021-10-19T10:58:00+00:00,18114.7265160033672061,71.64,1297739.0076064812
2021-10-19T11:17:00+00:00,17114.7265160033672061,71.09,1216685.9080226794
2021-10-19T18:01:00+00:00,16425.7607160033672061,71.39,1172635.0575154803
2021-10-20T10:29:00+00:00,16325.7607160033672061,69.83,1140027.8707985152
2021-10-23T14:21:00+00:00,18447.8755722987291926,67.54,1245969.5161530564
2021-10-23T16:18:00+00:00,18247.8755722987291926,67.94,1239760.6663819756
2021-11-07T09:24:00+00:00,17996.3442997597340207,56.39,1014813.8550634515
2021-11-07T19:06:00+00:00,17876.3442997597340207,57.34,1025029.5821482232
2021-11-07T21:56:00+00:00,17731.2975785050732981,56.9,1008910.8322169386
2021-11-09T07:32:00+00:00,17421.2506101299372737,58.62,1021233.7107658169
2021-11-13T10:37:00+00:00,17437.8380641145557563,54.6,952105.9583006548
2021-11-14T07:46:00+00:00,17325.7177598946036052,55.59,963136.6502725411
2021-11-26T19:58:00+00:00,17278.2477598946036052,46.48,803092.9558799011
2021-11-28T09:53:00+00:00,17274.4408598946036052,45.11,779250.0271898456
2021-12-09T02:02:00+00:00,19574.2797897671323244,36.8,720333.4962634305
2021-12-11T17:37:00+00:00,17274.4408598946036052,41.74,721035.1614920008
2021-12-27T15:02:00+00:00,17410.7412395109375890,41.86,728813.6282859279
2021-12-29T09:06:00+00:00,22708.1037195779622824,38.8,881074.4243196248
2022-01-15T08:46:00+00:00,22642.3037195779622824,35.63,806745.2815285628
2022-01-15T08:49:00+00:00,22621.0585283270940641,35.63,805988.3153642945
2022-02-10T09:33:00+00:00,22612.9327219851683042,26.38,596529.1652059688
2022-02-10T11:59:00+00:00,22933.9327219851683042,26.79,614400.0576219826
2022-02-12T14:54:00+00:00,23933.9327219851683042,23.29,557421.2930950345
2022-02-14T10:57:00+00:00,23940.2965747425350131,23.34,558766.5220544907
2022-02-14T12:23:00+00:00,24164.5800411178627917,23.9,577533.462982717
2022-02-14T15:46:00+00:00,24295.2333031478627917,24.82,603007.69058413
2022-02-14T16:19:00+00:00,24645.2333031478627917,24.87,612926.9522492874
2022-02-15T00:10:00+00:00,24671.9345331478627917,25.6,631601.5240485853
2022-02-15T05:39:00+00:00,24786.4928074343175264,26.41,654611.2750443404
2022-02-15T08:46:00+00:00,28975.9519853839960486,26.8,776555.5132082911
2022-02-15T11:45:00+00:00,31075.9519853839960486,27.87,866086.7818326519
2022-02-15T13:07:00+00:00,33622.5064723739960486,29.7,998588.4422295076
2022-02-15T13:11:00+00:00,34947.2168727091910394,29.65,1036184.9802758275
2022-02-15T13:23:00+00:00,36947.2168727091910394,29.7,1097332.341119463
2022-02-15T13:27:00+00:00,39959.0396965242576702,29.7,1186783.4789867704
2022-02-15T15:08:00+00:00,40265.9921965242576702,30.58,1231334.0413697117
2022-02-15T16:10:00+00:00,40849.2179139620685059,30.43,1243041.7011218658
2022-02-16T00:41:00+00:00,46849.2179139620685059,31.23,1463101.0754530355
2022-02-16T01:29:00+00:00,47716.9136506277955113,31.07,1482564.5071250056
2022-02-16T05:53:00+00:00,50075.8013506277955113,31.36,1570377.1303556876
2022-02-16T10:02:00+00:00,50477.7268606277955113,33.25,1678384.418115874
2022-02-16T10:06:00+00:00,51205.8468606277955113,33.73,1727173.2146089755
2022-02-16T10:39:00+00:00,51210.8586170103517292,37.53,1921943.5238963985
2022-02-16T10:51:00+00:00,51506.0966770103517292,38.59,1987620.2707658298
2022-02-16T10:58:00+00:00,52263.2010066343898611,38.65,2019972.718906419
2022-02-16T11:02:00+00:00,52271.5088206322259685,39.59,2069429.03420883
2022-02-16T11:11:00+00:00,52575.0419497436672211,40.05,2105630.430087234
