staker,sum
\x179f48c78f57a3a78f0608cc9197b8972921d1d2,1283333.333333333334
\x3efa30704d2b8bbac821307230376556cf8cc39e,143831.157592566708000000000000000000000000
\xd88189f7dee6e5dbd6cbc6f06fd357f4bf7f330b,52636.0885978400000000
\xa2b2fbcac668d86265c45f62da80aaf3fd1dede3,43821.329691207170
\x84781094f9b11acb35a7dca31d731a244b25e6a4,28676.9487200352075641
\xb25fcf96d67d63c1c724ed304b6a5e40cdfa6052,28540.4451959381426361
\xe7d39739801449ab055ce0d50093dfb6b4f86369,25761.8271694534000458
\xebf919b0dafb9ea4bf324108a142c64a69052d8f,21381.6716196492025693
\x1efb0c3f49e613759889d58eaa06d107b487e1a4,20891.5706969140646305
\xefb7ce1357f324a324a8eabdc443b26894a2b246,20494.2958499198291843
\x83c418d2ed6670785330b996b47a18492b61e218,20334.957404923740
\x13e50a5e7d695ae729da77623c61661b27a3b60a,19161.273837880000
\xd33e530d53fbd9c10a9a54791617118ab297c51b,17166.2174878578685117
\xe2ca7390e76c5a992749bb622087310d2e63ca29,15216.5300000000000000
\x097daa98f6db6a17395bb540ee274bb0f227bf42,10298.356000000000
\xa8d95752b79cdd43dfacdb0bd16cf28cacb7a29b,10037.4737990223853386
\xe44799ef334df157e0f8e2855e5ebebdbc02b299,9887.1541143305006243
\x756b4485eeec43ac40b2444e56cbb0d533b49b56,9335.6914467800000000
\x356ee97d7d560af2e97e9f9eee56b2e09d60e6f5,8390.3374248383160782
\x3a1d526d09b7e59fd88de4726f68a8246ddc2742,8148.0900000000000000
\x45f9675804904a6d8116354bd9ba74cdbdbc88ca,7586.2734720635090111
\x7773ad67c74d12e10d167eccb4ba01b446a6eba1,7500.0000000000000000
\xf99d1946bf038a1205d430ec91401e760e5f8f6f,7208.2329855649813532
\x3aaf34b7ebf5694287ee74c61a88616daafdf2a6,6920.9150000000000000
\xdbfb0e80143dd737e04925ffd7af8c355c0d25f9,5011.8228238150666308
\x9897bc7231492cdf163bb81bff10a5919a73d132,4761.9050000000000000
\xe6db0e9a6f3405367e93192427bb549179792d1c,4626.7019538876557896
\xbfb910652f850f85e3f85aa0c12ae8f4037095b0,4305.3529725443598041
\xa29dbaa84a9949a0a38a2ba07e0b75e6603934db,4203.8112599411642649
\xde64fff9dc79784d0a2b8b7f8029885ced90bcd2,4172.2881438611611600
\x8151845d0fa0f74250e0f1e50c4899a6a455d39a,4102.0082481070981927
\x4bf2fbf8d5bb14a643eaf2f4bde976dbf1363d96,4069.8711093640098040
\x2019097d6d3ba5337a9e5de33ee1cd9ccb07ec03,4028.3086184700000000
\xf587ed06fbac43b8333b6a50e9079b73fd579189,4008.6489170742217087
\xb2c95127308876b0da00dce7798412bca95c9fee,3857.3497032970070000
\xac57c7a3960ba383b94b28bf44f9cdc26b84a8e7,3651.5121405423634714
\xceaf6836d5f36741f245f495f09fb4e7ea8f5ec2,3213.2953458436431934
\xcee4a28f619e0cc11026640e2a2e430bebe68ef5,3210.0000000000000000
\xec51046b1d4035a039114d7950bbafaa1714604d,3125.0000000000000000
\x642df98e9d71ba533df7288512cf63d34a907659,3002.2016939206510589
\x69383889dbb0b45f83b82aa25b7015cc1bd0ae76,2894.8047000000000000
\x4bbc780de22135a7f04991633364e48621682292,2682.0701825696222153
\xedf784409d24dfeb1d88686f27c20d7274a1c0d2,2653.8927363378312521
\x8cb15c288156d950e9c101ec7298cee10efc04be,2600.0000000000000000
