day,quorum,amount
2020-12-19T00:00:00+00:00,25000,174
2020-12-20T00:00:00+00:00,25000,2816
2020-12-21T00:00:00+00:00,25000,2963
2020-12-22T00:00:00+00:00,25000,321
2020-12-23T00:00:00+00:00,25000,401
2020-12-26T00:00:00+00:00,25000,458
2020-12-29T00:00:00+00:00,25000,458
2021-01-16T00:00:00+00:00,25000,458
2021-01-17T00:00:00+00:00,25000,458
2021-01-17T00:00:00+00:00,25000,458
2021-01-25T00:00:00+00:00,25000,2721
2021-01-26T00:00:00+00:00,25000,12672
2021-01-26T00:00:00+00:00,25000,12672
2021-01-27T00:00:00+00:00,25000,22379
2021-01-27T00:00:00+00:00,25000,22379
2021-01-28T00:00:00+00:00,25000,29726
2021-01-29T00:00:00+00:00,25000,33018
2021-01-29T00:00:00+00:00,25000,33018
2021-01-30T00:00:00+00:00,25000,35204
2021-01-30T00:00:00+00:00,25000,35204
2021-01-31T00:00:00+00:00,25000,41941
2021-01-31T00:00:00+00:00,25000,41941
2021-02-01T00:00:00+00:00,25000,42939
2021-02-01T00:00:00+00:00,25000,42939
2021-02-02T00:00:00+00:00,25000,47247
2021-02-02T00:00:00+00:00,25000,47247
2021-02-03T00:00:00+00:00,25000,51631
2021-02-03T00:00:00+00:00,25000,51631
2021-02-03T00:00:00+00:00,25000,51631
2021-02-04T00:00:00+00:00,25000,53510
2021-02-04T00:00:00+00:00,25000,53510
2021-02-05T00:00:00+00:00,25000,62833
2021-02-05T00:00:00+00:00,25000,62833
2021-02-06T00:00:00+00:00,25000,63392
2021-02-06T00:00:00+00:00,25000,63392
2021-02-06T00:00:00+00:00,25000,63392
2021-02-07T00:00:00+00:00,25000,63647
2021-02-07T00:00:00+00:00,25000,63647
2021-02-08T00:00:00+00:00,25000,62418
2021-02-08T00:00:00+00:00,25000,62418
2021-02-09T00:00:00+00:00,25000,59814
2021-02-10T00:00:00+00:00,25000,59747
2021-02-11T00:00:00+00:00,25000,59347
2021-02-12T00:00:00+00:00,25000,22215
2021-02-12T00:00:00+00:00,25000,22215
2021-02-13T00:00:00+00:00,25000,20067
2021-02-13T00:00:00+00:00,25000,20067
2021-02-14T00:00:00+00:00,25000,18931
2021-02-15T00:00:00+00:00,25000,18006
2021-02-15T00:00:00+00:00,25000,18006
2021-02-16T00:00:00+00:00,25000,17924
2021-02-17T00:00:00+00:00,25000,17831
2021-02-17T00:00:00+00:00,25000,17831
2021-02-18T00:00:00+00:00,25000,17710
2021-02-19T00:00:00+00:00,25000,17237
2021-02-20T00:00:00+00:00,25000,17127
2021-02-20T00:00:00+00:00,25000,17127
2021-02-21T00:00:00+00:00,25000,16925
2021-02-23T00:00:00+00:00,25000,16885
2021-02-23T00:00:00+00:00,25000,16885
2021-02-24T00:00:00+00:00,25000,16890
2021-02-25T00:00:00+00:00,25000,16837
2021-02-26T00:00:00+00:00,25000,16787
2021-02-27T00:00:00+00:00,25000,16877
2021-03-01T00:00:00+00:00,25000,16650
2021-03-01T00:00:00+00:00,25000,16650
2021-03-02T00:00:00+00:00,25000,16629
2021-03-02T00:00:00+00:00,25000,16629
2021-03-03T00:00:00+00:00,25000,16622
2021-03-04T00:00:00+00:00,25000,16722
2021-03-04T00:00:00+00:00,25000,16722
2021-03-04T00:00:00+00:00,25000,16722
2021-03-05T00:00:00+00:00,25000,21429
2021-03-05T00:00:00+00:00,25000,21429
2021-03-06T00:00:00+00:00,25000,20724
2021-03-06T00:00:00+00:00,25000,20724
2021-03-07T00:00:00+00:00,25000,20027
2021-03-07T00:00:00+00:00,25000,20027
2021-03-08T00:00:00+00:00,25000,23668
2021-03-08T00:00:00+00:00,25000,23668
2021-03-09T00:00:00+00:00,25000,24258
2021-03-09T00:00:00+00:00,25000,24258
2021-03-11T00:00:00+00:00,25000,24259
2021-03-11T00:00:00+00:00,25000,24259
2021-03-12T00:00:00+00:00,25000,21296
2021-03-12T00:00:00+00:00,25000,21296
2021-03-12T00:00:00+00:00,25000,21296
2021-03-13T00:00:00+00:00,25000,20936
2021-03-14T00:00:00+00:00,25000,21269
2021-03-14T00:00:00+00:00,25000,21269
2021-03-15T00:00:00+00:00,25000,21188
2021-03-15T00:00:00+00:00,25000,21188
2021-03-17T00:00:00+00:00,25000,20688
2021-03-18T00:00:00+00:00,25000,20188
2021-03-19T00:00:00+00:00,25000,20162
2021-03-20T00:00:00+00:00,25000,19992
2021-03-25T00:00:00+00:00,25000,23450
2021-03-25T00:00:00+00:00,25000,23450
2021-03-26T00:00:00+00:00,25000,32142
2021-03-26T00:00:00+00:00,25000,32142
2021-03-27T00:00:00+00:00,25000,40470
2021-03-27T00:00:00+00:00,25000,40470
2021-03-27T00:00:00+00:00,25000,40470
2021-03-28T00:00:00+00:00,25000,41222
2021-03-28T00:00:00+00:00,25000,41222
2021-03-29T00:00:00+00:00,25000,41193
2021-04-03T00:00:00+00:00,25000,37268
2021-04-03T00:00:00+00:00,25000,37268
2021-04-04T00:00:00+00:00,25000,35500
2021-04-04T00:00:00+00:00,25000,35500
2021-04-04T00:00:00+00:00,25000,35500
2021-04-05T00:00:00+00:00,25000,35196
2021-04-05T00:00:00+00:00,25000,35196
2021-04-06T00:00:00+00:00,25000,34286
2021-04-08T00:00:00+00:00,25000,34081
2021-04-09T00:00:00+00:00,25000,34326
2021-04-10T00:00:00+00:00,25000,34151
2021-04-10T00:00:00+00:00,25000,34151
2021-04-11T00:00:00+00:00,25000,52409
2021-04-11T00:00:00+00:00,25000,52409
2021-04-11T00:00:00+00:00,25000,52409
2021-04-12T00:00:00+00:00,25000,72637
2021-04-12T00:00:00+00:00,25000,72637
2021-04-13T00:00:00+00:00,25000,73442
2021-04-13T00:00:00+00:00,25000,73442
2021-04-14T00:00:00+00:00,25000,74948
2021-04-15T00:00:00+00:00,25000,76082
2021-04-15T00:00:00+00:00,25000,76082
2021-04-16T00:00:00+00:00,25000,75277
2021-04-16T00:00:00+00:00,25000,75277
2021-04-17T00:00:00+00:00,25000,75417
2021-04-19T00:00:00+00:00,25000,72409
2021-04-19T00:00:00+00:00,25000,72409
2021-04-20T00:00:00+00:00,25000,71026
2021-04-21T00:00:00+00:00,25000,66606
2021-04-23T00:00:00+00:00,25000,47283
2021-04-23T00:00:00+00:00,25000,47283
2021-04-24T00:00:00+00:00,25000,46997
2021-04-24T00:00:00+00:00,25000,46997
2021-04-25T00:00:00+00:00,25000,42699
2021-04-26T00:00:00+00:00,25000,21523
2021-04-27T00:00:00+00:00,25000,21495
2021-04-28T00:00:00+00:00,25000,21325
2021-04-28T00:00:00+00:00,25000,21325
2021-05-01T00:00:00+00:00,25000,17143
2021-05-01T00:00:00+00:00,25000,17143
2021-05-04T00:00:00+00:00,25000,15783
2021-05-07T00:00:00+00:00,25000,15633
2021-05-08T00:00:00+00:00,25000,15573
2021-05-14T00:00:00+00:00,25000,15273
2021-05-15T00:00:00+00:00,25000,13585
2021-05-17T00:00:00+00:00,25000,12694
2021-05-18T00:00:00+00:00,25000,12609
2021-05-25T00:00:00+00:00,25000,13074
2021-05-29T00:00:00+00:00,25000,13075
2021-05-30T00:00:00+00:00,25000,13071
2021-06-01T00:00:00+00:00,25000,14808
2021-06-01T00:00:00+00:00,25000,14808
2021-06-02T00:00:00+00:00,25000,15484
2021-06-02T00:00:00+00:00,25000,15484
2021-06-03T00:00:00+00:00,25000,24499
2021-06-03T00:00:00+00:00,25000,24499
2021-06-04T00:00:00+00:00,25000,33630
2021-06-04T00:00:00+00:00,25000,33630
2021-06-06T00:00:00+00:00,25000,33903
2021-06-08T00:00:00+00:00,25000,33903
2021-06-08T00:00:00+00:00,25000,33903
2021-06-09T00:00:00+00:00,25000,23613
2021-06-09T00:00:00+00:00,25000,23613
2021-06-10T00:00:00+00:00,25000,17581
2021-06-11T00:00:00+00:00,25000,18429
2021-06-11T00:00:00+00:00,25000,18429
2021-06-12T00:00:00+00:00,25000,18426
2021-06-13T00:00:00+00:00,25000,18069
2021-06-13T00:00:00+00:00,25000,18069
2021-06-15T00:00:00+00:00,25000,17706
2021-06-15T00:00:00+00:00,25000,17706
2021-06-16T00:00:00+00:00,25000,17706
2021-06-16T00:00:00+00:00,25000,17706
2021-06-17T00:00:00+00:00,25000,17407
2021-06-17T00:00:00+00:00,25000,17407
2021-06-18T00:00:00+00:00,25000,15525
2021-06-19T00:00:00+00:00,25000,15518
2021-06-20T00:00:00+00:00,25000,15497
2021-06-21T00:00:00+00:00,25000,15497
