time,users
2021-12-13T00:00:00+00:00,364
2021-12-06T00:00:00+00:00,455
2021-11-29T00:00:00+00:00,436
2021-11-22T00:00:00+00:00,510
2021-11-15T00:00:00+00:00,460
2021-11-08T00:00:00+00:00,553
2021-11-01T00:00:00+00:00,474
2021-10-25T00:00:00+00:00,402
2021-10-18T00:00:00+00:00,457
2021-10-11T00:00:00+00:00,471
2021-10-04T00:00:00+00:00,456
2021-09-27T00:00:00+00:00,533
2021-09-20T00:00:00+00:00,518
2021-09-13T00:00:00+00:00,553
2021-09-06T00:00:00+00:00,499
2021-08-30T00:00:00+00:00,434
2021-08-23T00:00:00+00:00,554
2021-08-16T00:00:00+00:00,532
2021-08-09T00:00:00+00:00,577
2021-08-02T00:00:00+00:00,519
2021-07-26T00:00:00+00:00,473
2021-07-19T00:00:00+00:00,581
2021-07-12T00:00:00+00:00,489
2021-07-05T00:00:00+00:00,542
2021-06-28T00:00:00+00:00,667
2021-06-21T00:00:00+00:00,657
2021-06-14T00:00:00+00:00,666
2021-06-07T00:00:00+00:00,681
2021-05-31T00:00:00+00:00,667
2021-05-24T00:00:00+00:00,574
2021-05-17T00:00:00+00:00,447
2021-05-10T00:00:00+00:00,382
2021-05-03T00:00:00+00:00,490
2021-04-26T00:00:00+00:00,633
2021-04-19T00:00:00+00:00,458
2021-04-12T00:00:00+00:00,373
2021-04-05T00:00:00+00:00,427
2021-03-29T00:00:00+00:00,453
2021-03-22T00:00:00+00:00,376
2021-03-15T00:00:00+00:00,357
2021-03-08T00:00:00+00:00,386
2021-03-01T00:00:00+00:00,517
2021-02-22T00:00:00+00:00,538
2021-02-15T00:00:00+00:00,729
2021-02-08T00:00:00+00:00,690
2021-02-01T00:00:00+00:00,287
2021-01-25T00:00:00+00:00,318
2021-01-18T00:00:00+00:00,376
2021-01-11T00:00:00+00:00,376
2021-01-04T00:00:00+00:00,379
2020-12-28T00:00:00+00:00,501
2020-12-21T00:00:00+00:00,688
2020-12-14T00:00:00+00:00,570
2020-12-07T00:00:00+00:00,393
2020-11-30T00:00:00+00:00,461
2020-11-23T00:00:00+00:00,551
2020-11-16T00:00:00+00:00,353
2020-11-09T00:00:00+00:00,342
2020-11-02T00:00:00+00:00,397
2020-10-26T00:00:00+00:00,422
2020-10-19T00:00:00+00:00,460
2020-10-12T00:00:00+00:00,558
2020-10-05T00:00:00+00:00,329
2020-09-28T00:00:00+00:00,379
2020-09-21T00:00:00+00:00,267
2020-09-14T00:00:00+00:00,188
2020-09-07T00:00:00+00:00,182
2020-08-31T00:00:00+00:00,137
2020-08-24T00:00:00+00:00,178
2020-08-17T00:00:00+00:00,138
2020-08-10T00:00:00+00:00,89
2020-08-03T00:00:00+00:00,148
2020-07-27T00:00:00+00:00,135
2020-07-20T00:00:00+00:00,110
2020-07-13T00:00:00+00:00,141
2020-07-06T00:00:00+00:00,136
2020-06-29T00:00:00+00:00,163
2020-06-22T00:00:00+00:00,133
2020-06-15T00:00:00+00:00,137
2020-06-08T00:00:00+00:00,105
2020-06-01T00:00:00+00:00,106
2020-05-25T00:00:00+00:00,78
2020-05-18T00:00:00+00:00,111
2020-05-11T00:00:00+00:00,84
2020-05-04T00:00:00+00:00,126
2020-04-27T00:00:00+00:00,112
2020-04-20T00:00:00+00:00,132
2020-04-13T00:00:00+00:00,111
2020-04-06T00:00:00+00:00,103
2020-03-30T00:00:00+00:00,75
2020-03-23T00:00:00+00:00,83
2020-03-16T00:00:00+00:00,75
2020-03-09T00:00:00+00:00,79
2020-03-02T00:00:00+00:00,108
2020-02-24T00:00:00+00:00,103
2020-02-17T00:00:00+00:00,104
2020-02-10T00:00:00+00:00,101
2020-02-03T00:00:00+00:00,125
2020-01-27T00:00:00+00:00,117
2020-01-20T00:00:00+00:00,98
2020-01-13T00:00:00+00:00,143
2020-01-06T00:00:00+00:00,154
2019-12-30T00:00:00+00:00,139
2019-12-23T00:00:00+00:00,108
2019-12-16T00:00:00+00:00,116
