claimed torn,max_airdrop,day
6148,500000,2020-12-18T00:00:00+00:00
28368,500000,2020-12-19T00:00:00+00:00
38278,500000,2020-12-20T00:00:00+00:00
43364,500000,2020-12-21T00:00:00+00:00
48711,500000,2020-12-22T00:00:00+00:00
50696,500000,2020-12-23T00:00:00+00:00
53561,500000,2020-12-24T00:00:00+00:00
60322,500000,2020-12-25T00:00:00+00:00
66600,500000,2020-12-26T00:00:00+00:00
70925,500000,2020-12-27T00:00:00+00:00
73634,500000,2020-12-28T00:00:00+00:00
77836,500000,2020-12-29T00:00:00+00:00
80199,500000,2020-12-30T00:00:00+00:00
81074,500000,2020-12-31T00:00:00+00:00
86172,500000,2021-01-01T00:00:00+00:00
86658,500000,2021-01-02T00:00:00+00:00
87551,500000,2021-01-03T00:00:00+00:00
87668,500000,2021-01-04T00:00:00+00:00
92155,500000,2021-01-05T00:00:00+00:00
93288,500000,2021-01-06T00:00:00+00:00
93515,500000,2021-01-07T00:00:00+00:00
94213,500000,2021-01-08T00:00:00+00:00
96056,500000,2021-01-09T00:00:00+00:00
98795,500000,2021-01-10T00:00:00+00:00
99395,500000,2021-01-11T00:00:00+00:00
100285,500000,2021-01-12T00:00:00+00:00
104965,500000,2021-01-13T00:00:00+00:00
105676,500000,2021-01-14T00:00:00+00:00
106314,500000,2021-01-15T00:00:00+00:00
106510,500000,2021-01-16T00:00:00+00:00
107690,500000,2021-01-17T00:00:00+00:00
110464,500000,2021-01-18T00:00:00+00:00
110944,500000,2021-01-19T00:00:00+00:00
112436,500000,2021-01-20T00:00:00+00:00
114699,500000,2021-01-21T00:00:00+00:00
114894,500000,2021-01-22T00:00:00+00:00
117401,500000,2021-01-23T00:00:00+00:00
118982,500000,2021-01-24T00:00:00+00:00
120632,500000,2021-01-25T00:00:00+00:00
123369,500000,2021-01-26T00:00:00+00:00
124122,500000,2021-01-27T00:00:00+00:00
125728,500000,2021-01-28T00:00:00+00:00
126501,500000,2021-01-29T00:00:00+00:00
128655,500000,2021-01-30T00:00:00+00:00
133597,500000,2021-01-31T00:00:00+00:00
134131,500000,2021-02-01T00:00:00+00:00
135189,500000,2021-02-02T00:00:00+00:00
137140,500000,2021-02-03T00:00:00+00:00
138341,500000,2021-02-04T00:00:00+00:00
140085,500000,2021-02-05T00:00:00+00:00
141771,500000,2021-02-06T00:00:00+00:00
144697,500000,2021-02-07T00:00:00+00:00
170556,500000,2021-02-08T00:00:00+00:00
224981,500000,2021-02-09T00:00:00+00:00
243177,500000,2021-02-10T00:00:00+00:00
249938,500000,2021-02-11T00:00:00+00:00
255782,500000,2021-02-12T00:00:00+00:00
263898,500000,2021-02-13T00:00:00+00:00
267444,500000,2021-02-14T00:00:00+00:00
275535,500000,2021-02-15T00:00:00+00:00
277206,500000,2021-02-16T00:00:00+00:00
280146,500000,2021-02-17T00:00:00+00:00
281089,500000,2021-02-18T00:00:00+00:00
282454,500000,2021-02-19T00:00:00+00:00
286225,500000,2021-02-20T00:00:00+00:00
