Block,Date,MIM Price,MIM TVL,EURS Price,EURS TVL,FRAX Price,FRAX TVL,USDN Price,USDN TVL,mUSD Price,mUSD TVL,USDP Price,USDP TVL,IronBank Price,IronBank TVL,sUSD Price,sUSD TVL,alUSD Price,alUSD TVL
12620246,2021-06-12 14:49:10,0,0,1.0128,40509320,1.0128,28728990,1.0402,121261113,1.0215,740787,1.0145,57126559,1.073,320461602,1.046,13707725,1.0135,74770674
12626707,2021-06-13 14:37:54,0,0,1.0132,41029726,1.0133,29601181,1.0409,122813762,1.0218,810750,1.0149,57067381,1.0733,325583882,1.0461,14053262,1.0137,72658214
12633168,2021-06-14 14:42:50,0,0,1.014,41520378,1.0139,32290478,1.0411,116294066,1.0219,858215,1.0154,55613699,1.0735,337517393,1.0462,14007117,1.0147,84941510
12639629,2021-06-15 14:39:32,0,0,1.0148,45287127,1.0143,33509420,1.0422,129965886,1.0221,7347596,1.0157,55242773,1.0738,339504933,1.0468,14431932,1.0155,117197281
12646090,2021-06-16 14:40:53,0,0,1.0151,46205764,1.0146,33644681,1.0432,131095352,1.0221,7313170,1.0161,54340091,1.0741,355899525,1.0471,14920978,1.0158,115419058
12652551,2021-06-17 14:47:12,0,0,1.0159,47377544,1.0155,37168794,1.0438,134585056,1.0225,7317980,1.0167,43995831,1.0742,355873708,1.0473,14925164,1.0162,79795976
12659012,2021-06-18 14:47:42,0,0,1.0162,47253311,1.0159,44143902,1.0444,142010502,1.0225,7318095,1.0167,41568533,1.0746,357666014,1.0474,14855405,1.0164,74813280
12665473,2021-06-19 14:55:56,0,0,1.0169,46880629,1.0163,44642867,1.0445,140942379,1.0227,7301656,1.0174,41805635,1.0749,357890688,1.048,14415852,1.0169,68398725
12671934,2021-06-20 15:19:03,0,0,1.0171,48905927,1.0167,47397199,1.0451,139407656,1.0229,7301714,1.0176,41979899,1.075,357777632,1.0481,14461906,1.0174,63348172
12678395,2021-06-21 15:19:22,0,0,1.0177,48656964,1.0171,57570000,1.0458,139047544,1.0229,7286287,1.0179,41484881,1.0752,356330595,1.0482,13879497,1.0177,59781976
12684856,2021-06-22 15:37:53,0,0,1.0178,48808345,1.0171,46999277,1.0459,135464804,1.023,7290666,1.0181,39502846,1.0754,346799975,1.0489,13864117,1.018,55317517
12691317,2021-06-23 15:57:54,0,0,1.0178,48838397,1.0178,46767114,1.0471,208611757,1.0233,7216992,1.0191,41823814,1.0756,312229030,1.0494,14024008,1.0185,55567436
12697778,2021-06-24 16:00:28,0,0,1.0178,48953212,1.0182,48390771,1.0471,206079172,1.0233,7217052,1.0191,41250086,1.0757,312172145,1.0494,14044967,1.0185,54034857
12704239,2021-06-25 16:14:22,0,0,1.0181,48675774,1.0186,49858066,1.0477,199258681,1.0236,7169986,1.0197,41013898,1.0758,312124769,1.0497,13777073,1.0191,53925515
12710700,2021-06-26 16:23:39,0,0,1.0187,48267321,1.019,51702135,1.0482,196525012,1.0237,7170020,1.02,40622984,1.076,311536823,1.0498,13753761,1.0193,48629996
12717161,2021-06-27 16:33:41,0,0,1.0191,47767798,1.0193,51715604,1.0483,191349779,1.0237,7170065,1.02,38353340,1.0761,294718173,1.0501,13763889,1.0195,46748349
12723622,2021-06-28 16:38:57,0,0,1.0196,46927323,1.0198,61086906,1.0488,185696726,1.0237,7175089,1.0203,38217973,1.0763,294682689,1.0501,11752270,1.0197,45410252
12730083,2021-06-29 16:46:18,0,0,1.0198,44523822,1.0201,61487266,1.0489,183733726,1.0241,7175145,1.0206,37390185,1.0764,293955952,1.0506,11735664,1.0201,38069804
12736544,2021-06-30 16:54:29,0,0,1.0204,44688962,1.0208,62257673,1.0497,178406505,1.0241,7191855,1.0208,36505054,1.0766,294054276,1.0507,11837155,1.0205,37428087
12743005,2021-07-01 16:57:07,0,0,1.0206,44458196,1.021,61399194,1.0503,181559409,1.0242,7180521,1.0213,32269967,1.0768,284672497,1.0511,11851357,1.021,37101741
12749466,2021-07-02 17:02:55,0,0,1.0211,44651411,1.0212,61896928,1.0504,181346679,1.0247,7080391,1.0214,32175963,1.0769,284493947,1.0513,11684167,1.0212,36433856
12755927,2021-07-03 17:25:00,0,0,1.0215,44916071,1.0219,61884625,1.0508,180568359,1.0248,7061624,1.0215,29864419,1.0771,274174125,1.0518,11940030,1.0215,38338381
12762388,2021-07-04 17:29:44,0,0,1.0219,45439689,1.0221,61875813,1.0509,180473137,1.0254,7073170,1.0215,29574100,1.0773,274144324,1.0518,11991563,1.0219,38306729
12768849,2021-07-05 17:33:48,0,0,1.0221,43300448,1.0225,61559647,1.0513,180558954,1.0254,7036303,1.0218,29165162,1.0774,271654452,1.0522,12030629,1.0219,37869607
12775310,2021-07-06 17:46:18,0,0,1.0223,43430733,1.0227,59088798,1.0517,180870524,1.0255,7036400,1.0218,27002836,1.0776,271726728,1.0526,13335961,1.0221,37852450
12781771,2021-07-07 17:48:52,0,0,1.0227,43228604,1.0233,59315899,1.0523,180855800,1.0255,7039389,1.0221,26560543,1.0777,271713533,1.0526,12805785,1.0229,39298471
12788232,2021-07-08 18:08:23,0,0,1.0229,43088134,1.0237,66744337,1.0524,178916396,1.0259,511798,1.0221,26436576,1.0778,267354475,1.053,12918043,1.0232,40553268
12794693,2021-07-09 18:13:46,0,0,1.0233,42697972,1.0238,63962916,1.0528,178949308,1.026,481716,1.0225,24358238,1.0779,264712932,1.0531,13028170,1.0235,40970744
12801154,2021-07-10 18:06:28,0,0,1.0235,41813053,1.0242,63359190,1.0531,177911067,1.0314,588716,1.0225,24356377,1.0781,256424499,1.0533,13858492,1.0237,41107539
12807615,2021-07-11 18:24:19,0,0,1.0236,41510618,1.0243,63199889,1.0532,177840469,1.0315,568504,1.0229,24371910,1.0783,256429665,1.0533,13851600,1.0242,41908345
12814076,2021-07-12 18:28:41,0,0,1.0239,36181013,1.0248,62667013,1.0537,186885961,1.0315,568508,1.0229,23964026,1.0785,248884123,1.0537,13049656,1.0244,40617901
12820537,2021-07-13 19:03:46,0,0,1.0242,36243602,1.0249,62356652,1.054,188532108,1.0315,568638,1.0234,23949843,1.0787,238664710,1.0538,13051216,1.0249,43381902
12826998,2021-07-14 19:29:38,0,0,1.0243,35629022,1.0252,62196696,1.0544,201508095,1.0316,568641,1.0234,23765191,1.0789,238406305,1.0541,10713623,1.0251,43941738
