Block,Date,UST Price,UST TVL,MIM Price,MIM TVL,EURS Price,EURS TVL,FRAX Price,FRAX TVL,USDN Price,USDN TVL,mUSD Price,mUSD TVL,USDP Price,USDP TVL,IronBank Price,IronBank TVL,sUSD Price,sUSD TVL,alUSD Price,alUSD TVL
12783847,2021-07-08 01:39:18,0,0,0,0,1.0227,43228606,1.0234,59451267,1.0524,180895926,1.0258,7039407,1.0221,26436291,1.0778,267135873,1.0526,12910954,1.0229,39298607
12790308,2021-07-09 01:38:50,0,0,0,0,1.023,43095032,1.0237,64580332,1.0527,178976196,1.026,511820,1.0223,24407712,1.0779,267362321,1.053,13016055,1.0232,40566348
12796769,2021-07-10 01:45:54,0,0,0,0,1.0233,42275426,1.0238,63950901,1.0528,178809493,1.026,581001,1.0225,24358282,1.078,264714375,1.0531,13028176,1.0236,40919864
12803230,2021-07-11 01:58:55,0,0,0,0,1.0235,41806055,1.0243,63359267,1.0532,177915013,1.0315,588717,1.0229,24371550,1.0782,256433712,1.0533,13858528,1.0239,41674885
12809691,2021-07-12 02:10:09,0,0,0,0,1.0239,36977835,1.0244,62644913,1.0535,176962492,1.0315,568505,1.0229,24367658,1.0783,256436551,1.0534,13851831,1.0244,42418296
12816152,2021-07-13 02:25:33,0,0,0,0,1.024,36246978,1.0248,62574564,1.0538,188091336,1.0315,568511,1.0233,24071416,1.0785,241085487,1.0537,13049671,1.0245,40850565
12822613,2021-07-14 02:52:00,0,0,0,0,1.0242,35711303,1.0249,62319729,1.0541,201112079,1.0316,568639,1.0234,23949737,1.0788,238674150,1.0538,13051468,1.025,43968821
12829074,2021-07-15 03:20:57,0,0,0,0,1.0246,35636339,1.0253,62196888,1.0547,203357114,1.0316,568642,1.0236,23711852,1.0789,238415464,1.0541,10713635,1.0253,43460012
12835535,2021-07-16 03:33:56,0,0,0,0,1.0246,35594548,1.0254,61783953,1.0547,203496060,1.0317,574806,1.0238,23491606,1.0792,227132809,1.0541,10698384,1.0255,43530106
12841996,2021-07-17 03:41:27,0,0,0,0,1.0246,35426527,1.0256,61249674,1.055,214983595,1.0326,574813,1.0242,21407272,1.0795,219364488,1.0542,10862023,1.0259,44011302
12848457,2021-07-18 04:17:03,0,0,0,0,1.0249,35378274,1.0257,60174201,1.0553,215164679,1.0328,574964,1.0245,21859215,1.0798,219452380,1.0542,10116503,1.026,43960517
12854918,2021-07-19 04:35:04,0,0,0,0,1.025,35049243,1.0264,61256496,1.0556,217471322,1.033,549567,1.0248,20480377,1.08,219106893,1.0542,10460690,1.0263,44254575
12861379,2021-07-20 04:52:23,0,0,0,0,1.0255,34633541,1.0265,61788039,1.0558,226910446,1.0333,549923,1.025,20713447,1.0803,199504122,1.0545,10419734,1.0265,44457274
12867840,2021-07-21 05:09:23,0,0,0,0,1.0256,34509476,1.0267,62270232,1.0559,226582737,1.0334,549928,1.0252,21367007,1.0806,183098845,1.0549,10491004,1.0267,43553977
12874301,2021-07-22 05:20:19,0,0,0,0,1.0257,34170630,1.027,71875347,1.0565,227853373,1.0334,549933,1.0256,22391447,1.0809,183241777,1.0549,10316505,1.0272,44028315
12880762,2021-07-23 05:32:01,0,0,0,0,1.0264,34115406,1.0271,70041252,1.0568,231350528,1.0338,550272,1.026,26769819,1.0812,183304905,1.0549,10365477,1.0274,43296866
12887223,2021-07-24 05:44:02,0,0,0,0,1.0264,34117413,1.0272,70419642,1.0571,244389538,1.0338,550274,1.0263,27561349,1.0814,183322409,1.0558,10559041,1.0276,39243869
12893684,2021-07-25 05:52:22,0,0,0,0,1.027,34082020,1.0273,70296775,1.0573,243641164,1.0338,550280,1.0264,27625758,1.0815,183472476,1.0558,10564887,1.0277,39232379
12900145,2021-07-26 06:12:30,0,0,0,0,1.0274,33950165,1.0281,66882079,1.0577,243665904,1.0344,550782,1.0268,27667888,1.0821,175521191,1.0558,10585366,1.028,38763773
12906606,2021-07-27 06:34:25,0,0,0,0,1.0277,32642438,1.0282,66698894,1.0582,248334304,1.0344,550788,1.0268,27717663,1.0825,160763117,1.0558,10612083,1.0284,39083168
12913067,2021-07-28 07:16:39,0,0,0,0,1.0281,32897793,1.0283,66678137,1.0584,249425238,1.0344,550896,1.0274,28321875,1.0827,148655129,1.0558,10666440,1.0286,39174576
12919528,2021-07-29 08:04:12,0,0,0,0,1.0281,32812865,1.029,76556771,1.0591,257770961,1.035,551402,1.0276,28457305,1.083,134252559,1.0558,10126036,1.0292,39174500
12925989,2021-07-30 08:46:38,0,0,0,0,1.0284,32737289,1.0291,76424235,1.0592,254727216,1.035,551411,1.0281,28500589,1.0834,125877255,1.0558,10137672,1.0292,39180582
12932450,2021-07-31 09:12:12,0,0,0,0,1.0291,32157304,1.0292,76501792,1.0598,255148916,1.035,551416,1.0282,28077084,1.0837,119093067,1.0573,10634193,1.0295,39041377
12938911,2021-08-01 09:45:23,0,0,0,0,1.0295,32061280,1.0293,76352198,1.0602,256138789,1.0357,551980,1.0286,28136161,1.0841,119838753,1.0576,10986723,1.0295,39000296
12945372,2021-08-02 10:16:26,0,0,0,0,1.0298,31801335,1.03,76160198,1.0606,256887977,1.0357,551586,1.0289,28472264,1.0843,119586122,1.0579,11036184,1.0301,39288065
12951833,2021-08-03 10:37:48,0,0,0,0,1.0301,30557078,1.03,74345022,1.0608,257621907,1.0358,551650,1.029,28612838,1.0846,116628896,1.0579,10624722,1.0303,39421768
12958294,2021-08-04 11:14:06,0,0,0,0,1.0302,30667566,1.0302,74231130,1.0617,275727529,1.0365,552210,1.0293,28666934,1.0849,117124012,1.0579,10394228,1.0305,39503448
12964755,2021-08-05 11:41:46,0,0,0,0,1.0308,29710169,1.0307,42265663,1.0619,278392420,1.0365,552213,1.0298,28537399,1.0853,119057778,1.0584,10343962,1.0313,40813152
12971216,2021-08-06 11:41:10,0,0,0,0,1.0308,29245359,1.0307,42261221,1.0624,278788998,1.0366,552607,1.0301,27888399,1.0856,119024616,1.0588,10349851,1.0313,40793428
12977677,2021-08-07 11:34:21,0,0,0,0,1.0316,29088830,1.0307,42189462,1.0628,277156338,1.037,552615,1.0301,27852076,1.0862,119502375,1.0588,9826863,1.0314,40280299
12984138,2021-08-08 11:21:25,0,0,0,0,1.0319,28705864,1.0316,42168067,1.0633,298209429,1.037,530761,1.0307,15531957,1.0865,119412708,1.0589,9843593,1.0323,40041466
12990599,2021-08-09 11:18:14,0,0,0,0,1.0321,28676061,1.0316,42165954,1.0637,299915688,1.037,530940,1.0307,15489426,1.0869,121256000,1.0593,9867675,1.0323,39833963
12997060,2021-08-10 11:14:47,0,0,0,0,1.0324,28262543,1.0318,35603917,1.0639,303833929,1.0371,530944,1.031,15145796,1.0871,127551551,1.0599,9721391,1.0327,39424727
13003521,2021-08-11 11:16:06,0,0,0,0,1.0327,27830598,1.0327,35658829,1.0648,304331375,1.0371,530975,1.0316,14825406,1.0874,128113658,1.0599,9724532,1.0332,38471445
13009982,2021-08-12 11:05:27,0,0,0,0,1.0329,27829396,1.0327,35308160,1.0652,290262613,1.0372,402271,1.0316,14350398,1.0877,131580761,1.0609,9473343,1.0332,38852909
13016443,2021-08-13 11:11:58,0,0,0,0,1.0331,27682320,1.0334,35340569,1.0657,292419957,1.0374,402276,1.0323,14347893,1.0881,131564424,1.061,9454112,1.0339,38884582
13022904,2021-08-14 11:08:41,0,0,0,0,1.0331,27499983,1.0334,35319961,1.0661,289946868,1.0375,402294,1.0323,14341625,1.0885,131697307,1.0611,9449598,1.0339,38783180
13029365,2021-08-15 11:03:39,0,0,0,0,1.0331,26752586,1.0342,35454847,1.0667,297893204,1.0375,402488,1.0323,14139011,1.089,132222320,1.0611,9477495,1.034,38561402
13035826,2021-08-16 10:53:19,0,0,0,0,1.0334,26745982,1.0346,35364537,1.0672,297045262,1.0377,402490,1.0334,14144803,1.0894,132292643,1.0623,9315510,1.0348,37981036
13042287,2021-08-17 10:56:55,0,0,0,0,1.0334,26268572,1.0346,35002587,1.0677,287316342,1.0377,402503,1.0334,13503556,1.0898,135820870,1.0625,9224843,1.0349,35319798
13048748,2021-08-18 10:41:14,0,0,0,0,1.0334,26268598,1.0346,35012988,1.0681,288019111,1.0378,402507,1.0334,13497592,1.0901,135950252,1.0629,11230777,1.0349,35320140
13055209,2021-08-19 10:39:06,0,0,0,0,1.0343,26095738,1.0353,35475938,1.0689,279210364,1.038,402690,1.0334,13240365,1.0905,136652224,1.063,11103591,1.0349,34915075
13061670,2021-08-20 10:43:23,0,0,0,0,1.0343,24660005,1.0353,34947902,1.0689,279436729,1.038,402693,1.0334,13029860,1.0906,136794247,1.0631,11032077,1.0349,34718382
13068131,2021-08-21 10:40:15,0,0,0,0,1.0354,23555111,1.0359,54417890,1.07,278459067,1.038,402695,1.0352,12974723,1.0913,136824528,1.0631,11015295,1.0365,34637871
13074592,2021-08-22 10:37:39,0,0,0,0,1.0354,23235755,1.0359,34777119,1.0705,281091349,1.0383,402912,1.0352,12903310,1.0917,136905081,1.0631,10982463,1.0365,33524582
13081053,2021-08-23 10:37:41,0,0,0,0,1.0354,21606525,1.0367,34737027,1.071,280160329,1.0383,302443,1.0358,13199318,1.0919,136977749,1.0632,10983172,1.037,34661149
13087514,2021-08-24 10:36:07,0,0,0,0,1.0367,21413864,1.0367,34518267,1.0714,280845122,1.0383,302445,1.0358,12810444,1.0923,147048731,1.0632,10983645,1.0371,34661449
13093975,2021-08-25 10:15:19,0,0,0,0,1.0367,21413923,1.0369,33438827,1.0724,280917696,1.0386,302637,1.0359,12810807,1.0925,156427524,1.0649,11010343,1.0377,34692865
13100436,2021-08-26 10:31:42,0,0,0,0,1.0374,20882306,1.0375,33447135,1.0728,275736067,1.0386,302638,1.0359,12804003,1.0932,160734865,1.065,11010747,1.0377,34914944
13106897,2021-08-27 10:13:12,0,0,0,0,1.0374,20612834,1.0375,33447280,1.0731,273813712,1.0386,302639,1.0359,12803956,1.0934,162112683,1.065,11010913,1.0383,36274600
13113358,2021-08-28 10:34:27,0,0,0,0,1.0378,20256589,1.0377,33470072,1.0735,273412383,1.0389,302804,1.0359,12750871,1.0937,149528947,1.065,11011069,1.0386,36420924
13119819,2021-08-29 10:26:23,0,0,0,0,1.0378,20248110,1.0382,33433859,1.0738,273201990,1.0389,302806,1.0378,12758309,1.0941,146195091,1.065,10997421,1.0387,36364697
13126280,2021-08-30 10:18:52,0,0,0,0,1.0378,20245967,1.0386,33456177,1.0742,272831623,1.0389,302808,1.0378,12744427,1.0945,146887058,1.065,10996654,1.0394,37535119
13132741,2021-08-31 10:17:11,0,0,0,0,1.0378,20160784,1.0386,33456477,1.0746,276150428,1.0394,303031,1.0378,12696796,1.0948,147516880,1.0651,10996888,1.0394,37128022
13139202,2021-09-01 10:23:44,0,0,0,0,1.0378,20147248,1.0386,25857654,1.075,276298414,1.0394,303033,1.0378,12649734,1.0953,150017769,1.0665,11021185,1.0402,37485348
13145663,2021-09-02 10:14:56,0,0,1.0019,0,1.0388,19914850,1.0398,25897444,1.0761,274393443,1.0394,303035,1.0378,12652269,1.0955,156755692,1.0666,11021641,1.0402,37343379
13152124,2021-09-03 10:13:54,0,0,1.0019,0,1.0388,19916985,1.0398,25885026,1.0765,255834433,1.0394,303039,1.0378,12548923,1.0958,159334712,1.0666,11022212,1.0409,37381896
13158585,2021-09-04 10:12:58,0,0,1.0019,0,1.0388,19064330,1.0398,25885138,1.0768,255919362,1.0394,303040,1.0378,12558259,1.0963,159619845,1.0666,11022278,1.0409,37382411
13165046,2021-09-05 09:58:56,0,0,1.0019,0,1.0388,19064344,1.041,25929160,1.0772,256141294,1.0395,303058,1.0406,12605162,1.0967,160363418,1.0666,11022336,1.0416,37840797
13171507,2021-09-06 09:59:11,0,0,1.0019,0,1.0389,18856502,1.041,25959297,1.0777,256360668,1.0395,303060,1.0406,12605272,1.0971,161645436,1.0666,11022439,1.0416,37606337
13177968,2021-09-07 09:54:07,0,0,1.002,0,1.0402,18914482,1.041,26074519,1.0782,255435510,1.0395,303062,1.0406,12605454,1.0977,163249097,1.0667,11022597,1.0423,37632947
13184429,2021-09-08 09:56:15,0,0,1.002,471707,1.0402,18818224,1.0421,26112793,1.0794,293677689,1.0395,201545,1.0406,12612201,1.0981,163365893,1.0667,11023462,1.0423,37607865
13190890,2021-09-09 10:04:36,0,0,1.002,497539,1.0403,18733314,1.0421,26412370,1.0798,308499997,1.0395,201547,1.0406,12346409,1.0985,163993118,1.069,11006206,1.0431,37458645
13197351,2021-09-10 10:08:30,0,0,1.0032,580645,1.0403,18607842,1.0428,26449951,1.0803,304882067,1.0395,201548,1.0406,12244022,1.0988,160789713,1.069,11006377,1.0431,39206399
13203812,2021-09-11 10:01:57,0,0,1.0033,759964,1.0412,17989472,1.0432,26080652,1.0807,304522262,1.0395,201549,1.0407,11884042,1.0992,159236261,1.069,10975079,1.0437,39574912
13210273,2021-09-12 10:01:57,0,0,1.0033,894530,1.0412,17202545,1.0432,26075632,1.0811,304506182,1.0395,201550,1.0436,11931112,1.0994,160303724,1.069,10963443,1.0437,40238083
13216734,2021-09-13 10:08:55,0,0,1.0043,1222924,1.0412,16673773,1.0443,26114704,1.0815,304706183,1.0396,201563,1.0436,11681554,1.0996,160744349,1.069,10963561,1.0445,40096829
13223195,2021-09-14 10:09:57,0,0,1.0043,17218904,1.0412,15872151,1.0443,26114633,1.0819,304967090,1.0396,201564,1.0436,11683030,1.0998,160952992,1.0691,10963873,1.0445,40173581
13229656,2021-09-15 10:02:40,0,0,1.0044,19830259,1.0412,15775828,1.0443,28037001,1.0831,305136727,1.0396,201569,1.0436,11589588,1.1001,161596838,1.0691,8983633,1.0453,40790162
13236117,2021-09-16 10:03:38,0,0,1.0044,19740512,1.0432,15619150,1.0443,28232048,1.0836,306331309,1.0397,201574,1.0437,11473856,1.1004,162807510,1.0692,7648137,1.0454,41146808
13242578,2021-09-17 10:06:34,0,0,1.0044,3150466,1.0432,15400285,1.0462,28303345,1.0841,306984291,1.0397,201575,1.0437,11476163,1.1008,162908379,1.0733,7677210,1.0463,41197238
13249039,2021-09-18 10:10:31,0,0,1.0157,2996261,1.0432,15107688,1.0462,28303466,1.0844,307223470,1.0397,199551,1.0437,11369023,1.1011,164111867,1.0733,7625149,1.0463,41197419
13255500,2021-09-19 10:01:31,0,0,1.0157,2986137,1.0432,14913551,1.0462,28303561,1.0849,309888224,1.0397,199551,1.0437,11349823,1.1014,164243284,1.0733,7775102,1.0463,41207663
13261961,2021-09-20 09:59:03,0,0,1.0158,2986210,1.0432,14934654,1.0462,28224017,1.0852,309772294,1.0397,199553,1.0437,11350023,1.1014,158864160,1.0733,7775159,1.0463,41201825
13268422,2021-09-21 09:52:32,0,0,1.0158,2874859,1.0433,14760079,1.0462,28224238,1.0855,291273357,1.0451,201144,1.0437,11278359,1.1018,159877413,1.0734,7775370,1.0463,39805577
13274883,2021-09-22 09:51:14,0,0,1.0158,2905217,1.0433,14834284,1.0462,27955582,1.0865,290373245,1.0451,201145,1.0437,11152480,1.1021,153264475,1.0735,7707413,1.0478,39659683
13281344,2021-09-23 10:05:42,0,0,1.0163,17893113,1.0433,14815191,1.0483,28036788,1.0869,290584455,1.0451,201147,1.0437,11127786,1.1022,159921815,1.0736,7707796,1.0479,39631547
13287805,2021-09-24 09:52:23,0,0,1.0169,18065693,1.0433,14893268,1.0483,28387994,1.0874,290672271,1.0451,201148,1.0437,10571674,1.1026,162073019,1.0736,7708274,1.0479,38614817
13294266,2021-09-25 09:53:01,0,0,1.0174,20047236,1.0433,15013807,1.0484,25560592,1.0877,287719245,1.0451,201150,1.0437,10571776,1.1027,162097494,1.0738,7709316,1.0479,37897351
13300727,2021-09-26 09:56:56,0,0,1.0177,21978668,1.0433,15231457,1.0484,25604599,1.0882,286148188,1.0451,201151,1.0437,10380462,1.1031,164734352,1.0738,7697634,1.0479,37858938
13307188,2021-09-27 10:14:50,0,0,1.0183,40096186,1.0433,15721014,1.0484,25604894,1.0885,292808666,1.0451,201153,1.0483,9996828,1.1031,166702565,1.0739,7698220,1.0497,37834161
13313649,2021-09-28 10:11:22,0,0,1.0187,39634082,1.0446,16843329,1.0484,25300446,1.089,292496871,1.0452,201153,1.0483,6991244,1.1035,171162970,1.0739,7615452,1.0497,40119478
13320110,2021-09-29 10:26:43,0,0,1.0194,39932469,1.0446,16814516,1.0506,25326519,1.0893,292780513,1.0452,201156,1.0483,6993710,1.1035,170547716,1.0739,7615543,1.0497,35238811
