Block,Date,USDP Price,USDP TVL,USDN Price,USDN TVL,IronBank Price,IronBank TVL,sUSD Price,sUSD TVL
13068760,2021-08-21 12:58:04,1.0352,12973892,1.07,278903115,1.0913,136833765,1.0631,11015445
13075221,2021-08-22 12:51:08,1.0352,12903320,1.0705,281140746,1.0917,136906000,1.0631,10982465
13081682,2021-08-23 12:55:17,1.0358,13201093,1.071,281319997,1.092,137010773,1.0632,10983273
13088143,2021-08-24 12:56:54,1.0358,12810456,1.0714,280856637,1.0923,147299771,1.0632,10983658
13094604,2021-08-25 12:34:53,1.0359,12810812,1.0724,280917913,1.0927,156464289,1.0649,11010351
13101065,2021-08-26 12:48:17,1.0359,12804012,1.0728,275784641,1.0932,161174122,1.065,11010789
13107526,2021-08-27 12:52:12,1.0359,12803963,1.0731,273720045,1.0935,162114007,1.065,11010915
13113987,2021-08-28 12:49:54,1.0359,12750883,1.0735,273413262,1.0938,149530007,1.065,11011069
13120448,2021-08-29 12:48:09,1.0378,12758311,1.0739,273202153,1.0941,146196245,1.065,10996472
13126909,2021-08-30 12:35:03,1.0378,12744431,1.0743,275920947,1.0945,147021040,1.065,10996654
13133370,2021-08-31 12:45:39,1.0378,12696845,1.0746,276295319,1.0949,147517910,1.0651,10996914
13139831,2021-09-01 12:35:47,1.0378,12649751,1.075,276274959,1.0953,150090540,1.0665,11021188
13146292,2021-09-02 12:32:25,1.0378,12546892,1.0761,274393224,1.0956,157950826,1.0666,11021642
13152753,2021-09-03 12:34:05,1.0378,12548925,1.0765,255834554,1.0959,159335440,1.0666,11022229
13159214,2021-09-04 12:35:06,1.0378,12558260,1.0769,256070168,1.0964,159621236,1.0666,11022297
13165675,2021-09-05 12:18:54,1.0406,12605172,1.0773,256167913,1.0967,160364830,1.0666,11022362
13172136,2021-09-06 12:21:01,1.0406,12605277,1.0778,256421194,1.097,161712549,1.0666,11022440
13178597,2021-09-07 12:26:30,1.0406,12605462,1.0783,255611869,1.0976,163417568,1.0667,11022608
13185058,2021-09-08 12:19:30,1.0406,12453329,1.0794,293672338,1.0981,163366243,1.0667,11023472
13191519,2021-09-09 12:29:00,1.0406,12346475,1.0799,308509424,1.0985,163993535,1.069,11006211
13197980,2021-09-10 12:23:53,1.0406,12244102,1.0803,304934642,1.0989,160768606,1.069,11006406
13204441,2021-09-11 12:27:59,1.0407,11884052,1.0807,304563067,1.0992,159236980,1.069,10975103
13210902,2021-09-12 12:18:09,1.0436,11931129,1.0812,304503094,1.0994,160304384,1.069,10963451
13217363,2021-09-13 12:29:37,1.0436,11681556,1.0816,304706258,1.0996,160760926,1.069,10963583
13223824,2021-09-14 12:21:10,1.0436,11683034,1.082,304967211,1.0998,160986837,1.0691,10963874
13230285,2021-09-15 12:26:25,1.0436,11589596,1.0832,305181946,1.1001,161544232,1.0691,8983642
