Block,Date,MIM Price,MIM TVL,FRAX Price,FRAX TVL,USDN Price,USDN TVL,alUSD Price,alUSD TVL,mUSD Price,mUSD TVL
13068739,2021-08-21 12:52:42,0,0,1.0359,54417924,1.07,278903073,1.0365,34637877,1.0381,402908
13075200,2021-08-22 12:45:43,0,0,1.0359,34777156,1.0705,281140745,1.0365,33524598,1.0383,402912
13081661,2021-08-23 12:50:52,0,0,1.0367,34737056,1.071,281271665,1.037,34661193,1.0383,302444
13088122,2021-08-24 12:51:27,0,0,1.0367,34518305,1.0714,280856637,1.0371,34661599,1.0384,302636
13094583,2021-08-25 12:29:47,0,0,1.0369,33438837,1.0724,280917911,1.0377,34692996,1.0386,302637
13101044,2021-08-26 12:43:14,0,0,1.0375,33447164,1.0728,275784641,1.0378,34915050,1.0386,302638
13107505,2021-08-27 12:47:36,0,0,1.0375,33447447,1.0731,273732526,1.0384,36274705,1.0387,302804
13113966,2021-08-28 12:44:18,0,0,1.0377,33470108,1.0735,273413254,1.0386,36420989,1.0389,302805
13120427,2021-08-29 12:43:04,0,0,1.0382,33433865,1.0739,273202152,1.039,36364740,1.0389,302806
13126888,2021-08-30 12:29:56,0,0,1.0386,33456186,1.0743,275920947,1.0394,37535177,1.0389,302808
13133349,2021-08-31 12:42:03,0,0,1.0386,33456519,1.0746,276295298,1.0394,37128093,1.0394,303032
13139810,2021-09-01 12:30:54,0,0,1.0386,25857709,1.075,276274958,1.0402,37404543,1.0394,303034
13146271,2021-09-02 12:27:54,1.0019,0,1.0398,25897577,1.0761,274393205,1.0402,37343579,1.0394,303037
13152732,2021-09-03 12:30:04,1.0019,0,1.0398,25885031,1.0765,255834554,1.0409,37381909,1.0394,303039
13159193,2021-09-04 12:31:07,1.0019,0,1.0398,25885146,1.0769,256070168,1.0409,37670022,1.0394,303040
13165654,2021-09-05 12:14:51,1.0019,0,1.041,25929170,1.0773,256167178,1.0416,37606065,1.0395,303058
13172115,2021-09-06 12:15:53,1.0019,0,1.041,25959308,1.0778,256370991,1.0416,37606374,1.0395,303060
13178576,2021-09-07 12:20:49,1.002,0,1.041,26074583,1.0783,255611867,1.0423,37632981,1.0395,303062
13185037,2021-09-08 12:15:23,1.002,471707,1.0421,26112852,1.0794,293672338,1.0423,37607922,1.0395,201546
13191498,2021-09-09 12:24:43,1.002,497540,1.0421,26412378,1.0799,308509424,1.0431,37710524,1.0395,201547
13197959,2021-09-10 12:19:47,1.0032,580645,1.0431,26432542,1.0803,304884403,1.0431,39206455,1.0395,201548
13204420,2021-09-11 12:21:52,1.0033,759964,1.0432,26080670,1.0807,304561923,1.0437,39574920,1.0395,201549
13210881,2021-09-12 12:13:07,1.0033,845043,1.0432,26075669,1.0812,304501486,1.0438,40254223,1.0395,201550
13217342,2021-09-13 12:25:17,1.0043,1222924,1.0443,26114707,1.0816,304706258,1.0445,40096835,1.0396,201563
13223803,2021-09-14 12:17:48,1.0043,17215621,1.0443,26114839,1.082,304967211,1.0445,40173598,1.0396,201564
13230264,2021-09-15 12:23:00,1.0044,19830305,1.0443,28037015,1.0832,305181944,1.0453,41207706,1.0396,201569
13236725,2021-09-16 12:21:55,1.0044,16232959,1.0443,28232066,1.0837,306447024,1.0454,41146832,1.0397,201574
13243186,2021-09-17 12:25:33,1.0044,3150469,1.0462,28303359,1.0842,307484294,1.0463,41197263,1.0397,201575
13249647,2021-09-18 12:25:34,1.0157,2986105,1.0462,28303472,1.0845,307312792,1.0463,41197426,1.0397,199551
13256108,2021-09-19 12:22:02,1.0158,2986169,1.0462,28303583,1.0849,309846545,1.0463,41201363,1.0397,199551
13262569,2021-09-20 12:19:01,1.0158,2986217,1.0462,28224067,1.0853,309732086,1.0463,41201900,1.0397,199553
13269030,2021-09-21 12:07:41,1.0158,2874864,1.0462,28224244,1.0855,291273395,1.0463,39805593,1.0451,201144
13275491,2021-09-22 12:09:00,1.0158,2905220,1.0462,27955586,1.0865,290373447,1.0478,39659690,1.0451,201145
13281952,2021-09-23 12:19:33,1.0165,17899690,1.0483,27963540,1.087,290595241,1.0479,39622585,1.0451,201147
13288413,2021-09-24 12:08:37,1.0169,18065751,1.0483,28388040,1.0874,290672532,1.0479,38614869,1.0451,201148
13294874,2021-09-25 12:07:32,1.0176,20047253,1.0484,25560659,1.0878,287711651,1.0479,37897403,1.0451,201150
13301335,2021-09-26 12:21:29,1.0177,22018261,1.0484,25604609,1.0882,286260619,1.0479,37858953,1.0451,201151
13307796,2021-09-27 12:35:11,1.0183,40096332,1.0484,25604932,1.0886,292808856,1.0497,37834541,1.0451,201153
13314257,2021-09-28 12:27:21,1.0188,39637706,1.0484,25171803,1.089,292497028,1.0497,39565068,1.0452,201153
13320718,2021-09-29 12:40:33,1.0194,39947401,1.0506,25326528,1.0894,292780575,1.0497,35238825,1.0452,201156
13327179,2021-09-30 12:51:53,1.0199,46157606,1.0506,25326814,1.0904,293555553,1.0497,35687817,1.0452,201157
13333640,2021-10-01 13:11:10,1.0199,47179727,1.0507,25325007,1.0907,290373447,1.0497,28489059,1.0452,201162
13340101,2021-10-02 13:22:37,1.0205,67971320,1.0507,25335208,1.091,292610548,1.0512,28579717,1.0452,201163
13346562,2021-10-03 13:44:38,1.0214,70031071,1.0507,25335475,1.0914,292121500,1.0518,28781614,1.0452,201164
13353023,2021-10-04 14:08:02,1.0214,75843730,1.0507,25121712,1.0917,293336820,1.0518,28531189,1.0452,201165
13359484,2021-10-05 14:02:48,1.0221,78923752,1.0533,25144758,1.092,293454544,1.0519,28599966,1.0452,201166
13365945,2021-10-06 14:26:33,1.0229,80492979,1.0533,25188283,1.0929,294426197,1.0519,28539797,1.0452,201168
13372406,2021-10-07 14:47:51,1.0237,86942252,1.0533,25227156,1.0934,295688207,1.0519,28555487,1.0453,1792929
